0,-10850944711.056913,-134686196098.08124,-58416717173.833458
30.00000009778887,-10850038929.5172,-134686254236.33455,-58416740188.599922
59.999999881256372,-10849133148.778114,-134686312369.46754,-58416763201.148315
89.999999979045242,-10848227367.641245,-134686370497.55717,-58416786211.509125
120.00000007683411,-10847321586.098013,-134686428620.60384,-58416809219.68251
149.99999986030161,-10846415804.144802,-134686486738.60803,-58416832225.668663
179.99999995809048,-10845510021.78504,-134686544851.5694,-58416855229.467415
210.00000005587935,-10844604239.015362,-134686602959.48811,-58416878231.07888
240.00000015366822,-10843698455.847803,-134686661062.36343,-58416901230.502739
269.99999993713573,-10842792672.27457,-134686719160.19595,-58416924227.739212
300.0000000349246,-10841886888.291002,-134686777252.98579,-58416947222.788391
330.00000013271347,-10840981103.897131,-134686835340.73314,-58416970215.650314
359.99999991618097,-10840075319.097425,-134686893423.43758,-58416993206.324829
390.00000001396984,-10839169533.900518,-134686951501.09862,-58417016194.811737
420.00000011175871,-10838263748.301756,-134687009573.71645,-58417039181.111122
449.99999989522621,-10837357962.284475,-134687067641.29231,-58417062165.223457
479.99999999301508,-10836452175.870096,-134687125703.82462,-58417085147.148148
510.00000009080395,-10835546389.041435,-134687183761.31471,-58417108126.885696
539.99999987427145,-10834640601.811312,-134687241813.76163,-58417131104.435707
569.99999997206032,-10833734814.179491,-134687299861.16537,-58417154079.798225
600.00000006984919,-10832829026.138186,-134687357903.52649,-58417177052.973434
629.99999985331669,-10831923237.691339,-134687415940.84476,-58417200023.961258
659.99999995110556,-10831017448.83872,-134687473973.12009,-58417222992.761673
690.00000004889444,-10830111659.584808,-134687532000.35231,-58417245959.374596
720.00000014668331,-10829205868.70586,-134687590022.61972,-58417268923.830994
749.99999993015081,-10828300078.636393,-134687648039.76637,-58417291886.069199
780.00000002793968,-10827394288.162071,-134687706051.87012,-58417314846.11998
810.00000012572855,-10826488497.282141,-134687764058.93097,-58417337803.983353
839.99999990919605,-10825582706.001343,-134687822060.94862,-58417360759.65921
870.00000000698492,-10824676914.310822,-134687880057.92365,-58417383713.147758
900.00000010477379,-10823771122.210363,-134687938049.85605,-58417406664.449005
929.99999988824129,-10822865329.71356,-134687996036.74493,-58417429613.562622
959.99999998603016,-10821959536.802973,-134688054018.59155,-58417452560.489075
990.00000008381903,-10821053743.50001,-134688111995.39427,-58417475505.227722
1019.9999998672865,-10820147949.779158,-134688169967.15501,-58417498447.779335
1049.9999999650754,-10819242155.66131,-134688227933.87221,-58417521388.14328
1080.0000000628643,-10818336361.130325,-134688285895.5471,-58417544326.320045
1109.9999998463318,-10817430566.197975,-134688343852.17876,-58417567262.309288
1139.9999999441206,-10816524770.865601,-134688401803.76718,-58417590196.110985
1170.0000000419095,-10815618975.12775,-134688459750.31267,-58417613127.725243
1200.0000001396984,-10814713178.976379,-134688517691.81575,-58417636057.152328
1229.9999999231659,-10813807382.424818,-134688575628.27567,-58417658984.391869
1260.0000000209548,-10812901585.468134,-134688633559.69258,-58417681909.443962
1290.0000001187436,-10811995788.110552,-134688691486.06631,-58417704832.308556
1319.9999999022111,-10811089990.340097,-134688749407.39763,-58417727752.985924
1350,-10810184192.172972,-134688807323.68547,-58417750671.475655
1380.0000000977889,-10809278392.381792,-134688865235.00829,-58417773587.8088
1409.9999998812564,-10808372593.409691,-134688923141.20992,-58417796501.923569
1439.9999999790452,-10807466794.019892,-134688981042.36938,-58417819413.851204
1470.0000000768341,-10806560994.229904,-134689038938.48567,-58417842323.591331
1499.9999998603016,-10805655194.035326,-134689096829.5589,-58417865231.143974
1529.9999999580905,-10804749393.436455,-134689154715.58922,-58417888136.509239
1560.0000000558794,-10803843592.436708,-134689212596.57623,-58417911039.686905
1590.0000001536682,-10802937791.028563,-134689270472.52061,-58417933940.677277
1619.9999999371357,-10802031989.215691,-134689328343.42203,-58417956839.480232
1650.0000000349246,-10801126186.998659,-134689386209.28046,-58417979736.095711
1680.0000001327135,-10800220384.372795,-134689444070.09612,-58418002630.523865
1709.999999916181,-10799314581.355356,-134689501925.86803,-58418025522.764252
1740.0000000139698,-10798408777.924982,-134689559776.59749,-58418048412.817429
1770.0000001117587,-10797502974.090576,-134689617622.28395,-58418071300.683151
1799.9999998952262,-10796597169.847467,-134689675462.92767,-58418094186.361549
1829.9999999930151,-10795691365.208221,-134689733298.52794,-58418117069.85228
1860.000000090804,-10794785560.161125,-134689791129.08537,-58418139951.15567
1889.9999998742715,-10793879754.713776,-134689848954.59958,-58418162830.271507
1919.9999999720603,-10792973948.853956,-134689906775.0714,-58418185707.200127
1950.0000000698492,-10792068142.598375,-134689964590.49951,-58418208581.94104
1979.9999998533167,-10791162335.934822,-134690022400.88493,-58418231454.494614
2009.9999999511056,-10790256528.86672,-134690080206.22751,-58418254324.860817
2040.0000000488944,-10789350721.394873,-134690138006.52687,-58418277193.039467
2070.0000001466833,-10788444912.303621,-134690195801.86086,-58418300059.061417
2099.9999999301508,-10787539104.028053,-134690253592.07397,-58418322922.865082
2130.0000000279397,-10786633295.344669,-134690311377.24435,-58418345784.481407
2160.0000001257285,-10785727486.26132,-134690369157.37141,-58418368643.910164
2189.999999909196,-10784821676.7658,-134690426932.45607,-58418391501.151695
2220.0000000069849,-10783915866.870384,-134690484702.49736,-58418414356.205658
2250.0000001047738,-10783010056.571722,-134690542467.49557,-58418437209.072121
2279.9999998882413,-10782104245.873232,-134690600227.45052,-58418460059.751038
2309.9999999860302,-10781198434.770781,-134690657982.36246,-58418482908.242508
2340.000000083819,-10780292623.256571,-134690715732.23193,-58418505754.546761
