,start,end,duration,timedelta,seconds
58,2024-01-03 19:49:06+00:00,2024-01-03 19:49:33+00:00,27.0,1 days 01:29:02,91742.0
59,2024-01-03 19:50:07+00:00,2024-01-03 19:50:33+00:00,26.0,1 days 01:30:03,91803.0
60,2024-01-03 19:51:07+00:00,2024-01-03 19:51:33+00:00,26.0,1 days 01:31:03,91863.0
61,2024-01-03 19:52:08+00:00,2024-01-03 19:52:34+00:00,26.0,1 days 01:32:04,91924.0
62,2024-01-03 19:53:09+00:00,2024-01-03 19:53:34+00:00,25.0,1 days 01:33:05,91985.0
63,2024-01-03 19:54:09+00:00,2024-01-03 19:54:34+00:00,25.0,1 days 01:34:05,92045.0
64,2024-01-03 19:55:10+00:00,2024-01-03 19:55:34+00:00,24.0,1 days 01:35:06,92106.0
65,2024-01-03 19:56:11+00:00,2024-01-03 19:56:34+00:00,23.0,1 days 01:36:07,92167.0
66,2024-01-03 19:57:11+00:00,2024-01-03 19:57:35+00:00,24.0,1 days 01:37:07,92227.0
67,2024-01-04 02:02:06+00:00,2024-01-04 02:02:31+00:00,25.0,1 days 07:42:02,114122.0
68,2024-01-04 02:03:03+00:00,2024-01-04 02:03:31+00:00,28.0,1 days 07:42:59,114179.0
69,2024-01-04 02:04:04+00:00,2024-01-04 02:04:31+00:00,27.0,1 days 07:44:00,114240.0
70,2024-01-04 02:05:04+00:00,2024-01-04 02:05:31+00:00,27.0,1 days 07:45:00,114300.0
71,2024-01-04 02:06:05+00:00,2024-01-04 02:06:32+00:00,27.0,1 days 07:46:01,114361.0
72,2024-01-04 02:07:05+00:00,2024-01-04 02:07:32+00:00,27.0,1 days 07:47:01,114421.0
73,2024-01-04 02:08:06+00:00,2024-01-04 02:08:32+00:00,26.0,1 days 07:48:02,114482.0
74,2024-01-04 02:09:07+00:00,2024-01-04 02:09:32+00:00,25.0,1 days 07:49:03,114543.0
75,2024-01-04 02:10:08+00:00,2024-01-04 02:10:33+00:00,25.0,1 days 07:50:04,114604.0
76,2024-01-04 02:11:08+00:00,2024-01-04 02:11:33+00:00,25.0,1 days 07:51:04,114664.0
77,2024-01-04 02:12:09+00:00,2024-01-04 02:12:33+00:00,24.0,1 days 07:52:05,114725.0
78,2024-01-04 02:13:10+00:00,2024-01-04 02:13:33+00:00,23.0,1 days 07:53:06,114786.0
79,2024-01-04 02:14:11+00:00,2024-01-04 02:14:34+00:00,23.0,1 days 07:54:07,114847.0
80,2024-01-04 02:15:11+00:00,2024-01-04 02:15:34+00:00,23.0,1 days 07:55:07,114907.0
81,2024-01-04 02:16:12+00:00,2024-01-04 02:16:34+00:00,22.0,1 days 07:56:08,114968.0
82,2024-01-04 02:17:13+00:00,2024-01-04 02:17:32+00:00,19.0,1 days 07:57:09,115029.0
83,2024-01-04 08:26:11+00:00,2024-01-04 08:26:33+00:00,22.0,1 days 14:06:07,137167.0
84,2024-01-04 08:27:04+00:00,2024-01-04 08:27:33+00:00,29.0,1 days 14:07:00,137220.0
