CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 44232.0  0.131065 -0.509012  0.000000 0.850723
60311 44242.0  0.131315 -0.513733  0.000000 0.847841
60311 44252.0  0.131554 -0.518440  0.000000 0.844934
60311 44262.0  0.131782 -0.523132  0.000000 0.842001
60311 44272.0  0.132001 -0.527809  0.000000 0.839043
60311 44282.0  0.132208 -0.532470  0.000000 0.836060
60311 44292.0  0.132405 -0.537117  0.000000 0.833051
60311 44302.0  0.132591 -0.541748  0.000000 0.830017
60311 44312.0  0.132767 -0.546363  0.000000 0.826959
60311 44322.0  0.132931 -0.550962  0.000000 0.823875
60311 44332.0  0.133085 -0.555546  0.000000 0.820766
60311 44342.0  0.133228 -0.560113  0.000000 0.817633
60311 44352.0  0.133359 -0.564665  0.000000 0.814475
60311 44362.0  0.133479 -0.569200  0.000000 0.811292
60311 44372.0  0.133588 -0.573719  0.000000 0.808085
60311 44382.0  0.133686 -0.578221  0.000000 0.804853
60311 44392.0  0.133772 -0.582706  0.000000 0.801598
60311 44402.0  0.133846 -0.587175  0.000000 0.798318
60311 44412.0  0.133909 -0.591626  0.000000 0.795014
60311 44422.0  0.133960 -0.596061  0.000000 0.791686
60311 44432.0  0.133999 -0.600478  0.000000 0.788334
60311 44442.0  0.134026 -0.604878  0.000000 0.784958
60311 44452.0  0.134041 -0.609260  0.000000 0.781559
60311 44462.0  0.134044 -0.613625  0.000000 0.778136
60311 44472.0  0.134034 -0.617972  0.000000 0.774690
60311 44482.0  0.134012 -0.622302  0.000000 0.771221
60311 44492.0  0.133978 -0.626613  0.000000 0.767728
60311 44502.0  0.133931 -0.630906  0.000000 0.764212
60311 44512.0  0.133871 -0.635181  0.000000 0.760673
60311 44522.0  0.133798 -0.639437  0.000000 0.757112
60311 44532.0  0.133712 -0.643675  0.000000 0.753527
60311 44542.0  0.133613 -0.647894  0.000000 0.749920
60311 44552.0  0.133501 -0.652095  0.000000 0.746291
60311 44562.0  0.133376 -0.656277  0.000000 0.742639
60311 44572.0  0.133237 -0.660439  0.000000 0.738964
60311 44582.0  0.133084 -0.664583  0.000000 0.735268
60311 44592.0  0.132917 -0.668707  0.000000 0.731549
60311 44602.0  0.132737 -0.672812  0.000000 0.727808
60311 44612.0  0.132542 -0.676897  0.000000 0.724046
60311 44622.0  0.132333 -0.680963  0.000000 0.720262
60311 44632.0  0.132110 -0.685009  0.000000 0.716456
60311 44642.0  0.131872 -0.689036  0.000000 0.712629
60311 44652.0  0.131619 -0.693042  0.000000 0.708780
60311 44662.0  0.131352 -0.697028  0.000000 0.704910
60311 44672.0  0.131069 -0.700994  0.000000 0.701019
60311 44682.0  0.130771 -0.704940  0.000000 0.697107
60311 44692.0  0.130458 -0.708865  0.000000 0.693175
60311 44702.0  0.130129 -0.712770  0.000000 0.689221
60311 44712.0  0.129784 -0.716654  0.000000 0.685247
60311 44722.0  0.129423 -0.720517  0.000000 0.681252
60311 44732.0  0.129046 -0.724359  0.000000 0.677238
60311 44742.0  0.128652 -0.728181  0.000000 0.673202
60311 44752.0  0.128242 -0.731981  0.000000 0.669147
60311 44762.0  0.127815 -0.735760  0.000000 0.665072
60311 44772.0  0.127371 -0.739518  0.000000 0.660977
60311 44782.0  0.126909 -0.743254  0.000000 0.656862
