epoch,semi_major_axis,eccentricity,inclination,argument_of_periapsis,longitude_of_ascending_node,true_anomaly
757468805.0,6878000.0,0.001999999999999977,1.6999506914424771,1.5707963267948946,3.3392268453770497,0.0
757468815.0,6878001.196686095,0.00200056956778797,1.6999506697862559,1.5556580965339553,3.33923077540541,0.026251283194972264
757468825.0,6878006.999720664,0.0020025976193781088,1.6999506048134392,1.540559060051982,3.339234705445176,0.05246336246747512
757468835.0,6878017.41004625,0.0020060785840660144,1.6999504965280128,1.5255432224821628,3.339238634762244,0.0785922233378644
757468845.0,6878032.426352322,0.0020110025200464265,1.699950344947728,1.5106538306129746,3.3392425626185607,0.10459460967519334
757468855.0,6878052.045025361,0.0020173552153147072,1.6999501501043215,1.4959329690249992,3.3392464882715576,0.13042842756105594
757468865.0,6878076.260102357,0.0020251183336166133,1.69994991204377,1.4814211824780108,3.3392504109736283,0.15605312290309617
757468875.0,6878105.063228361,0.002034269601650702,1.6999496308265845,1.4671571325576234,3.339254329971652,0.18143002478898573
757468885.0,6878138.443618659,0.002044783032772591,1.6999493065281357,1.4531772951789652,3.339258244506558,0.2065226479833012
757468895.0,6878176.388026025,0.0020566291817166803,1.69994893923901,1.4395157039238062,3.339262153812954,0.23129694959095864
757468905.0,6878218.880713594,0.0020697754243644783,1.6999485290653935,1.4262037424597969,3.3392660571187944,0.25572153663850306
757468915.0,6878265.903433632,0.002084186256329331,1.699948076129479,1.413269987551632,3.339269953645117,0.2797678230634685
757468925.0,6878317.4354126,0.0020998236041157355,1.6999475805698934,1.4007401025202437,3.339273842605836,0.3034101362556885
757468935.0,6878373.453342728,0.002116647142811242,1.6999470425421421,1.3886367795101922,3.339277723207589,0.3266257747904151
757468945.0,6878433.931380248,0.002134614614632266,1.699946462219068,1.3769797276463067,3.3392815946496537,0.3493950202721729
757468955.0,6878498.841150397,0.002153682143190394,1.6999458397913192,1.3657857031386182,3.3392854561239194,0.3717011072303349
757468965.0,6878568.1517592305,0.0021738045389551645,1.699945175467822,1.3550685766404356,3.3392893068149303,0.39353015576154843
757468975.0,6878641.82981208,0.002194935592088083,1.6999444694762613,1.3448394326807969,3.339293145899976,0.41487107209780427
757468985.0,6878719.839438672,0.0022170283495488944,1.699943722063556,1.3351066957633633,3.339296972549256,0.43571542250807727
757468995.0,6878802.14232455,0.002240035374080402,1.6999429334963332,1.3258762777131008,3.3393007859261017,0.4560572859521883
757469005.0,6878888.697748606,0.002263908983364511,1.699942104061395,1.3171517410336702,3.3393045851872554,0.47589309072398717
757469015.0,6878979.462626319,0.0022886014682817605,1.699941234066176,1.3089344733659016,3.3393083694832115,0.4952214399934709
757469025.0,6879074.391558335,0.0023140652897524947,1.6999403238391866,1.3012238685722108,3.3393121379586104,0.5140429307229855
757469035.0,6879173.436883871,0.0023402532541453923,1.6999393737304413,1.2940175104791314,3.339315889752694,0.5323599699253472
757469045.0,6879276.54873848,0.002367118667634533,1.6999383841118676,1.287311355852905,3.3393196239998106,0.5501765916889303
757469055.0,6879383.6751155425,0.002394615470220024,1.699937355377694,1.281099913733337,3.339323339829971,0.5674982778445309
757469065.0,6879494.761930982,0.0024226983503933546,1.6999362879448132,1.275376418792336,3.339327036369463,0.5843317846075747
757469075.0,6879609.753090484,0.002451322841597345,1.6999351822531197,1.2701329968849697,3.3393307127415,0.6006849770278507
757469085.0,6879728.590558653,0.0024804454017819445,1.6999340387658164,1.265360821430766,3.3393343680669334,0.6165666726090355
757469095.0,6879851.214429388,0.0025100234774077623,1.6999328579696908,1.2610502596696564,3.3393380014649954,0.6319864950536102
757469105.0,6879977.562996872,0.002540015553301387,1.6999316403753584,1.2571910082029238,3.339341612054091,0.6469547387228135
757469115.0,6880107.572826469,0.002570381189748584,1.6999303865174666,1.2537722175306845,3.339345198952634,0.6614822441000978
757469125.0,6880241.178824939,0.0026010810481844715,1.6999290969548637,1.2507826055527749,3.339348761279909,0.675580284291211
757469135.0,6880378.314309313,0.0026320769067836093,1.699927772270725,1.2482105602030198,3.339352298156992,0.6892604623909392
757469145.0,6880518.911073849,0.0026633316671896886,1.6999264130726357,1.2460442315492877,3.3393558087076816,0.702534619384089
757469155.0,6880662.899454536,0.0026948093535351576,1.699925019992632,1.244271613808892,3.3393592920594877,0.7154147521311548
757469165.0,6880810.2083906,0.0027264751048293517,1.6999235936871906,1.2428806178200673,3.3393627473446306,0.7279129408979427
757469175.0,6880960.765482594,0.0027582951616982117,1.6999221348371714,1.2418591345643986,3.33936617370109,0.7400412858342633
757469185.0,6881114.497046639,0.002790236848369673,1.699920644147709,1.2411950903714464,3.3393695702736665,0.7518118517704495
757469195.0,6881271.328164477,0.002822268550726653,1.6999191223480508,1.2408764944512263,3.339372936215077,0.7632366206860434
757469205.0,6881431.182729099,0.002854359691155423,1.699917570191336,1.2408914793980959,3.3393762706870787,0.7743274512070834
757469215.0,6881593.983485643,0.0028864807008448477,1.6999159884543245,1.241228335297563,3.339379572861603,0.785096044500488
757469225.0,6881759.652067562,0.0029186029901285817,1.6999143779370576,1.2418755380466124,3.3393828419219265,0.7955539159549253
757469235.0,6881928.1090278765,0.002950698917385339,1.6999127394624645,1.2428217724677442,3.3393860770638457,0.8057123720679713
757469245.0,6882099.273865553,0.002982741756958501,1.6999110738759022,1.2440559507662967,3.3393892774968785,0.8155824919899887
757469255.0,6882273.065047133,0.0030147056665041252,1.6999093820446323,1.245567226844335,3.339392442445471,0.82517511321143
757469265.0,6882449.400023726,0.003046565654122378,1.6999076648572298,1.2473450069487804,3.33939557115022,0.834500820915894
