CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:19:30.588
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 135
OBJECT_ID = IRIDIUM 135

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.017975 -0.029274  0.000000 0.999410
60311 43242.0  0.023162 -0.028927  0.000000 0.999313
60311 43252.0  0.028348 -0.028578  0.000000 0.999190
60311 43262.0  0.033533 -0.028226  0.000000 0.999039
60311 43272.0  0.038718 -0.027872  0.000000 0.998861
60311 43282.0  0.043901 -0.027516  0.000000 0.998657
60311 43292.0  0.049083 -0.027157  0.000000 0.998425
60311 43302.0  0.054264 -0.026796  0.000000 0.998167
60311 43312.0  0.059443 -0.026433  0.000000 0.997882
60311 43322.0  0.064620 -0.026067  0.000000 0.997569
60311 43332.0  0.069796 -0.025699  0.000000 0.997230
60311 43342.0  0.074969 -0.025328  0.000000 0.996864
60311 43352.0  0.080141 -0.024955  0.000000 0.996471
60311 43362.0  0.085310 -0.024580  0.000000 0.996051
60311 43372.0  0.090477 -0.024203  0.000000 0.995604
60311 43382.0  0.095641 -0.023823  0.000000 0.995131
60311 43392.0  0.100802 -0.023441  0.000000 0.994630
60311 43402.0  0.105961 -0.023057  0.000000 0.994103
60311 43412.0  0.111117 -0.022670  0.000000 0.993549
60311 43422.0  0.116270 -0.022281  0.000000 0.992968
60311 43432.0  0.121419 -0.021890  0.000000 0.992360
60311 43442.0  0.126566 -0.021496  0.000000 0.991725
60311 43452.0  0.131708 -0.021101  0.000000 0.991064
60311 43462.0  0.136847 -0.020703  0.000000 0.990376
60311 43472.0  0.141983 -0.020303  0.000000 0.989661
60311 43482.0  0.147114 -0.019900  0.000000 0.988919
60311 43492.0  0.152242 -0.019495  0.000000 0.988151
60311 43502.0  0.157365 -0.019089  0.000000 0.987356
60311 43512.0  0.162484 -0.018680  0.000000 0.986534
60311 43522.0  0.167598 -0.018268  0.000000 0.985686
60311 43532.0  0.172708 -0.017855  0.000000 0.984811
60311 43542.0  0.177813 -0.017439  0.000000 0.983910
60311 43552.0  0.182913 -0.017021  0.000000 0.982982
60311 43562.0  0.188008 -0.016601  0.000000 0.982027
60311 43572.0  0.193098 -0.016179  0.000000 0.981046
60311 43582.0  0.198183 -0.015755  0.000000 0.980038
60311 43592.0  0.203263 -0.015328  0.000000 0.979004
60311 43602.0  0.208336 -0.014899  0.000000 0.977944
60311 43612.0  0.213405 -0.014469  0.000000 0.976857
60311 43622.0  0.218467 -0.014036  0.000000 0.975743
60311 43632.0  0.223523 -0.013600  0.000000 0.974604
60311 43642.0  0.228573 -0.013163  0.000000 0.973438
60311 43652.0  0.233617 -0.012724  0.000000 0.972245
60311 43662.0  0.238655 -0.012282  0.000000 0.971027
60311 43672.0  0.243686 -0.011839  0.000000 0.969782
60311 43682.0  0.248711 -0.011393  0.000000 0.968511
60311 43692.0  0.253728 -0.010945  0.000000 0.967214
60311 43702.0  0.258739 -0.010495  0.000000 0.965890
60311 43712.0  0.263743 -0.010043  0.000000 0.964541
60311 43722.0  0.268740 -0.009589  0.000000 0.963165
60311 43732.0  0.273729 -0.009133  0.000000 0.961764
60311 43742.0  0.278711 -0.008674  0.000000 0.960336
60311 43752.0  0.283685 -0.008214  0.000000 0.958882
60311 43762.0  0.288651 -0.007751  0.000000 0.957403
60311 43772.0  0.293610 -0.007287  0.000000 0.955898
60311 43782.0  0.298561 -0.006820  0.000000 0.954366
60311 43792.0  0.303503 -0.006351  0.000000 0.952809
60311 43802.0  0.308437 -0.005881  0.000000 0.951226
60311 43812.0  0.313363 -0.005408  0.000000 0.949618
60311 43822.0  0.318281 -0.004933  0.000000 0.947984
60311 43832.0  0.323189 -0.004456  0.000000 0.946324
60311 43842.0  0.328089 -0.003977  0.000000 0.944638
60311 43852.0  0.332980 -0.003496  0.000000 0.942927
60311 43862.0  0.337862 -0.003013  0.000000 0.941191
60311 43872.0  0.342735 -0.002528  0.000000 0.939429
60311 43882.0  0.347598 -0.002040  0.000000 0.937641
60311 43892.0  0.352452 -0.001551  0.000000 0.935829
60311 43902.0  0.357296 -0.001060  0.000000 0.933990
60311 43912.0  0.362131 -0.000567  0.000000 0.932127
60311 43922.0  0.366956 -0.000071  0.000000 0.930238
60311 43932.0  0.371770  0.000426 -0.000000 0.928325
60311 43942.0  0.376575  0.000926 -0.000000 0.926386
60311 43952.0  0.381369  0.001427 -0.000000 0.924422
60311 43962.0  0.386153  0.001931 -0.000000 0.922433
60311 43972.0  0.390927  0.002436 -0.000000 0.920419
60311 43982.0  0.395690  0.002944 -0.000000 0.918380
60311 43992.0  0.400442  0.003453 -0.000000 0.916316
60311 44002.0  0.405183  0.003965 -0.000000 0.914227
60311 44012.0  0.409913  0.004479 -0.000000 0.912114
60311 44022.0  0.414632  0.004995 -0.000000 0.909975
60311 44032.0  0.419340  0.005512 -0.000000 0.907813
60311 44042.0  0.424036  0.006032 -0.000000 0.905625
60311 44052.0  0.428721  0.006554 -0.000000 0.903413
60311 44062.0  0.433394  0.007078 -0.000000 0.901177
60311 44072.0  0.438055  0.007604 -0.000000 0.898916
60311 44082.0  0.442704  0.008132 -0.000000 0.896631
60311 44092.0  0.447341  0.008662 -0.000000 0.894321
60311 44102.0  0.451966  0.009194 -0.000000 0.891988
60311 44112.0  0.456579  0.009729 -0.000000 0.889630
60311 44122.0  0.461179  0.010265 -0.000000 0.887248
60311 44132.0  0.465767  0.010803 -0.000000 0.884842
60311 44142.0  0.470342  0.011344 -0.000000 0.882411
60311 44152.0  0.474904  0.011886 -0.000000 0.879957
60311 44162.0  0.479453  0.012431 -0.000000 0.877480
60311 44172.0  0.483989  0.012978 -0.000000 0.874978
60311 44182.0  0.488512  0.013526 -0.000000 0.872452
60311 44192.0  0.493021  0.014077 -0.000000 0.869903
60311 44202.0  0.497517  0.014630 -0.000000 0.867331
60311 44212.0  0.502000  0.015186 -0.000000 0.864734
60311 44222.0  0.506469  0.015743 -0.000000 0.862115
60311 44232.0  0.510924  0.016302 -0.000000 0.859472
60311 44242.0  0.515365  0.016864 -0.000000 0.856805
60311 44252.0  0.519791  0.017428 -0.000000 0.854115
60311 44262.0  0.524204  0.017994 -0.000000 0.851403
60311 44272.0  0.528602  0.018562 -0.000000 0.848667
60311 44282.0  0.532986  0.019132 -0.000000 0.845908
60311 44292.0  0.537355  0.019704 -0.000000 0.843126
60311 44302.0  0.541710  0.020279 -0.000000 0.840321
60311 44312.0  0.546050  0.020856 -0.000000 0.837493
60311 44322.0  0.550375  0.021435 -0.000000 0.834643
60311 44332.0  0.554684  0.022016 -0.000000 0.831770
60311 44342.0  0.558979  0.022600 -0.000000 0.828874
60311 44352.0  0.563258  0.023186 -0.000000 0.825956
60311 44362.0  0.567522  0.023774 -0.000000 0.823015
60311 44372.0  0.571770  0.024365 -0.000000 0.820052
60311 44382.0  0.576003  0.024958 -0.000000 0.817067
60311 44392.0  0.580220  0.025553 -0.000000 0.814059
60311 44402.0  0.584420  0.026150 -0.000000 0.811030
60311 44412.0  0.588605  0.026750 -0.000000 0.807978
60311 44422.0  0.592774  0.027352 -0.000000 0.804904
60311 44432.0  0.596926  0.027957 -0.000000 0.801809
60311 44442.0  0.601062  0.028564 -0.000000 0.798692
60311 44452.0  0.605182  0.029174 -0.000000 0.795553
60311 44462.0  0.609285  0.029786 -0.000000 0.792392
60311 44472.0  0.613371  0.030400 -0.000000 0.789210
60311 44482.0  0.617440  0.031017 -0.000000 0.786006
60311 44492.0  0.621492  0.031637 -0.000000 0.782781
60311 44502.0  0.625527  0.032259 -0.000000 0.779535
60311 44512.0  0.629545  0.032884 -0.000000 0.776268
60311 44522.0  0.633546  0.033511 -0.000000 0.772979
60311 44532.0  0.637529  0.034141 -0.000000 0.769669
60311 44542.0  0.641495  0.034774 -0.000000 0.766339
60311 44552.0  0.645443  0.035410 -0.000000 0.762987
60311 44562.0  0.649373  0.036048 -0.000000 0.759615
60311 44572.0  0.653285  0.036689 -0.000000 0.756223
60311 44582.0  0.657179  0.037333 -0.000000 0.752809
