CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:45:58.019
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 105
OBJECT_ID = IRIDIUM 105

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.771907 -0.569345  0.000000 0.282852
60311 43242.0  0.770938 -0.568163  0.000000 0.287829
60311 43252.0  0.769939 -0.566977  0.000000 0.292799
60311 43262.0  0.768913 -0.565784  0.000000 0.297761
60311 43272.0  0.767859 -0.564586  0.000000 0.302714
60311 43282.0  0.766777 -0.563381  0.000000 0.307660
60311 43292.0  0.765669 -0.562169  0.000000 0.312597
60311 43302.0  0.764534 -0.560950  0.000000 0.317526
60311 43312.0  0.763373 -0.559723  0.000000 0.322446
60311 43322.0  0.762186 -0.558489  0.000000 0.327358
60311 43332.0  0.760972 -0.557247  0.000000 0.332260
60311 43342.0  0.759734 -0.555996  0.000000 0.337154
60311 43352.0  0.758470 -0.554737  0.000000 0.342039
60311 43362.0  0.757181 -0.553468  0.000000 0.346914
60311 43372.0  0.755868 -0.552191  0.000000 0.351780
60311 43382.0  0.754529 -0.550905  0.000000 0.356636
60311 43392.0  0.753167 -0.549608  0.000000 0.361483
60311 43402.0  0.751780 -0.548303  0.000000 0.366320
60311 43412.0  0.750370 -0.546987  0.000000 0.371148
60311 43422.0  0.748935 -0.545662  0.000000 0.375965
60311 43432.0  0.747477 -0.544326  0.000000 0.380772
60311 43442.0  0.745996 -0.542980  0.000000 0.385569
60311 43452.0  0.744491 -0.541624  0.000000 0.390355
60311 43462.0  0.742963 -0.540257  0.000000 0.395131
60311 43472.0  0.741412 -0.538880  0.000000 0.399896
60311 43482.0  0.739838 -0.537492  0.000000 0.404650
60311 43492.0  0.738242 -0.536093  0.000000 0.409394
60311 43502.0  0.736623 -0.534683  0.000000 0.414126
60311 43512.0  0.734982 -0.533263  0.000000 0.418847
60311 43522.0  0.733318 -0.531831  0.000000 0.423557
60311 43532.0  0.731632 -0.530388  0.000000 0.428256
60311 43542.0  0.729924 -0.528934  0.000000 0.432943
60311 43552.0  0.728195 -0.527469  0.000000 0.437618
60311 43562.0  0.726443 -0.525992  0.000000 0.442281
60311 43572.0  0.724670 -0.524504  0.000000 0.446933
60311 43582.0  0.722875 -0.523005  0.000000 0.451572
60311 43592.0  0.721059 -0.521494  0.000000 0.456200
