CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:33:26.028
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 134
OBJECT_ID = IRIDIUM 134

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 44232.0 -0.973264  0.200176  0.000000 0.112638
60311 44242.0 -0.975052  0.188241  0.000000 0.117640
60311 44252.0 -0.976494  0.177243  0.000000 0.122655
60311 44262.0 -0.977642  0.167077  0.000000 0.127679
60311 44272.0 -0.978536  0.157653  0.000000 0.132713
60311 44282.0 -0.979211  0.148893  0.000000 0.137754
60311 44292.0 -0.979695  0.140731  0.000000 0.142800
60311 44302.0 -0.980012  0.133107  0.000000 0.147851
60311 44312.0 -0.980179  0.125969  0.000000 0.152906
60311 44322.0 -0.980215  0.119273  0.000000 0.157964
60311 44332.0 -0.980132  0.112979  0.000000 0.163024
60311 44342.0 -0.979943  0.107050  0.000000 0.168085
60311 44352.0 -0.979656  0.101457  0.000000 0.173147
60311 44362.0 -0.979282  0.096170  0.000000 0.178209
60311 44372.0 -0.978826  0.091166  0.000000 0.183271
60311 44382.0 -0.978296  0.086421  0.000000 0.188331
60311 44392.0 -0.977696  0.081917  0.000000 0.193391
60311 44402.0 -0.977032  0.077634  0.000000 0.198448
60311 44412.0 -0.976307  0.073556  0.000000 0.203503
60311 44422.0 -0.975526  0.069669  0.000000 0.208556
60311 44432.0 -0.974691  0.065960  0.000000 0.213605
60311 44442.0 -0.973805  0.062416  0.000000 0.218652
60311 44452.0 -0.972870  0.059026  0.000000 0.223695
60311 44462.0 -0.971890  0.055780  0.000000 0.228733
60311 44472.0 -0.970865  0.052669  0.000000 0.233768
60311 44482.0 -0.969797  0.049685  0.000000 0.238798
60311 44492.0 -0.968689  0.046820  0.000000 0.243824
60311 44502.0 -0.967540  0.044066  0.000000 0.248844
60311 44512.0 -0.966354  0.041417  0.000000 0.253860
60311 44522.0 -0.965130  0.038868  0.000000 0.258870
60311 44532.0 -0.963870  0.036412  0.000000 0.263874
60311 44542.0 -0.962574  0.034044  0.000000 0.268873
60311 44552.0 -0.961244  0.031760  0.000000 0.273865
60311 44562.0 -0.959880  0.029554  0.000000 0.278851
60311 44572.0 -0.958482  0.027424  0.000000 0.283830
60311 44582.0 -0.957052  0.025365  0.000000 0.288803
60311 44592.0 -0.955591  0.023374  0.000000 0.293769
60311 44602.0 -0.954097  0.021446  0.000000 0.298728
60311 44612.0 -0.952573  0.019580  0.000000 0.303680
60311 44622.0 -0.951018  0.017772  0.000000 0.308624
60311 44632.0 -0.949433  0.016020  0.000000 0.313561
60311 44642.0 -0.947818  0.014321  0.000000 0.318489
