CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:31:31.496
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 103
OBJECT_ID = IRIDIUM 103

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.042687 -0.000943  0.000000 0.999088
60311 43242.0  0.039355  0.003048 -0.000000 0.999221
60311 43252.0  0.036021  0.007037 -0.000000 0.999326
60311 43262.0  0.032685  0.011025 -0.000000 0.999405
60311 43272.0  0.029346  0.015012 -0.000000 0.999457
60311 43282.0  0.026006  0.018998 -0.000000 0.999481
60311 43292.0  0.022663  0.022981 -0.000000 0.999479
60311 43302.0  0.019318  0.026963 -0.000000 0.999450
60311 43312.0  0.015972  0.030944 -0.000000 0.999394
60311 43322.0  0.012623  0.034922 -0.000000 0.999310
60311 43332.0  0.009273  0.038898 -0.000000 0.999200
60311 43342.0  0.005922  0.042872 -0.000000 0.999063
60311 43352.0  0.002569  0.046844 -0.000000 0.998899
60311 43362.0 -0.000786  0.050813  0.000000 0.998708
60311 43372.0 -0.004142  0.054780  0.000000 0.998490
60311 43382.0 -0.007499  0.058744  0.000000 0.998245
60311 43392.0 -0.010857  0.062706  0.000000 0.997973
60311 43402.0 -0.014216  0.066665  0.000000 0.997674
60311 43412.0 -0.017576  0.070621  0.000000 0.997348
60311 43422.0 -0.020937  0.074574  0.000000 0.996996
60311 43432.0 -0.024299  0.078523  0.000000 0.996616
60311 43442.0 -0.027661  0.082470  0.000000 0.996210
60311 43452.0 -0.031024  0.086413  0.000000 0.995776
60311 43462.0 -0.034388  0.090353  0.000000 0.995316
60311 43472.0 -0.037752  0.094289  0.000000 0.994829
60311 43482.0 -0.041116  0.098222  0.000000 0.994315
60311 43492.0 -0.044481  0.102151  0.000000 0.993774
60311 43502.0 -0.047845  0.106075  0.000000 0.993206
60311 43512.0 -0.051210  0.109996  0.000000 0.992612
60311 43522.0 -0.054575  0.113913  0.000000 0.991991
60311 43532.0 -0.057940  0.117826  0.000000 0.991343
60311 43542.0 -0.061304  0.121734  0.000000 0.990668
60311 43552.0 -0.064669  0.125638  0.000000 0.989966
60311 43562.0 -0.068033  0.129538  0.000000 0.989238
60311 43572.0 -0.071396  0.133433  0.000000 0.988483
60311 43582.0 -0.074759  0.137323  0.000000 0.987701
60311 43592.0 -0.078121  0.141208  0.000000 0.986893
60311 43602.0 -0.081483  0.145088  0.000000 0.986058
60311 43612.0 -0.084844  0.148964  0.000000 0.985196
60311 43622.0 -0.088204  0.152834  0.000000 0.984308
60311 43632.0 -0.091563  0.156699  0.000000 0.983393
60311 43642.0 -0.094920  0.160558  0.000000 0.982452
60311 43652.0 -0.098277  0.164412  0.000000 0.981484
60311 43662.0 -0.101633  0.168261  0.000000 0.980489
60311 43672.0 -0.104987  0.172104  0.000000 0.979468
60311 43682.0 -0.108340  0.175941  0.000000 0.978421
60311 43692.0 -0.111691  0.179772  0.000000 0.977347
60311 43702.0 -0.115041  0.183597  0.000000 0.976247
60311 43712.0 -0.118389  0.187416  0.000000 0.975120
60311 43722.0 -0.121735  0.191228  0.000000 0.973967
60311 43732.0 -0.125080  0.195035  0.000000 0.972788
60311 43742.0 -0.128423  0.198835  0.000000 0.971582
60311 43752.0 -0.131763  0.202628  0.000000 0.970351
60311 43762.0 -0.135102  0.206415  0.000000 0.969093
60311 43772.0 -0.138438  0.210195  0.000000 0.967808
60311 43782.0 -0.141772  0.213968  0.000000 0.966498
60311 43792.0 -0.145104  0.217734  0.000000 0.965161
60311 43802.0 -0.148434  0.221493  0.000000 0.963799
60311 43812.0 -0.151761  0.225245  0.000000 0.962410
60311 43822.0 -0.155085  0.228990  0.000000 0.960995
60311 43832.0 -0.158407  0.232727  0.000000 0.959555
60311 43842.0 -0.161726  0.236457  0.000000 0.958088
60311 43852.0 -0.165042  0.240179  0.000000 0.956596
60311 43862.0 -0.168355  0.243893  0.000000 0.955077
60311 43872.0 -0.171665  0.247600  0.000000 0.953533
60311 43882.0 -0.174972  0.251298  0.000000 0.951963
60311 43892.0 -0.178276  0.254989  0.000000 0.950367
60311 43902.0 -0.181577  0.258671  0.000000 0.948746
60311 43912.0 -0.184875  0.262345  0.000000 0.947099
60311 43922.0 -0.188169  0.266011  0.000000 0.945426
60311 43932.0 -0.191459  0.269669  0.000000 0.943728
60311 43942.0 -0.194746  0.273317  0.000000 0.942004
60311 43952.0 -0.198030  0.276957  0.000000 0.940255
60311 43962.0 -0.201309  0.280589  0.000000 0.938480
60311 43972.0 -0.204585  0.284211  0.000000 0.936680
60311 43982.0 -0.207857  0.287825  0.000000 0.934854
60311 43992.0 -0.211125  0.291429  0.000000 0.933003
60311 44002.0 -0.214389  0.295024  0.000000 0.931127
60311 44012.0 -0.217649  0.298610  0.000000 0.929226
60311 44022.0 -0.220905  0.302186  0.000000 0.927300
60311 44032.0 -0.224156  0.305753  0.000000 0.925348
60311 44042.0 -0.227403  0.309310  0.000000 0.923371
60311 44052.0 -0.230646  0.312858  0.000000 0.921370
60311 44062.0 -0.233884  0.316395  0.000000 0.919343
60311 44072.0 -0.237118  0.319923  0.000000 0.917292
60311 44082.0 -0.240346  0.323441  0.000000 0.915216
60311 44092.0 -0.243571  0.326948  0.000000 0.913115
60311 44102.0 -0.246790  0.330445  0.000000 0.910989
60311 44112.0 -0.250004  0.333932  0.000000 0.908838
60311 44122.0 -0.253214  0.337409  0.000000 0.906663
60311 44132.0 -0.256418  0.340874  0.000000 0.904463
60311 44142.0 -0.259618  0.344330  0.000000 0.902239
60311 44152.0 -0.262812  0.347774  0.000000 0.899991
60311 44162.0 -0.266001  0.351207  0.000000 0.897718
60311 44172.0 -0.269185  0.354630  0.000000 0.895420
60311 44182.0 -0.272363  0.358041  0.000000 0.893099
60311 44192.0 -0.275536  0.361441  0.000000 0.890753
60311 44202.0 -0.278703  0.364829  0.000000 0.888383
60311 44212.0 -0.281864  0.368207  0.000000 0.885989
60311 44222.0 -0.285020  0.371572  0.000000 0.883571
60311 44232.0 -0.288170  0.374927  0.000000 0.881129
60311 44242.0 -0.291315  0.378269  0.000000 0.878663
60311 44252.0 -0.294453  0.381599  0.000000 0.876173
60311 44262.0 -0.297586  0.384918  0.000000 0.873660
60311 44272.0 -0.300712  0.388224  0.000000 0.871122
60311 44282.0 -0.303832  0.391519  0.000000 0.868562
60311 44292.0 -0.306946  0.394801  0.000000 0.865977
60311 44302.0 -0.310054  0.398070  0.000000 0.863369
60311 44312.0 -0.313156  0.401327  0.000000 0.860738
60311 44322.0 -0.316251  0.404572  0.000000 0.858083
60311 44332.0 -0.319340  0.407804  0.000000 0.855405
60311 44342.0 -0.322422  0.411023  0.000000 0.852704
60311 44352.0 -0.325498  0.414229  0.000000 0.849980
60311 44362.0 -0.328567  0.417422  0.000000 0.847232
60311 44372.0 -0.331629  0.420602  0.000000 0.844462
60311 44382.0 -0.334685  0.423768  0.000000 0.841669
60311 44392.0 -0.337734  0.426922  0.000000 0.838853
60311 44402.0 -0.340776  0.430062  0.000000 0.836014
60311 44412.0 -0.343811  0.433188  0.000000 0.833152
60311 44422.0 -0.346839  0.436301  0.000000 0.830268
60311 44432.0 -0.349860  0.439399  0.000000 0.827361
60311 44442.0 -0.352873  0.442484  0.000000 0.824432
60311 44452.0 -0.355880  0.445556  0.000000 0.821480
60311 44462.0 -0.358879  0.448612  0.000000 0.818506
60311 44472.0 -0.361871  0.451655  0.000000 0.815510
60311 44482.0 -0.364856  0.454684  0.000000 0.812492
60311 44492.0 -0.367833  0.457698  0.000000 0.809451
60311 44502.0 -0.370803  0.460697  0.000000 0.806389
60311 44512.0 -0.373766  0.463682  0.000000 0.803305
60311 44522.0 -0.376720  0.466652  0.000000 0.800199
60311 44532.0 -0.379667  0.469607  0.000000 0.797071
60311 44542.0 -0.382607  0.472548  0.000000 0.793921
60311 44552.0 -0.385539  0.475473  0.000000 0.790750
60311 44562.0 -0.388463  0.478383  0.000000 0.787557
60311 44572.0 -0.391379  0.481277  0.000000 0.784343
60311 44582.0 -0.394287  0.484157  0.000000 0.781108
60311 44592.0 -0.397187  0.487021  0.000000 0.777852
