CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:46:52.718
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 128
OBJECT_ID = IRIDIUM 128

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.678424 -0.625333  0.000000 0.385615
60311 43242.0  0.677040 -0.623851  0.000000 0.390419
60311 43252.0  0.675636 -0.622353  0.000000 0.395212
60311 43262.0  0.674210 -0.620842  0.000000 0.399995
60311 43272.0  0.672764 -0.619316  0.000000 0.404766
60311 43282.0  0.671298 -0.617776  0.000000 0.409527
60311 43292.0  0.669811 -0.616221  0.000000 0.414276
60311 43302.0  0.668303 -0.614652  0.000000 0.419015
60311 43312.0  0.666776 -0.613069  0.000000 0.423742
60311 43322.0  0.665228 -0.611470  0.000000 0.428457
60311 43332.0  0.663660 -0.609858  0.000000 0.433161
60311 43342.0  0.662073 -0.608230  0.000000 0.437853
60311 43352.0  0.660465 -0.606588  0.000000 0.442534
60311 43362.0  0.658838 -0.604932  0.000000 0.447202
60311 43372.0  0.657191 -0.603261  0.000000 0.451858
60311 43382.0  0.655525 -0.601575  0.000000 0.456503
60311 43392.0  0.653840 -0.599874  0.000000 0.461134
60311 43402.0  0.652135 -0.598159  0.000000 0.465753
60311 43412.0  0.650410 -0.596429  0.000000 0.470360
60311 43422.0  0.648667 -0.594685  0.000000 0.474954
60311 43432.0  0.646905 -0.592925  0.000000 0.479535
60311 43442.0  0.645124 -0.591152  0.000000 0.484103
60311 43452.0  0.643323 -0.589363  0.000000 0.488657
60311 43462.0  0.641504 -0.587560  0.000000 0.493199
60311 43472.0  0.639667 -0.585742  0.000000 0.497727
60311 43482.0  0.637810 -0.583910  0.000000 0.502242
