CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:19:36.851
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 116
OBJECT_ID = IRIDIUM 116

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.296611 -0.006991  0.000000 0.954973
60311 43242.0  0.301557 -0.006523  0.000000 0.953426
60311 43252.0  0.306495 -0.006053  0.000000 0.951853
60311 43262.0  0.311424 -0.005581  0.000000 0.950255
60311 43272.0  0.316345 -0.005106  0.000000 0.948630
60311 43282.0  0.321257 -0.004630  0.000000 0.946981
60311 43292.0  0.326161 -0.004152  0.000000 0.945305
60311 43302.0  0.331056 -0.003671  0.000000 0.943604
60311 43312.0  0.335941 -0.003189  0.000000 0.941878
60311 43322.0  0.340818 -0.002704  0.000000 0.940125
60311 43332.0  0.345685 -0.002217  0.000000 0.938348
60311 43342.0  0.350543 -0.001729  0.000000 0.936545
60311 43352.0  0.355391 -0.001238  0.000000 0.934717
60311 43362.0  0.360230 -0.000745  0.000000 0.932863
60311 43372.0  0.365058 -0.000250  0.000000 0.930985
60311 43382.0  0.369877  0.000246 -0.000000 0.929081
60311 43392.0  0.374686  0.000745 -0.000000 0.927151
60311 43402.0  0.379485  0.001246 -0.000000 0.925197
60311 43412.0  0.384273  0.001749 -0.000000 0.923218
60311 43422.0  0.389051  0.002254 -0.000000 0.921214
60311 43432.0  0.393818  0.002761 -0.000000 0.919184
60311 43442.0  0.398574  0.003270 -0.000000 0.917130
60311 43452.0  0.403320  0.003781 -0.000000 0.915051
60311 43462.0  0.408055  0.004294 -0.000000 0.912947
60311 43472.0  0.412778  0.004810 -0.000000 0.910819
60311 43482.0  0.417491  0.005327 -0.000000 0.908666
60311 43492.0  0.422192  0.005846 -0.000000 0.906488
60311 43502.0  0.426881  0.006367 -0.000000 0.904285
60311 43512.0  0.431559  0.006891 -0.000000 0.902059
60311 43522.0  0.436225  0.007416 -0.000000 0.899807
60311 43532.0  0.440879  0.007944 -0.000000 0.897531
60311 43542.0  0.445521  0.008473 -0.000000 0.895231
60311 43552.0  0.450151  0.009005 -0.000000 0.892907
60311 43562.0  0.454769  0.009538 -0.000000 0.890559
60311 43572.0  0.459374  0.010074 -0.000000 0.888186
