CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:20:52.433
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 166
OBJECT_ID = IRIDIUM 166

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.053082 -0.152228  0.000000 0.986919
60311 43242.0  0.052409 -0.147134  0.000000 0.987727
60311 43252.0  0.051734 -0.142037  0.000000 0.988509
60311 43262.0  0.051056 -0.136935  0.000000 0.989263
60311 43272.0  0.050374 -0.131831  0.000000 0.989991
60311 43282.0  0.049690 -0.126723  0.000000 0.990693
60311 43292.0  0.049002 -0.121612  0.000000 0.991367
60311 43302.0  0.048312 -0.116498  0.000000 0.992015
60311 43312.0  0.047618 -0.111381  0.000000 0.992636
60311 43322.0  0.046921 -0.106262  0.000000 0.993230
60311 43332.0  0.046222 -0.101140  0.000000 0.993798
60311 43342.0  0.045519 -0.096015  0.000000 0.994339
60311 43352.0  0.044814 -0.090888  0.000000 0.994852
60311 43362.0  0.044105 -0.085759  0.000000 0.995339
60311 43372.0  0.043394 -0.080628  0.000000 0.995799
60311 43382.0  0.042680 -0.075495  0.000000 0.996232
60311 43392.0  0.041963 -0.070360  0.000000 0.996639
60311 43402.0  0.041243 -0.065224  0.000000 0.997018
60311 43412.0  0.040520 -0.060086  0.000000 0.997370
60311 43422.0  0.039795 -0.054947  0.000000 0.997696
60311 43432.0  0.039067 -0.049806  0.000000 0.997995
60311 43442.0  0.038336 -0.044665  0.000000 0.998266
60311 43452.0  0.037602 -0.039523  0.000000 0.998511
60311 43462.0  0.036866 -0.034379  0.000000 0.998729
60311 43472.0  0.036127 -0.029235  0.000000 0.998919
60311 43482.0  0.035385 -0.024091  0.000000 0.999083
60311 43492.0  0.034641 -0.018946  0.000000 0.999220
60311 43502.0  0.033894 -0.013801  0.000000 0.999330
60311 43512.0  0.033144 -0.008656  0.000000 0.999413
60311 43522.0  0.032392 -0.003510  0.000000 0.999469
60311 43532.0  0.031637  0.001635 -0.000000 0.999498
60311 43542.0  0.030880  0.006779 -0.000000 0.999500
60311 43552.0  0.030121  0.011924 -0.000000 0.999475
60311 43562.0  0.029358  0.017067 -0.000000 0.999423
60311 43572.0  0.028594  0.022210 -0.000000 0.999344
60311 43582.0  0.027827  0.027353 -0.000000 0.999238
60311 43592.0  0.027057  0.032494 -0.000000 0.999106
60311 43602.0  0.026285  0.037634 -0.000000 0.998946
60311 43612.0  0.025511  0.042773 -0.000000 0.998759
60311 43622.0  0.024734  0.047910 -0.000000 0.998545
60311 43632.0  0.023955  0.053046 -0.000000 0.998305
60311 43642.0  0.023174  0.058180 -0.000000 0.998037
60311 43652.0  0.022390  0.063313 -0.000000 0.997743
60311 43662.0  0.021604  0.068443 -0.000000 0.997421
60311 43672.0  0.020816  0.073571 -0.000000 0.997073
60311 43682.0  0.020025  0.078698 -0.000000 0.996697
60311 43692.0  0.019233  0.083821 -0.000000 0.996295
60311 43702.0  0.018438  0.088943 -0.000000 0.995866
60311 43712.0  0.017640  0.094061 -0.000000 0.995410
60311 43722.0  0.016841  0.099177 -0.000000 0.994927
60311 43732.0  0.016039  0.104290 -0.000000 0.994418
60311 43742.0  0.015236  0.109400 -0.000000 0.993881
