CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:48:31.149
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 148
OBJECT_ID = IRIDIUM 148

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.049340  0.135719  0.000000 0.989518
60311 43242.0 -0.051114  0.140556  0.000000 0.988752
60311 43252.0 -0.052887  0.145390  0.000000 0.987960
60311 43262.0 -0.054659  0.150220  0.000000 0.987140
60311 43272.0 -0.056429  0.155046  0.000000 0.986294
60311 43282.0 -0.058197  0.159867  0.000000 0.985421
60311 43292.0 -0.059964  0.164685  0.000000 0.984522
60311 43302.0 -0.061730  0.169498  0.000000 0.983595
60311 43312.0 -0.063494  0.174306  0.000000 0.982642
60311 43322.0 -0.065256  0.179110  0.000000 0.981663
60311 43332.0 -0.067016  0.183909  0.000000 0.980656
60311 43342.0 -0.068775  0.188703  0.000000 0.979623
60311 43352.0 -0.070532  0.193492  0.000000 0.978563
60311 43362.0 -0.072286  0.198275  0.000000 0.977477
60311 43372.0 -0.074039  0.203054  0.000000 0.976364
60311 43382.0 -0.075790  0.207827  0.000000 0.975225
60311 43392.0 -0.077539  0.212594  0.000000 0.974059
60311 43402.0 -0.079286  0.217356  0.000000 0.972867
60311 43412.0 -0.081031  0.222112  0.000000 0.971648
60311 43422.0 -0.082774  0.226861  0.000000 0.970403
60311 43432.0 -0.084515  0.231605  0.000000 0.969132
60311 43442.0 -0.086253  0.236343  0.000000 0.967834
60311 43452.0 -0.087989  0.241074  0.000000 0.966510
60311 43462.0 -0.089722  0.245798  0.000000 0.965160
60311 43472.0 -0.091454  0.250516  0.000000 0.963783
60311 43482.0 -0.093182  0.255228  0.000000 0.962380
60311 43492.0 -0.094909  0.259932  0.000000 0.960951
60311 43502.0 -0.096632  0.264630  0.000000 0.959496
60311 43512.0 -0.098354  0.269320  0.000000 0.958015
60311 43522.0 -0.100072  0.274003  0.000000 0.956508
60311 43532.0 -0.101788  0.278679  0.000000 0.954975
60311 43542.0 -0.103501  0.283347  0.000000 0.953416
60311 43552.0 -0.105212  0.288007  0.000000 0.951831
60311 43562.0 -0.106919  0.292660  0.000000 0.950220
60311 43572.0 -0.108624  0.297305  0.000000 0.948583
60311 43582.0 -0.110326  0.301942  0.000000 0.946921
