CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:49:48.040
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 168
OBJECT_ID = IRIDIUM 168

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 44232.0 -0.223410  0.175210  0.000000 0.958848
60311 44242.0 -0.227344  0.178277  0.000000 0.957357
60311 44252.0 -0.231272  0.181338  0.000000 0.955840
60311 44262.0 -0.235193  0.184394  0.000000 0.954297
60311 44272.0 -0.239109  0.187446  0.000000 0.952728
60311 44282.0 -0.243017  0.190492  0.000000 0.951134
60311 44292.0 -0.246919  0.193533  0.000000 0.949514
60311 44302.0 -0.250814  0.196569  0.000000 0.947868
60311 44312.0 -0.254703  0.199599  0.000000 0.946196
60311 44322.0 -0.258584  0.202624  0.000000 0.944499
60311 44332.0 -0.262459  0.205643  0.000000 0.942776
60311 44342.0 -0.266326  0.208656  0.000000 0.941028
60311 44352.0 -0.270186  0.211664  0.000000 0.939254
60311 44362.0 -0.274039  0.214666  0.000000 0.937455
60311 44372.0 -0.277884  0.217662  0.000000 0.935630
60311 44382.0 -0.281722  0.220652  0.000000 0.933780
60311 44392.0 -0.285552  0.223636  0.000000 0.931905
60311 44402.0 -0.289375  0.226614  0.000000 0.930005
60311 44412.0 -0.293189  0.229586  0.000000 0.928079
60311 44422.0 -0.296996  0.232551  0.000000 0.926128
60311 44432.0 -0.300794  0.235510  0.000000 0.924153
60311 44442.0 -0.304584  0.238462  0.000000 0.922152
60311 44452.0 -0.308366  0.241408  0.000000 0.920126
60311 44462.0 -0.312140  0.244348  0.000000 0.918076
60311 44472.0 -0.315905  0.247280  0.000000 0.916000
60311 44482.0 -0.319661  0.250206  0.000000 0.913900
60311 44492.0 -0.323409  0.253125  0.000000 0.911775
60311 44502.0 -0.327148  0.256037  0.000000 0.909626
60311 44512.0 -0.330878  0.258942  0.000000 0.907452
60311 44522.0 -0.334600  0.261840  0.000000 0.905253
60311 44532.0 -0.338312  0.264731  0.000000 0.903030
60311 44542.0 -0.342015  0.267614  0.000000 0.900782
60311 44552.0 -0.345708  0.270491  0.000000 0.898510
60311 44562.0 -0.349393  0.273359  0.000000 0.896214
60311 44572.0 -0.353067  0.276221  0.000000 0.893893
60311 44582.0 -0.356733  0.279074  0.000000 0.891549
60311 44592.0 -0.360388  0.281920  0.000000 0.889180
60311 44602.0 -0.364034  0.284759  0.000000 0.886787
60311 44612.0 -0.367670  0.287589  0.000000 0.884371
60311 44622.0 -0.371296  0.290412  0.000000 0.881930
60311 44632.0 -0.374912  0.293227  0.000000 0.879465
60311 44642.0 -0.378517  0.296033  0.000000 0.876977
60311 44652.0 -0.382113  0.298832  0.000000 0.874465
60311 44662.0 -0.385698  0.301622  0.000000 0.871930
60311 44672.0 -0.389272  0.304404  0.000000 0.869370
60311 44682.0 -0.392837  0.307178  0.000000 0.866788
60311 44692.0 -0.396390  0.309944  0.000000 0.864182
60311 44702.0 -0.399933  0.312701  0.000000 0.861552
60311 44712.0 -0.403464  0.315449  0.000000 0.858900
60311 44722.0 -0.406985  0.318189  0.000000 0.856224
60311 44732.0 -0.410495  0.320920  0.000000 0.853525
60311 44742.0 -0.413994  0.323642  0.000000 0.850802
60311 44752.0 -0.417482  0.326355  0.000000 0.848057
60311 44762.0 -0.420958  0.329060  0.000000 0.845289
60311 44772.0 -0.424423  0.331756  0.000000 0.842498
60311 44782.0 -0.427876  0.334442  0.000000 0.839685
60311 44792.0 -0.431318  0.337119  0.000000 0.836849
60311 44802.0 -0.434748  0.339787  0.000000 0.833990
60311 44812.0 -0.438166  0.342446  0.000000 0.831108
60311 44822.0 -0.441573  0.345096  0.000000 0.828204
60311 44832.0 -0.444967  0.347736  0.000000 0.825278
60311 44842.0 -0.448350  0.350366  0.000000 0.822330
60311 44852.0 -0.451720  0.352987  0.000000 0.819359
60311 44862.0 -0.455078  0.355599  0.000000 0.816366
60311 44872.0 -0.458424  0.358200  0.000000 0.813351
60311 44882.0 -0.461757  0.360792  0.000000 0.810314
60311 44892.0 -0.465078  0.363374  0.000000 0.807256
60311 44902.0 -0.468387  0.365946  0.000000 0.804175
60311 44912.0 -0.471682  0.368508  0.000000 0.801073
60311 44922.0 -0.474965  0.371060  0.000000 0.797949
60311 44932.0 -0.478235  0.373602  0.000000 0.794804
60311 44942.0 -0.481492  0.376133  0.000000 0.791637
60311 44952.0 -0.484737  0.378655  0.000000 0.788448
60311 44962.0 -0.487968  0.381166  0.000000 0.785239
60311 44972.0 -0.491185  0.383666  0.000000 0.782008
60311 44982.0 -0.494390  0.386157  0.000000 0.778756
60311 44992.0 -0.497581  0.388636  0.000000 0.775484
60311 45002.0 -0.500759  0.391105  0.000000 0.772190
60311 45012.0 -0.503923  0.393563  0.000000 0.768875
60311 45022.0 -0.507074  0.396011  0.000000 0.765540
60311 45032.0 -0.510211  0.398448  0.000000 0.762184
60311 45042.0 -0.513334  0.400874  0.000000 0.758807
60311 45052.0 -0.516443  0.403289  0.000000 0.755410
60311 45062.0 -0.519539  0.405693  0.000000 0.751993
60311 45072.0 -0.522620  0.408085  0.000000 0.748555
60311 45082.0 -0.525687  0.410467  0.000000 0.745097
60311 45092.0 -0.528740  0.412838  0.000000 0.741619
60311 45102.0 -0.531779  0.415197  0.000000 0.738121
60311 45112.0 -0.534803  0.417545  0.000000 0.734603
60311 45122.0 -0.537813  0.419881  0.000000 0.731066
60311 45132.0 -0.540808  0.422206  0.000000 0.727508
60311 45142.0 -0.543789  0.424520  0.000000 0.723931
60311 45152.0 -0.546755  0.426822  0.000000 0.720334
60311 45162.0 -0.549707  0.429112  0.000000 0.716718
60311 45172.0 -0.552643  0.431391  0.000000 0.713083
60311 45182.0 -0.555565  0.433657  0.000000 0.709428
60311 45192.0 -0.558472  0.435912  0.000000 0.705755
60311 45202.0 -0.561363  0.438155  0.000000 0.702062
60311 45212.0 -0.564240  0.440386  0.000000 0.698350
60311 45222.0 -0.567101  0.442606  0.000000 0.694620
60311 45232.0 -0.569947  0.444813  0.000000 0.690870
60311 45242.0 -0.572778  0.447007  0.000000 0.687103
60311 45252.0 -0.575593  0.449190  0.000000 0.683316
60311 45262.0 -0.578393  0.451360  0.000000 0.679511
60311 45272.0 -0.581177  0.453518  0.000000 0.675688
60311 45282.0 -0.583945  0.455664  0.000000 0.671847
60311 45292.0 -0.586698  0.457797  0.000000 0.667987
60311 45302.0 -0.589435  0.459918  0.000000 0.664110
60311 45312.0 -0.592156  0.462026  0.000000 0.660215
60311 45322.0 -0.594861  0.464122  0.000000 0.656301
60311 45332.0 -0.597550  0.466205  0.000000 0.652370
60311 45342.0 -0.600223  0.468275  0.000000 0.648422
60311 45352.0 -0.602880  0.470332  0.000000 0.644456
60311 45362.0 -0.605520  0.472377  0.000000 0.640473
60311 45372.0 -0.608145  0.474408  0.000000 0.636472
60311 45382.0 -0.610753  0.476427  0.000000 0.632454
60311 45392.0 -0.613344  0.478432  0.000000 0.628420
60311 45402.0 -0.615919  0.480425  0.000000 0.624368
60311 45412.0 -0.618478  0.482404  0.000000 0.620299
60311 45422.0 -0.621020  0.484370  0.000000 0.616214
60311 45432.0 -0.623545  0.486323  0.000000 0.612112
60311 45442.0 -0.626053  0.488263  0.000000 0.607994
60311 45452.0 -0.628545  0.490189  0.000000 0.603859
60311 45462.0 -0.631019  0.492102  0.000000 0.599708
60311 45472.0 -0.633477  0.494002  0.000000 0.595541
60311 45482.0 -0.635918  0.495888  0.000000 0.591358
60311 45492.0 -0.638341  0.497760  0.000000 0.587159
60311 45502.0 -0.640748  0.499619  0.000000 0.582944
60311 45512.0 -0.643137  0.501464  0.000000 0.578713
60311 45522.0 -0.645509  0.503295  0.000000 0.574467
60311 45532.0 -0.647864  0.505113  0.000000 0.570205
60311 45542.0 -0.650201  0.506917  0.000000 0.565928
60311 45552.0 -0.652521  0.508707  0.000000 0.561635
60311 45562.0 -0.654823  0.510483  0.000000 0.557328
60311 45572.0 -0.657108  0.512244  0.000000 0.553005
60311 45582.0 -0.659375  0.513992  0.000000 0.548668
60311 45592.0 -0.661624  0.515726  0.000000 0.544316
60311 45602.0 -0.663856  0.517446  0.000000 0.539949
60311 45612.0 -0.666070  0.519151  0.000000 0.535568
60311 45622.0 -0.668266  0.520843  0.000000 0.531172
60311 45632.0 -0.670444  0.522520  0.000000 0.526762
60311 45642.0 -0.672604  0.524182  0.000000 0.522337
