CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:45:43.205
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 106
OBJECT_ID = IRIDIUM 106

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.523520 -0.117249  0.000000 0.843907
60311 43242.0  0.519222 -0.116244  0.000000 0.846697
60311 43252.0  0.514909 -0.115235  0.000000 0.849464
60311 43262.0  0.510583 -0.114223  0.000000 0.852208
60311 43272.0  0.506242 -0.113208  0.000000 0.854929
60311 43282.0  0.501888 -0.112191  0.000000 0.857626
60311 43292.0  0.497519 -0.111171  0.000000 0.860300
60311 43302.0  0.493138 -0.110148  0.000000 0.862950
60311 43312.0  0.488742 -0.109122  0.000000 0.865577
60311 43322.0  0.484334 -0.108094  0.000000 0.868180
60311 43332.0  0.479912 -0.107063  0.000000 0.870760
60311 43342.0  0.475477 -0.106029  0.000000 0.873315
60311 43352.0  0.471029 -0.104993  0.000000 0.875847
60311 43362.0  0.466568 -0.103954  0.000000 0.878355
60311 43372.0  0.462095 -0.102912  0.000000 0.880839
60311 43382.0  0.457609 -0.101868  0.000000 0.883299
60311 43392.0  0.453110 -0.100821  0.000000 0.885735
60311 43402.0  0.448599 -0.099772  0.000000 0.888147
60311 43412.0  0.444076 -0.098721  0.000000 0.890534
60311 43422.0  0.439540 -0.097667  0.000000 0.892897
60311 43432.0  0.434993 -0.096610  0.000000 0.895236
60311 43442.0  0.430434 -0.095551  0.000000 0.897550
60311 43452.0  0.425863 -0.094490  0.000000 0.899840
60311 43462.0  0.421280 -0.093426  0.000000 0.902106
60311 43472.0  0.416686 -0.092360  0.000000 0.904346
60311 43482.0  0.412081 -0.091292  0.000000 0.906562
60311 43492.0  0.407464 -0.090222  0.000000 0.908754
60311 43502.0  0.402836 -0.089149  0.000000 0.910920
60311 43512.0  0.398198 -0.088074  0.000000 0.913062
60311 43522.0  0.393548 -0.086997  0.000000 0.915178
60311 43532.0  0.388888 -0.085918  0.000000 0.917270
60311 43542.0  0.384217 -0.084837  0.000000 0.919337
60311 43552.0  0.379535 -0.083753  0.000000 0.921378
