CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:50:11.533
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 167
OBJECT_ID = IRIDIUM 167

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.697865 -0.544639  0.000000 0.465138
60311 43242.0  0.695963 -0.543135  0.000000 0.469723
60311 43252.0  0.694042 -0.541617  0.000000 0.474295
60311 43262.0  0.692102 -0.540085  0.000000 0.478855
60311 43272.0  0.690144 -0.538538  0.000000 0.483403
60311 43282.0  0.688166 -0.536977  0.000000 0.487937
60311 43292.0  0.686170 -0.535402  0.000000 0.492459
60311 43302.0  0.684155 -0.533812  0.000000 0.496967
60311 43312.0  0.682121 -0.532209  0.000000 0.501462
60311 43322.0  0.680069 -0.530591  0.000000 0.505944
60311 43332.0  0.677999 -0.528958  0.000000 0.510412
60311 43342.0  0.675910 -0.527312  0.000000 0.514867
60311 43352.0  0.673802 -0.525652  0.000000 0.519308
60311 43362.0  0.671676 -0.523977  0.000000 0.523735
60311 43372.0  0.669532 -0.522289  0.000000 0.528148
60311 43382.0  0.667370 -0.520587  0.000000 0.532547
60311 43392.0  0.665190 -0.518871  0.000000 0.536932
60311 43402.0  0.662991 -0.517140  0.000000 0.541303
60311 43412.0  0.660774 -0.515396  0.000000 0.545659
60311 43422.0  0.658540 -0.513639  0.000000 0.550001
60311 43432.0  0.656287 -0.511867  0.000000 0.554328
60311 43442.0  0.654017 -0.510082  0.000000 0.558640
60311 43452.0  0.651728 -0.508283  0.000000 0.562937
60311 43462.0  0.649423 -0.506471  0.000000 0.567219
60311 43472.0  0.647099 -0.504645  0.000000 0.571487
60311 43482.0  0.644758 -0.502805  0.000000 0.575738
60311 43492.0  0.642399 -0.500952  0.000000 0.579975
60311 43502.0  0.640023 -0.499085  0.000000 0.584196
60311 43512.0  0.637629 -0.497206  0.000000 0.588401
60311 43522.0  0.635218 -0.495312  0.000000 0.592591
60311 43532.0  0.632789 -0.493406  0.000000 0.596765
60311 43542.0  0.630344 -0.491486  0.000000 0.600923
60311 43552.0  0.627881 -0.489553  0.000000 0.605065
60311 43562.0  0.625401 -0.487607  0.000000 0.609190
60311 43572.0  0.622904 -0.485647  0.000000 0.613300
60311 43582.0  0.620390 -0.483675  0.000000 0.617393
60311 43592.0  0.617860 -0.481690  0.000000 0.621470
60311 43602.0  0.615312 -0.479691  0.000000 0.625529
60311 43612.0  0.612748 -0.477680  0.000000 0.629573
60311 43622.0  0.610167 -0.475656  0.000000 0.633599
60311 43632.0  0.607569 -0.473619  0.000000 0.637608
60311 43642.0  0.604955 -0.471570  0.000000 0.641601
60311 43652.0  0.602324 -0.469507  0.000000 0.645576
60311 43662.0  0.599677 -0.467432  0.000000 0.649534
60311 43672.0  0.597014 -0.465345  0.000000 0.653475
60311 43682.0  0.594334 -0.463245  0.000000 0.657398
60311 43692.0  0.591638 -0.461132  0.000000 0.661303
60311 43702.0  0.588926 -0.459007  0.000000 0.665191
60311 43712.0  0.586198 -0.456869  0.000000 0.669061
60311 43722.0  0.583454 -0.454720  0.000000 0.672913
60311 43732.0  0.580694 -0.452558  0.000000 0.676747
60311 43742.0  0.577918 -0.450383  0.000000 0.680563
60311 43752.0  0.575127 -0.448197  0.000000 0.684360
60311 43762.0  0.572319 -0.445998  0.000000 0.688139
60311 43772.0  0.569497 -0.443788  0.000000 0.691900
60311 43782.0  0.566658 -0.441565  0.000000 0.695643
60311 43792.0  0.563804 -0.439331  0.000000 0.699366
60311 43802.0  0.560935 -0.437085  0.000000 0.703071
60311 43812.0  0.558051 -0.434826  0.000000 0.706757
60311 43822.0  0.555151 -0.432556  0.000000 0.710424
60311 43832.0  0.552236 -0.430275  0.000000 0.714072
60311 43842.0  0.549306 -0.427982  0.000000 0.717701
60311 43852.0  0.546361 -0.425677  0.000000 0.721311
60311 43862.0  0.543401 -0.423360  0.000000 0.724901
60311 43872.0  0.540426 -0.421033  0.000000 0.728472
60311 43882.0  0.537437 -0.418693  0.000000 0.732023
60311 43892.0  0.534433 -0.416343  0.000000 0.735554
60311 43902.0  0.531414 -0.413981  0.000000 0.739066
60311 43912.0  0.528381 -0.411608  0.000000 0.742558
60311 43922.0  0.525333 -0.409224  0.000000 0.746030
60311 43932.0  0.522271 -0.406829  0.000000 0.749482
60311 43942.0  0.519195 -0.404422  0.000000 0.752914
60311 43952.0  0.516104 -0.402005  0.000000 0.756325
60311 43962.0  0.513000 -0.399577  0.000000 0.759717
60311 43972.0  0.509881 -0.397138  0.000000 0.763088
60311 43982.0  0.506749 -0.394688  0.000000 0.766438
60311 43992.0  0.503602 -0.392228  0.000000 0.769768
60311 44002.0  0.500442 -0.389757  0.000000 0.773077
60311 44012.0  0.497268 -0.387275  0.000000 0.776365
60311 44022.0  0.494081 -0.384783  0.000000 0.779632
60311 44032.0  0.490880 -0.382281  0.000000 0.782878
60311 44042.0  0.487665 -0.379768  0.000000 0.786104
60311 44052.0  0.484438 -0.377244  0.000000 0.789308
60311 44062.0  0.481197 -0.374711  0.000000 0.792491
60311 44072.0  0.477943 -0.372167  0.000000 0.795652
60311 44082.0  0.474675 -0.369613  0.000000 0.798792
60311 44092.0  0.471395 -0.367050  0.000000 0.801911
60311 44102.0  0.468102 -0.364476  0.000000 0.805008
60311 44112.0  0.464796 -0.361892  0.000000 0.808083
60311 44122.0  0.461478 -0.359299  0.000000 0.811137
60311 44132.0  0.458146 -0.356695  0.000000 0.814168
60311 44142.0  0.454803 -0.354082  0.000000 0.817178
60311 44152.0  0.451446 -0.351460  0.000000 0.820166
60311 44162.0  0.448078 -0.348828  0.000000 0.823132
60311 44172.0  0.444697 -0.346186  0.000000 0.826075
60311 44182.0  0.441304 -0.343535  0.000000 0.828996
60311 44192.0  0.437899 -0.340875  0.000000 0.831895
60311 44202.0  0.434482 -0.338205  0.000000 0.834771
60311 44212.0  0.431053 -0.335526  0.000000 0.837625
60311 44222.0  0.427612 -0.332838  0.000000 0.840456
60311 44232.0  0.424159 -0.330141  0.000000 0.843265
60311 44242.0  0.420695 -0.327435  0.000000 0.846051
60311 44252.0  0.417219 -0.324720  0.000000 0.848814
60311 44262.0  0.413732 -0.321996  0.000000 0.851554
60311 44272.0  0.410234 -0.319264  0.000000 0.854271
60311 44282.0  0.406724 -0.316522  0.000000 0.856965
60311 44292.0  0.403203 -0.313773  0.000000 0.859636
60311 44302.0  0.399671 -0.311014  0.000000 0.862284
60311 44312.0  0.396128 -0.308247  0.000000 0.864908
60311 44322.0  0.392574 -0.305472  0.000000 0.867509
60311 44332.0  0.389010 -0.302689  0.000000 0.870087
60311 44342.0  0.385435 -0.299897  0.000000 0.872641
60311 44352.0  0.381849 -0.297097  0.000000 0.875171
60311 44362.0  0.378252 -0.294289  0.000000 0.877678
60311 44372.0  0.374646 -0.291472  0.000000 0.880162
60311 44382.0  0.371029 -0.288648  0.000000 0.882621
60311 44392.0  0.367402 -0.285816  0.000000 0.885056
60311 44402.0  0.363764 -0.282977  0.000000 0.887468
60311 44412.0  0.360117 -0.280129  0.000000 0.889856
60311 44422.0  0.356460 -0.277274  0.000000 0.892219
60311 44432.0  0.352793 -0.274412  0.000000 0.894559
60311 44442.0  0.349117 -0.271542  0.000000 0.896874
60311 44452.0  0.345430 -0.268664  0.000000 0.899165
60311 44462.0  0.341735 -0.265779  0.000000 0.901432
60311 44472.0  0.338030 -0.262887  0.000000 0.903674
60311 44482.0  0.334315 -0.259988  0.000000 0.905892
60311 44492.0  0.330592 -0.257081  0.000000 0.908085
60311 44502.0  0.326859 -0.254168  0.000000 0.910254
60311 44512.0  0.323118 -0.251248  0.000000 0.912398
60311 44522.0  0.319367 -0.248321  0.000000 0.914517
60311 44532.0  0.315608 -0.245387  0.000000 0.916612
60311 44542.0  0.311840 -0.242446  0.000000 0.918682
60311 44552.0  0.308063 -0.239499  0.000000 0.920727
60311 44562.0  0.304278 -0.236545  0.000000 0.922747
60311 44572.0  0.300485 -0.233585  0.000000 0.924742
60311 44582.0  0.296683 -0.230618  0.000000 0.926712
60311 44592.0  0.292874 -0.227645  0.000000 0.928656
60311 44602.0  0.289056 -0.224666  0.000000 0.930576
60311 44612.0  0.285230 -0.221681  0.000000 0.932471
60311 44622.0  0.281396 -0.218689  0.000000 0.934340
60311 44632.0  0.277555 -0.215692  0.000000 0.936184
60311 44642.0  0.273706 -0.212689  0.000000 0.938002
60311 44652.0  0.269849 -0.209680  0.000000 0.939796
60311 44662.0  0.265985 -0.206665  0.000000 0.941563
60311 44672.0  0.262114 -0.203645  0.000000 0.943305
60311 44682.0  0.258235 -0.200619  0.000000 0.945022
60311 44692.0  0.254350 -0.197587  0.000000 0.946713
60311 44702.0  0.250457 -0.194550  0.000000 0.948378
60311 44712.0  0.246557 -0.191508  0.000000 0.950018
60311 44722.0  0.242651 -0.188461  0.000000 0.951632
60311 44732.0  0.238738 -0.185408  0.000000 0.953220
60311 44742.0  0.234818 -0.182351  0.000000 0.954782
60311 44752.0  0.230892 -0.179288  0.000000 0.956318
60311 44762.0  0.226960 -0.176221  0.000000 0.957829
60311 44772.0  0.223021 -0.173148  0.000000 0.959313
60311 44782.0  0.219076 -0.170071  0.000000 0.960771
60311 44792.0  0.215125 -0.166990  0.000000 0.962204
60311 44802.0  0.211168 -0.163903  0.000000 0.963610
60311 44812.0  0.207205 -0.160813  0.000000 0.964990
60311 44822.0  0.203237 -0.157717  0.000000 0.966344
60311 44832.0  0.199263 -0.154618  0.000000 0.967671
60311 44842.0  0.195283 -0.151514  0.000000 0.968973
60311 44852.0  0.191298 -0.148406  0.000000 0.970248
60311 44862.0  0.187308 -0.145295  0.000000 0.971496
60311 44872.0  0.183313 -0.142179  0.000000 0.972719
60311 44882.0  0.179312 -0.139059  0.000000 0.973915
60311 44892.0  0.175307 -0.135935  0.000000 0.975084
60311 44902.0  0.171296 -0.132808  0.000000 0.976227
60311 44912.0  0.167281 -0.129677  0.000000 0.977344
60311 44922.0  0.163262 -0.126543  0.000000 0.978434
60311 44932.0  0.159237 -0.123405  0.000000 0.979497
60311 44942.0  0.155209 -0.120264  0.000000 0.980534
60311 44952.0  0.151176 -0.117119  0.000000 0.981544
60311 44962.0  0.147139 -0.113971  0.000000 0.982528
60311 44972.0  0.143098 -0.110821  0.000000 0.983485
60311 44982.0  0.139053 -0.107667  0.000000 0.984415
60311 44992.0  0.135004 -0.104510  0.000000 0.985318
60311 45002.0  0.130951 -0.101350  0.000000 0.986195
60311 45012.0  0.126895 -0.098188  0.000000 0.987045
60311 45022.0  0.122835 -0.095022  0.000000 0.987868
60311 45032.0  0.118772 -0.091855  0.000000 0.988664
60311 45042.0  0.114705 -0.088684  0.000000 0.989433
60311 45052.0  0.110635 -0.085512  0.000000 0.990176
60311 45062.0  0.106562 -0.082337  0.000000 0.990891
60311 45072.0  0.102487 -0.079159  0.000000 0.991580
60311 45082.0  0.098408 -0.075980  0.000000 0.992241
60311 45092.0  0.094327 -0.072798  0.000000 0.992876
60311 45102.0  0.090243 -0.069615  0.000000 0.993484
60311 45112.0  0.086156 -0.066430  0.000000 0.994065
60311 45122.0  0.082067 -0.063242  0.000000 0.994618
60311 45132.0  0.077976 -0.060053  0.000000 0.995145
60311 45142.0  0.073882 -0.056863  0.000000 0.995645
60311 45152.0  0.069787 -0.053671  0.000000 0.996117
60311 45162.0  0.065690 -0.050477  0.000000 0.996563
60311 45172.0  0.061590 -0.047282  0.000000 0.996981
60311 45182.0  0.057489 -0.044086  0.000000 0.997372
60311 45192.0  0.053387 -0.040888  0.000000 0.997736
60311 45202.0  0.049283 -0.037690  0.000000 0.998073
60311 45212.0  0.045177 -0.034490  0.000000 0.998383
60311 45222.0  0.041070 -0.031290  0.000000 0.998666
60311 45232.0  0.036962 -0.028088  0.000000 0.998922
60311 45242.0  0.032853 -0.024886  0.000000 0.999150
60311 45252.0  0.028743 -0.021683  0.000000 0.999352
60311 45262.0  0.024633 -0.018480  0.000000 0.999526
60311 45272.0  0.020521 -0.015276  0.000000 0.999673
60311 45282.0  0.016409 -0.012072  0.000000 0.999792
60311 45292.0  0.012297 -0.008867  0.000000 0.999885
60311 45302.0  0.008184 -0.005662  0.000000 0.999950
60311 45312.0  0.004070 -0.002457  0.000000 0.999989
60311 45322.0 -0.000043  0.000748  0.000000 1.000000
60311 45332.0 -0.004156  0.003953  0.000000 0.999984
60311 45342.0 -0.008270  0.007158  0.000000 0.999940
60311 45352.0 -0.012383  0.010363  0.000000 0.999870
60311 45362.0 -0.016496  0.013567  0.000000 0.999772
60311 45372.0 -0.020608  0.016771  0.000000 0.999647
60311 45382.0 -0.024720  0.019975  0.000000 0.999495
60311 45392.0 -0.028831  0.023178  0.000000 0.999316
60311 45402.0 -0.032942  0.026380  0.000000 0.999109
60311 45412.0 -0.037051  0.029582  0.000000 0.998875
60311 45422.0 -0.041160  0.032783  0.000000 0.998615
60311 45432.0 -0.045268  0.035983  0.000000 0.998327
