CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:19:05.301
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 122
OBJECT_ID = IRIDIUM 122

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.289317  0.693267 -0.000000 0.660058
60311 43242.0  0.290179  0.696619 -0.000000 0.656139
60311 43252.0  0.291027  0.699953 -0.000000 0.652203
60311 43262.0  0.291862  0.703271 -0.000000 0.648249
60311 43272.0  0.292683  0.706571 -0.000000 0.644277
60311 43282.0  0.293490  0.709855 -0.000000 0.640288
60311 43292.0  0.294283  0.713122 -0.000000 0.636282
60311 43302.0  0.295062  0.716371 -0.000000 0.632258
60311 43312.0  0.295827  0.719604 -0.000000 0.628217
60311 43322.0  0.296578  0.722819 -0.000000 0.624159
60311 43332.0  0.297314  0.726017 -0.000000 0.620084
60311 43342.0  0.298035  0.729198 -0.000000 0.615992
60311 43352.0  0.298741  0.732361 -0.000000 0.611883
60311 43362.0  0.299432  0.735507 -0.000000 0.607758
60311 43372.0  0.300109  0.738636 -0.000000 0.603616
60311 43382.0  0.300769  0.741747 -0.000000 0.599458
60311 43392.0  0.301415  0.744840 -0.000000 0.595283
60311 43402.0  0.302044  0.747916 -0.000000 0.591093
60311 43412.0  0.302658  0.750975 -0.000000 0.586886
60311 43422.0  0.303255  0.754016 -0.000000 0.582663
60311 43432.0  0.303837  0.757039 -0.000000 0.578425
60311 43442.0  0.304402  0.760045 -0.000000 0.574171
60311 43452.0  0.304950  0.763032 -0.000000 0.569901
60311 43462.0  0.305481  0.766003 -0.000000 0.565616
60311 43472.0  0.305995  0.768955 -0.000000 0.561315
60311 43482.0  0.306492  0.771890 -0.000000 0.556999
60311 43492.0  0.306972  0.774807 -0.000000 0.552669
60311 43502.0  0.307434  0.777706 -0.000000 0.548323
60311 43512.0  0.307877  0.780588 -0.000000 0.543962
60311 43522.0  0.308303  0.783451 -0.000000 0.539587
60311 43532.0  0.308710  0.786297 -0.000000 0.535197
60311 43542.0  0.309098  0.789125 -0.000000 0.530792
60311 43552.0  0.309467  0.791935 -0.000000 0.526373
60311 43562.0  0.309817  0.794728 -0.000000 0.521940
60311 43572.0  0.310147  0.797503 -0.000000 0.517493
60311 43582.0  0.310457  0.800260 -0.000000 0.513031
60311 43592.0  0.310747  0.802999 -0.000000 0.508556
60311 43602.0  0.311016  0.805720 -0.000000 0.504067
60311 43612.0  0.311265  0.808424 -0.000000 0.499565
60311 43622.0  0.311492  0.811110 -0.000000 0.495049
60311 43632.0  0.311697  0.813778 -0.000000 0.490520
60311 43642.0  0.311881  0.816429 -0.000000 0.485977
60311 43652.0  0.312042  0.819062 -0.000000 0.481422
60311 43662.0  0.312180  0.821678 -0.000000 0.476853
60311 43672.0  0.312295  0.824276 -0.000000 0.472272
60311 43682.0  0.312387  0.826857 -0.000000 0.467677
60311 43692.0  0.312454  0.829420 -0.000000 0.463071
60311 43702.0  0.312496  0.831966 -0.000000 0.458452
60311 43712.0  0.312514  0.834495 -0.000000 0.453820
60311 43722.0  0.312506  0.837007 -0.000000 0.449177
60311 43732.0  0.312471  0.839501 -0.000000 0.444521
60311 43742.0  0.312410  0.841979 -0.000000 0.439854
60311 43752.0  0.312321  0.844440 -0.000000 0.435174
60311 43762.0  0.312205  0.846884 -0.000000 0.430484
60311 43772.0  0.312060  0.849311 -0.000000 0.425781
60311 43782.0  0.311885  0.851722 -0.000000 0.421068
60311 43792.0  0.311681  0.854116 -0.000000 0.416343
60311 43802.0  0.311446  0.856494 -0.000000 0.411607
60311 43812.0  0.311179  0.858855 -0.000000 0.406860
60311 43822.0  0.310880  0.861201 -0.000000 0.402102
60311 43832.0  0.310547  0.863531 -0.000000 0.397334
60311 43842.0  0.310181  0.865845 -0.000000 0.392555
60311 43852.0  0.309779  0.868144 -0.000000 0.387766
60311 43862.0  0.309342  0.870427 -0.000000 0.382967
60311 43872.0  0.308867  0.872696 -0.000000 0.378158
60311 43882.0  0.308354  0.874949 -0.000000 0.373339
60311 43892.0  0.307801  0.877188 -0.000000 0.368510
60311 43902.0  0.307208  0.879412 -0.000000 0.363671
60311 43912.0  0.306573  0.881623 -0.000000 0.358823
60311 43922.0  0.305895  0.883819 -0.000000 0.353966
60311 43932.0  0.305172  0.886002 -0.000000 0.349100
60311 43942.0  0.304402  0.888172 -0.000000 0.344224
60311 43952.0  0.303584  0.890328 -0.000000 0.339340
60311 43962.0  0.302717  0.892473 -0.000000 0.334448
60311 43972.0  0.301798  0.894604 -0.000000 0.329546
60311 43982.0  0.300826  0.896724 -0.000000 0.324637
60311 43992.0  0.299798  0.898833 -0.000000 0.319719
60311 44002.0  0.298712  0.900931 -0.000000 0.314793
60311 44012.0  0.297566  0.903018 -0.000000 0.309860
60311 44022.0  0.296357  0.905095 -0.000000 0.304919
60311 44032.0  0.295083  0.907163 -0.000000 0.299970
60311 44042.0  0.293740  0.909221 -0.000000 0.295014
60311 44052.0  0.292326  0.911271 -0.000000 0.290052
60311 44062.0  0.290837  0.913314 -0.000000 0.285082
60311 44072.0  0.289270  0.915349 -0.000000 0.280105
60311 44082.0  0.287621  0.917378 -0.000000 0.275122
60311 44092.0  0.285886  0.919401 -0.000000 0.270133
60311 44102.0  0.284060  0.921419 -0.000000 0.265138
60311 44112.0  0.282138  0.923432 -0.000000 0.260136
60311 44122.0  0.280116  0.925443 -0.000000 0.255130
