CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:21:20.872
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 180
OBJECT_ID = IRIDIUM 180

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.539918  0.375858 -0.000000 0.753140
60311 43242.0  0.542881  0.378442 -0.000000 0.749708
60311 43252.0  0.545827  0.381019 -0.000000 0.746256
60311 43262.0  0.548755  0.383589 -0.000000 0.742783
60311 43272.0  0.551667  0.386151 -0.000000 0.739291
60311 43282.0  0.554561  0.388707 -0.000000 0.735778
60311 43292.0  0.557438  0.391255 -0.000000 0.732245
60311 43302.0  0.560296  0.393796 -0.000000 0.728692
60311 43312.0  0.563138  0.396330 -0.000000 0.725120
60311 43322.0  0.565961  0.398856 -0.000000 0.721528
60311 43332.0  0.568766  0.401375 -0.000000 0.717916
60311 43342.0  0.571553  0.403887 -0.000000 0.714284
60311 43352.0  0.574322  0.406392 -0.000000 0.710633
60311 43362.0  0.577073  0.408889 -0.000000 0.706963
60311 43372.0  0.579805  0.411379 -0.000000 0.703274
60311 43382.0  0.582518  0.413862 -0.000000 0.699565
60311 43392.0  0.585213  0.416337 -0.000000 0.695837
60311 43402.0  0.587888  0.418805 -0.000000 0.692091
60311 43412.0  0.590545  0.421265 -0.000000 0.688325
60311 43422.0  0.593183  0.423718 -0.000000 0.684541
60311 43432.0  0.595801  0.426164 -0.000000 0.680739
60311 43442.0  0.598400  0.428602 -0.000000 0.676917
60311 43452.0  0.600980  0.431033 -0.000000 0.673078
60311 43462.0  0.603540  0.433457 -0.000000 0.669220
60311 43472.0  0.606080  0.435873 -0.000000 0.665343
60311 43482.0  0.608600  0.438282 -0.000000 0.661449
60311 43492.0  0.611101  0.440683 -0.000000 0.657537
60311 43502.0  0.613581  0.443077 -0.000000 0.653606
60311 43512.0  0.616041  0.445464 -0.000000 0.649658
60311 43522.0  0.618480  0.447843 -0.000000 0.645693
60311 43532.0  0.620899  0.450215 -0.000000 0.641710
60311 43542.0  0.623297  0.452580 -0.000000 0.637709
60311 43552.0  0.625674  0.454938 -0.000000 0.633691
60311 43562.0  0.628030  0.457288 -0.000000 0.629656
60311 43572.0  0.630365  0.459631 -0.000000 0.625603
60311 43582.0  0.632678  0.461967 -0.000000 0.621534
60311 43592.0  0.634971  0.464296 -0.000000 0.617447
60311 43602.0  0.637241  0.466618 -0.000000 0.613344
60311 43612.0  0.639490  0.468933 -0.000000 0.609225
60311 43622.0  0.641717  0.471241 -0.000000 0.605088
60311 43632.0  0.643921  0.473542 -0.000000 0.600935
60311 43642.0  0.646104  0.475836 -0.000000 0.596766
60311 43652.0  0.648264  0.478123 -0.000000 0.592581
60311 43662.0  0.650401  0.480403 -0.000000 0.588380
60311 43672.0  0.652516  0.482677 -0.000000 0.584162
60311 43682.0  0.654608  0.484944 -0.000000 0.579929
60311 43692.0  0.656676  0.487205 -0.000000 0.575680
60311 43702.0  0.658722  0.489459 -0.000000 0.571415
60311 43712.0  0.660744  0.491707 -0.000000 0.567135
60311 43722.0  0.662742  0.493949 -0.000000 0.562839
60311 43732.0  0.664716  0.496184 -0.000000 0.558529
60311 43742.0  0.666666  0.498413 -0.000000 0.554203
60311 43752.0  0.668592  0.500637 -0.000000 0.549862
60311 43762.0  0.670493  0.502854 -0.000000 0.545506
60311 43772.0  0.672370  0.505066 -0.000000 0.541135
60311 43782.0  0.674222  0.507272 -0.000000 0.536750
60311 43792.0  0.676049  0.509473 -0.000000 0.532350
60311 43802.0  0.677850  0.511668 -0.000000 0.527935
60311 43812.0  0.679625  0.513858 -0.000000 0.523507
60311 43822.0  0.681375  0.516043 -0.000000 0.519064
60311 43832.0  0.683099  0.518223 -0.000000 0.514607
60311 43842.0  0.684796  0.520399 -0.000000 0.510136
60311 43852.0  0.686467  0.522570 -0.000000 0.505652
60311 43862.0  0.688111  0.524737 -0.000000 0.501153
60311 43872.0  0.689728  0.526899 -0.000000 0.496642
60311 43882.0  0.691317  0.529058 -0.000000 0.492117
60311 43892.0  0.692879  0.531213 -0.000000 0.487578
60311 43902.0  0.694412  0.533364 -0.000000 0.483026
60311 43912.0  0.695917  0.535513 -0.000000 0.478462
60311 43922.0  0.697393  0.537658 -0.000000 0.473884
60311 43932.0  0.698841  0.539801 -0.000000 0.469294
60311 43942.0  0.700259  0.541941 -0.000000 0.464691
60311 43952.0  0.701647  0.544079 -0.000000 0.460076
60311 43962.0  0.703005  0.546215 -0.000000 0.455448
60311 43972.0  0.704332  0.548350 -0.000000 0.450808
60311 43982.0  0.705629  0.550484 -0.000000 0.446156
60311 43992.0  0.706894  0.552617 -0.000000 0.441492
60311 44002.0  0.708127  0.554750 -0.000000 0.436816
60311 44012.0  0.709328  0.556882 -0.000000 0.432129
60311 44022.0  0.710497  0.559015 -0.000000 0.427430
60311 44032.0  0.711632  0.561149 -0.000000 0.422720
60311 44042.0  0.712733  0.563285 -0.000000 0.417998
60311 44052.0  0.713800  0.565422 -0.000000 0.413265
60311 44062.0  0.714832  0.567562 -0.000000 0.408521
60311 44072.0  0.715828  0.569704 -0.000000 0.403767
60311 44082.0  0.716788  0.571850 -0.000000 0.399001
60311 44092.0  0.717712  0.574000 -0.000000 0.394226
60311 44102.0  0.718598  0.576154 -0.000000 0.389439
60311 44112.0  0.719446  0.578315 -0.000000 0.384643
60311 44122.0  0.720255  0.580481 -0.000000 0.379836
60311 44132.0  0.721024  0.582654 -0.000000 0.375020
60311 44142.0  0.721752  0.584834 -0.000000 0.370193
60311 44152.0  0.722439  0.587023 -0.000000 0.365357
60311 44162.0  0.723083  0.589222 -0.000000 0.360512
60311 44172.0  0.723684  0.591430 -0.000000 0.355657
60311 44182.0  0.724240  0.593650 -0.000000 0.350793
60311 44192.0  0.724751  0.595882 -0.000000 0.345920
60311 44202.0  0.725215  0.598128 -0.000000 0.341038
60311 44212.0  0.725631  0.600388 -0.000000 0.336147
60311 44222.0  0.725997  0.602664 -0.000000 0.331248
60311 44232.0  0.726312  0.604957 -0.000000 0.326340
60311 44242.0  0.726576  0.607268 -0.000000 0.321424
60311 44252.0  0.726785  0.609600 -0.000000 0.316500
60311 44262.0  0.726938  0.611953 -0.000000 0.311568
60311 44272.0  0.727034  0.614329 -0.000000 0.306629
60311 44282.0  0.727071  0.616730 -0.000000 0.301682
60311 44292.0  0.727046  0.619158 -0.000000 0.296727
60311 44302.0  0.726957  0.621616 -0.000000 0.291766
60311 44312.0  0.726802  0.624104 -0.000000 0.286797
60311 44322.0  0.726579  0.626626 -0.000000 0.281822
60311 44332.0  0.726283  0.629184 -0.000000 0.276840
60311 44342.0  0.725914  0.631780 -0.000000 0.271851
60311 44352.0  0.725466  0.634419 -0.000000 0.266857
60311 44362.0  0.724937  0.637101 -0.000000 0.261856
60311 44372.0  0.724323  0.639832 -0.000000 0.256850
60311 44382.0  0.723620  0.642614 -0.000000 0.251838
60311 44392.0  0.722823  0.645451 -0.000000 0.246820
60311 44402.0  0.721927  0.648348 -0.000000 0.241798
60311 44412.0  0.720928  0.651309 -0.000000 0.236771
60311 44422.0  0.719819  0.654338 -0.000000 0.231739
60311 44432.0  0.718593  0.657441 -0.000000 0.226703
60311 44442.0  0.717245  0.660624 -0.000000 0.221663
60311 44452.0  0.715767  0.663893 -0.000000 0.216619
60311 44462.0  0.714149  0.667254 -0.000000 0.211572
60311 44472.0  0.712383  0.670715 -0.000000 0.206521
60311 44482.0  0.710459  0.674284 -0.000000 0.201468
60311 44492.0  0.708364  0.677969 -0.000000 0.196413
60311 44502.0  0.706087  0.681780 -0.000000 0.191355
60311 44512.0  0.703613  0.685728 -0.000000 0.186296
60311 44522.0  0.700927  0.689823 -0.000000 0.181235
60311 44532.0  0.698010  0.694079 -0.000000 0.176174
60311 44542.0  0.694842  0.698509 -0.000000 0.171113
60311 44552.0  0.691401  0.703129 -0.000000 0.166052
60311 44562.0  0.687662  0.707956 -0.000000 0.160992
60311 44572.0  0.683595  0.713009 -0.000000 0.155934
60311 44582.0  0.679167  0.718309 -0.000000 0.150878
60311 44592.0  0.674341  0.723878 -0.000000 0.145825
60311 44602.0  0.669071  0.729744 -0.000000 0.140777
60311 44612.0  0.663307  0.735935 -0.000000 0.135734
60311 44622.0  0.656991  0.742483 -0.000000 0.130697
60311 44632.0  0.650053  0.749425 -0.000000 0.125668
60311 44642.0  0.642413  0.756802 -0.000000 0.120649
60311 44652.0  0.633974  0.764659 -0.000000 0.115641
60311 44662.0  0.624624  0.773047 -0.000000 0.110646
60311 44672.0  0.614227  0.782023 -0.000000 0.105667
60311 44682.0  0.602618  0.791650 -0.000000 0.100707
60311 44692.0  0.589601  0.801997 -0.000000 0.095768
60311 44702.0  0.574932  0.813141 -0.000000 0.090857
