CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:45:50.896
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 109
OBJECT_ID = IRIDIUM 109

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.885207 -0.257935  0.000000 0.387141
60311 43242.0  0.883303 -0.257254  0.000000 0.391914
60311 43252.0  0.881373 -0.256570  0.000000 0.396678
60311 43262.0  0.879419 -0.255881  0.000000 0.401431
60311 43272.0  0.877441 -0.255188  0.000000 0.406173
60311 43282.0  0.875438 -0.254490  0.000000 0.410904
60311 43292.0  0.873412 -0.253788  0.000000 0.415624
60311 43302.0  0.871360 -0.253082  0.000000 0.420334
60311 43312.0  0.869285 -0.252371  0.000000 0.425032
60311 43322.0  0.867186 -0.251655  0.000000 0.429719
60311 43332.0  0.865063 -0.250935  0.000000 0.434394
60311 43342.0  0.862915 -0.250210  0.000000 0.439058
60311 43352.0  0.860744 -0.249480  0.000000 0.443710
60311 43362.0  0.858550 -0.248746  0.000000 0.448350
60311 43372.0  0.856331 -0.248007  0.000000 0.452979
60311 43382.0  0.854089 -0.247262  0.000000 0.457595
60311 43392.0  0.851823 -0.246513  0.000000 0.462199
60311 43402.0  0.849534 -0.245759  0.000000 0.466791
60311 43412.0  0.847222 -0.245000  0.000000 0.471370
60311 43422.0  0.844886 -0.244236  0.000000 0.475937
60311 43432.0  0.842527 -0.243467  0.000000 0.480492
60311 43442.0  0.840145 -0.242692  0.000000 0.485033
60311 43452.0  0.837740 -0.241913  0.000000 0.489561
60311 43462.0  0.835311 -0.241129  0.000000 0.494077
60311 43472.0  0.832860 -0.240339  0.000000 0.498579
60311 43482.0  0.830386 -0.239544  0.000000 0.503068
60311 43492.0  0.827889 -0.238745  0.000000 0.507544
60311 43502.0  0.825370 -0.237940  0.000000 0.512006
60311 43512.0  0.822827 -0.237130  0.000000 0.516454
60311 43522.0  0.820263 -0.236314  0.000000 0.520889
60311 43532.0  0.817675 -0.235494  0.000000 0.525309
60311 43542.0  0.815065 -0.234668  0.000000 0.529716
60311 43552.0  0.812433 -0.233837  0.000000 0.534109
60311 43562.0  0.809779 -0.233001  0.000000 0.538487
60311 43572.0  0.807103 -0.232160  0.000000 0.542851
60311 43582.0  0.804404 -0.231313  0.000000 0.547200
60311 43592.0  0.801683 -0.230461  0.000000 0.551535
60311 43602.0  0.798941 -0.229604  0.000000 0.555856
60311 43612.0  0.796176 -0.228742  0.000000 0.560161
60311 43622.0  0.793390 -0.227875  0.000000 0.564451
60311 43632.0  0.790582 -0.227002  0.000000 0.568727
60311 43642.0  0.787752 -0.226124  0.000000 0.572987
60311 43652.0  0.784901 -0.225241  0.000000 0.577232
60311 43662.0  0.782029 -0.224353  0.000000 0.581461
60311 43672.0  0.779135 -0.223459  0.000000 0.585675
60311 43682.0  0.776219 -0.222560  0.000000 0.589873
60311 43692.0  0.773283 -0.221656  0.000000 0.594056
60311 43702.0  0.770325 -0.220747  0.000000 0.598223
60311 43712.0  0.767346 -0.219833  0.000000 0.602373
60311 43722.0  0.764346 -0.218913  0.000000 0.606508
60311 43732.0  0.761326 -0.217989  0.000000 0.610626
60311 43742.0  0.758284 -0.217059  0.000000 0.614728
60311 43752.0  0.755222 -0.216124  0.000000 0.618814
60311 43762.0  0.752139 -0.215183  0.000000 0.622883
60311 43772.0  0.749035 -0.214238  0.000000 0.626936
60311 43782.0  0.745911 -0.213288  0.000000 0.630971
60311 43792.0  0.742767 -0.212332  0.000000 0.634990
60311 43802.0  0.739602 -0.211371  0.000000 0.638992
60311 43812.0  0.736417 -0.210406  0.000000 0.642977
60311 43822.0  0.733212 -0.209435  0.000000 0.646944
60311 43832.0  0.729987 -0.208459  0.000000 0.650894
60311 43842.0  0.726742 -0.207478  0.000000 0.654827
60311 43852.0  0.723477 -0.206492  0.000000 0.658742
60311 43862.0  0.720193 -0.205501  0.000000 0.662640
60311 43872.0  0.716888 -0.204505  0.000000 0.666520
60311 43882.0  0.713564 -0.203505  0.000000 0.670382
60311 43892.0  0.710221 -0.202499  0.000000 0.674226
60311 43902.0  0.706858 -0.201488  0.000000 0.678052
60311 43912.0  0.703475 -0.200472  0.000000 0.681860
60311 43922.0  0.700074 -0.199451  0.000000 0.685650
60311 43932.0  0.696653 -0.198426  0.000000 0.689421
60311 43942.0  0.693214 -0.197396  0.000000 0.693174
60311 43952.0  0.689755 -0.196360  0.000000 0.696908
60311 43962.0  0.686277 -0.195320  0.000000 0.700624
60311 43972.0  0.682781 -0.194275  0.000000 0.704320
60311 43982.0  0.679266 -0.193226  0.000000 0.707998
60311 43992.0  0.675732 -0.192171  0.000000 0.711657
60311 44002.0  0.672180 -0.191112  0.000000 0.715297
60311 44012.0  0.668610 -0.190048  0.000000 0.718918
60311 44022.0  0.665021 -0.188979  0.000000 0.722519
60311 44032.0  0.661414 -0.187906  0.000000 0.726101
60311 44042.0  0.657789 -0.186828  0.000000 0.729664
60311 44052.0  0.654146 -0.185745  0.000000 0.733206
60311 44062.0  0.650485 -0.184658  0.000000 0.736730
60311 44072.0  0.646806 -0.183566  0.000000 0.740233
60311 44082.0  0.643110 -0.182469  0.000000 0.743717
60311 44092.0  0.639396 -0.181368  0.000000 0.747180
60311 44102.0  0.635664 -0.180263  0.000000 0.750624
60311 44112.0  0.631915 -0.179153  0.000000 0.754047
60311 44122.0  0.628149 -0.178038  0.000000 0.757451
60311 44132.0  0.624365 -0.176919  0.000000 0.760833
60311 44142.0  0.620565 -0.175796  0.000000 0.764196
60311 44152.0  0.616747 -0.174668  0.000000 0.767538
60311 44162.0  0.612913 -0.173536  0.000000 0.770859
60311 44172.0  0.609061 -0.172399  0.000000 0.774159
60311 44182.0  0.605193 -0.171258  0.000000 0.777439
60311 44192.0  0.601309 -0.170113  0.000000 0.780698
60311 44202.0  0.597408 -0.168963  0.000000 0.783936
60311 44212.0  0.593490 -0.167810  0.000000 0.787153
60311 44222.0  0.589557 -0.166652  0.000000 0.790348
60311 44232.0  0.585607 -0.165489  0.000000 0.793522
60311 44242.0  0.581641 -0.164323  0.000000 0.796675
60311 44252.0  0.577659 -0.163152  0.000000 0.799807
60311 44262.0  0.573661 -0.161978  0.000000 0.802917
60311 44272.0  0.569648 -0.160799  0.000000 0.806005
60311 44282.0  0.565619 -0.159616  0.000000 0.809072
60311 44292.0  0.561574 -0.158429  0.000000 0.812117
60311 44302.0  0.557514 -0.157239  0.000000 0.815140
60311 44312.0  0.553439 -0.156044  0.000000 0.818141
60311 44322.0  0.549349 -0.154845  0.000000 0.821121
60311 44332.0  0.545243 -0.153642  0.000000 0.824078
60311 44342.0  0.541123 -0.152436  0.000000 0.827012
60311 44352.0  0.536987 -0.151225  0.000000 0.829925
60311 44362.0  0.532837 -0.150011  0.000000 0.832815
60311 44372.0  0.528673 -0.148793  0.000000 0.835683
60311 44382.0  0.524493 -0.147571  0.000000 0.838528
60311 44392.0  0.520300 -0.146346  0.000000 0.841351
60311 44402.0  0.516092 -0.145116  0.000000 0.844151
60311 44412.0  0.511870 -0.143883  0.000000 0.846928
60311 44422.0  0.507634 -0.142647  0.000000 0.849682
60311 44432.0  0.503383 -0.141406  0.000000 0.852414
60311 44442.0  0.499120 -0.140162  0.000000 0.855122
60311 44452.0  0.494842 -0.138915  0.000000 0.857808
60311 44462.0  0.490551 -0.137664  0.000000 0.860470
60311 44472.0  0.486246 -0.136410  0.000000 0.863109
60311 44482.0  0.481928 -0.135152  0.000000 0.865725
60311 44492.0  0.477596 -0.133890  0.000000 0.868317
60311 44502.0  0.473252 -0.132626  0.000000 0.870886
60311 44512.0  0.468894 -0.131357  0.000000 0.873432
60311 44522.0  0.464524 -0.130086  0.000000 0.875954
60311 44532.0  0.460141 -0.128811  0.000000 0.878452
60311 44542.0  0.455745 -0.127533  0.000000 0.880927
60311 44552.0  0.451336 -0.126252  0.000000 0.883378
60311 44562.0  0.446916 -0.124967  0.000000 0.885804
60311 44572.0  0.442482 -0.123680  0.000000 0.888208
60311 44582.0  0.438037 -0.122389  0.000000 0.890587
