CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:46:44.005
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 126
OBJECT_ID = IRIDIUM 126

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.541533 -0.438814  0.000000 0.717066
60311 43242.0  0.538635 -0.436456  0.000000 0.720679
60311 43252.0  0.535723 -0.434086  0.000000 0.724272
60311 43262.0  0.532796 -0.431704  0.000000 0.727846
60311 43272.0  0.529854 -0.429311  0.000000 0.731400
60311 43282.0  0.526898 -0.426906  0.000000 0.734935
60311 43292.0  0.523928 -0.424490  0.000000 0.738450
60311 43302.0  0.520943 -0.422062  0.000000 0.741945
60311 43312.0  0.517944 -0.419622  0.000000 0.745420
60311 43322.0  0.514931 -0.417171  0.000000 0.748875
60311 43332.0  0.511904 -0.414709  0.000000 0.752310
60311 43342.0  0.508863 -0.412236  0.000000 0.755725
60311 43352.0  0.505808 -0.409751  0.000000 0.759119
60311 43362.0  0.502739 -0.407256  0.000000 0.762494
60311 43372.0  0.499656 -0.404749  0.000000 0.765847
60311 43382.0  0.496560 -0.402231  0.000000 0.769180
60311 43392.0  0.493450 -0.399703  0.000000 0.772493
60311 43402.0  0.490327 -0.397163  0.000000 0.775784
60311 43412.0  0.487190 -0.394613  0.000000 0.779055
60311 43422.0  0.484040 -0.392052  0.000000 0.782305
60311 43432.0  0.480877 -0.389480  0.000000 0.785533
60311 43442.0  0.477700 -0.386898  0.000000 0.788741
60311 43452.0  0.474511 -0.384306  0.000000 0.791927
60311 43462.0  0.471308 -0.381703  0.000000 0.795092
60311 43472.0  0.468093 -0.379089  0.000000 0.798236
60311 43482.0  0.464865 -0.376465  0.000000 0.801358
60311 43492.0  0.461624 -0.373831  0.000000 0.804458
60311 43502.0  0.458370 -0.371187  0.000000 0.807537
60311 43512.0  0.455104 -0.368533  0.000000 0.810595
60311 43522.0  0.451826 -0.365869  0.000000 0.813630
60311 43532.0  0.448535 -0.363195  0.000000 0.816643
60311 43542.0  0.445232 -0.360511  0.000000 0.819635
60311 43552.0  0.441916 -0.357817  0.000000 0.822604
60311 43562.0  0.438589 -0.355113  0.000000 0.825551
60311 43572.0  0.435249 -0.352400  0.000000 0.828476
60311 43582.0  0.431898 -0.349677  0.000000 0.831378
60311 43592.0  0.428535 -0.346945  0.000000 0.834259
60311 43602.0  0.425160 -0.344203  0.000000 0.837116
60311 43612.0  0.421773 -0.341452  0.000000 0.839951
60311 43622.0  0.418375 -0.338691  0.000000 0.842764
60311 43632.0  0.414965 -0.335922  0.000000 0.845553
60311 43642.0  0.411544 -0.333143  0.000000 0.848320
60311 43652.0  0.408112 -0.330355  0.000000 0.851064
60311 43662.0  0.404669 -0.327558  0.000000 0.853785
60311 43672.0  0.401214 -0.324752  0.000000 0.856483
60311 43682.0  0.397748 -0.321938  0.000000 0.859158
60311 43692.0  0.394272 -0.319114  0.000000 0.861810
60311 43702.0  0.390785 -0.316282  0.000000 0.864438
60311 43712.0  0.387287 -0.313441  0.000000 0.867043
60311 43722.0  0.383778 -0.310592  0.000000 0.869625
60311 43732.0  0.380259 -0.307734  0.000000 0.872183
60311 43742.0  0.376729 -0.304868  0.000000 0.874717
60311 43752.0  0.373189 -0.301994  0.000000 0.877228
60311 43762.0  0.369639 -0.299111  0.000000 0.879716
60311 43772.0  0.366079 -0.296220  0.000000 0.882179
60311 43782.0  0.362508 -0.293321  0.000000 0.884619
60311 43792.0  0.358928 -0.290414  0.000000 0.887035
60311 43802.0  0.355338 -0.287500  0.000000 0.889426
60311 43812.0  0.351738 -0.284577  0.000000 0.891794
60311 43822.0  0.348128 -0.281646  0.000000 0.894138
60311 43832.0  0.344509 -0.278708  0.000000 0.896457
60311 43842.0  0.340880 -0.275763  0.000000 0.898752
60311 43852.0  0.337242 -0.272809  0.000000 0.901023
60311 43862.0  0.333595 -0.269849  0.000000 0.903270
60311 43872.0  0.329938 -0.266881  0.000000 0.905492
60311 43882.0  0.326273 -0.263905  0.000000 0.907689
60311 43892.0  0.322598 -0.260923  0.000000 0.909862
60311 43902.0  0.318915 -0.257933  0.000000 0.912011
60311 43912.0  0.315223 -0.254936  0.000000 0.914135
60311 43922.0  0.311522 -0.251933  0.000000 0.916234
60311 43932.0  0.307813 -0.248922  0.000000 0.918308
60311 43942.0  0.304095 -0.245905  0.000000 0.920357
60311 43952.0  0.300369 -0.242881  0.000000 0.922382
60311 43962.0  0.296634 -0.239850  0.000000 0.924381
60311 43972.0  0.292891 -0.236813  0.000000 0.926355
60311 43982.0  0.289141 -0.233769  0.000000 0.928305
60311 43992.0  0.285382 -0.230719  0.000000 0.930229
60311 44002.0  0.281616 -0.227662  0.000000 0.932128
60311 44012.0  0.277841 -0.224600  0.000000 0.934002
60311 44022.0  0.274059 -0.221531  0.000000 0.935850
60311 44032.0  0.270270 -0.218456  0.000000 0.937673
60311 44042.0  0.266473 -0.215375  0.000000 0.939471
60311 44052.0  0.262669 -0.212289  0.000000 0.941243
60311 44062.0  0.258857 -0.209196  0.000000 0.942990
60311 44072.0  0.255039 -0.206098  0.000000 0.944711
60311 44082.0  0.251213 -0.202994  0.000000 0.946407
60311 44092.0  0.247380 -0.199885  0.000000 0.948077
60311 44102.0  0.243541 -0.196770  0.000000 0.949721
60311 44112.0  0.239695 -0.193649  0.000000 0.951339
60311 44122.0  0.235842 -0.190524  0.000000 0.952932
60311 44132.0  0.231983 -0.187393  0.000000 0.954499
60311 44142.0  0.228117 -0.184257  0.000000 0.956040
60311 44152.0  0.224245 -0.181116  0.000000 0.957555
60311 44162.0  0.220367 -0.177970  0.000000 0.959044
60311 44172.0  0.216483 -0.174819  0.000000 0.960507
60311 44182.0  0.212593 -0.171664  0.000000 0.961944
60311 44192.0  0.208697 -0.168504  0.000000 0.963355
60311 44202.0  0.204795 -0.165339  0.000000 0.964739
60311 44212.0  0.200887 -0.162169  0.000000 0.966098
60311 44222.0  0.196974 -0.158995  0.000000 0.967430
60311 44232.0  0.193056 -0.155817  0.000000 0.968737
60311 44242.0  0.189132 -0.152635  0.000000 0.970016
60311 44252.0  0.185203 -0.149448  0.000000 0.971270
60311 44262.0  0.181269 -0.146257  0.000000 0.972497
60311 44272.0  0.177329 -0.143063  0.000000 0.973698
60311 44282.0  0.173385 -0.139864  0.000000 0.974872
60311 44292.0  0.169436 -0.136662  0.000000 0.976020
60311 44302.0  0.165483 -0.133455  0.000000 0.977141
60311 44312.0  0.161525 -0.130245  0.000000 0.978236
60311 44322.0  0.157562 -0.127032  0.000000 0.979304
60311 44332.0  0.153595 -0.123815  0.000000 0.980346
60311 44342.0  0.149624 -0.120595  0.000000 0.981361
60311 44352.0  0.145648 -0.117371  0.000000 0.982350
60311 44362.0  0.141669 -0.114144  0.000000 0.983311
60311 44372.0  0.137686 -0.110914  0.000000 0.984246
60311 44382.0  0.133698 -0.107681  0.000000 0.985155
60311 44392.0  0.129707 -0.104445  0.000000 0.986036
60311 44402.0  0.125713 -0.101206  0.000000 0.986891
60311 44412.0  0.121715 -0.097965  0.000000 0.987719
60311 44422.0  0.117714 -0.094721  0.000000 0.988520
60311 44432.0  0.113709 -0.091474  0.000000 0.989294
60311 44442.0  0.109701 -0.088224  0.000000 0.990041
60311 44452.0  0.105690 -0.084973  0.000000 0.990762
60311 44462.0  0.101676 -0.081718  0.000000 0.991456
60311 44472.0  0.097660 -0.078462  0.000000 0.992122
60311 44482.0  0.093640 -0.075203  0.000000 0.992762
60311 44492.0  0.089618 -0.071943  0.000000 0.993374
60311 44502.0  0.085594 -0.068680  0.000000 0.993960
60311 44512.0  0.081567 -0.065416  0.000000 0.994519
60311 44522.0  0.077538 -0.062150  0.000000 0.995050
60311 44532.0  0.073506 -0.058882  0.000000 0.995555
60311 44542.0  0.069473 -0.055612  0.000000 0.996033
60311 44552.0  0.065438 -0.052341  0.000000 0.996483
60311 44562.0  0.061400 -0.049069  0.000000 0.996906
60311 44572.0  0.057361 -0.045795  0.000000 0.997303
60311 44582.0  0.053321 -0.042520  0.000000 0.997672
60311 44592.0  0.049279 -0.039243  0.000000 0.998014
60311 44602.0  0.045235 -0.035966  0.000000 0.998329
60311 44612.0  0.041191 -0.032688  0.000000 0.998616
60311 44622.0  0.037145 -0.029409  0.000000 0.998877
60311 44632.0  0.033098 -0.026129  0.000000 0.999111
60311 44642.0  0.029050 -0.022848  0.000000 0.999317
60311 44652.0  0.025001 -0.019566  0.000000 0.999496
60311 44662.0  0.020952 -0.016285  0.000000 0.999648
60311 44672.0  0.016901 -0.013002  0.000000 0.999773
60311 44682.0  0.012851 -0.009719  0.000000 0.999870
60311 44692.0  0.008800 -0.006437  0.000000 0.999941
60311 44702.0  0.004748 -0.003153  0.000000 0.999984
60311 44712.0  0.000697  0.000130 -0.000000 1.000000
60311 44722.0 -0.003355  0.003413  0.000000 0.999989
60311 44732.0 -0.007406  0.006696  0.000000 0.999950
60311 44742.0 -0.011457  0.009979  0.000000 0.999885
60311 44752.0 -0.015508  0.013262  0.000000 0.999792
60311 44762.0 -0.019559  0.016544  0.000000 0.999672
60311 44772.0 -0.023609  0.019826  0.000000 0.999525
60311 44782.0 -0.027659  0.023107  0.000000 0.999350
60311 44792.0 -0.031708  0.026388  0.000000 0.999149
60311 44802.0 -0.035756  0.029668  0.000000 0.998920
60311 44812.0 -0.039803  0.032947  0.000000 0.998664
60311 44822.0 -0.043849  0.036225  0.000000 0.998381
60311 44832.0 -0.047894  0.039502  0.000000 0.998071
60311 44842.0 -0.051937  0.042778  0.000000 0.997734
60311 44852.0 -0.055980  0.046053  0.000000 0.997369
60311 44862.0 -0.060020  0.049327  0.000000 0.996978
60311 44872.0 -0.064060  0.052599  0.000000 0.996559
60311 44882.0 -0.068097  0.055870  0.000000 0.996113
60311 44892.0 -0.072133  0.059139  0.000000 0.995640
60311 44902.0 -0.076166  0.062407  0.000000 0.995140
60311 44912.0 -0.080198  0.065673  0.000000 0.994613
60311 44922.0 -0.084227  0.068937  0.000000 0.994059
60311 44932.0 -0.088254  0.072199  0.000000 0.993478
60311 44942.0 -0.092279  0.075460  0.000000 0.992870
60311 44952.0 -0.096301  0.078718  0.000000 0.992235
60311 44962.0 -0.100321  0.081974  0.000000 0.991572
60311 44972.0 -0.104338  0.085228  0.000000 0.990883
60311 44982.0 -0.108352  0.088479  0.000000 0.990167
60311 44992.0 -0.112364  0.091728  0.000000 0.989424
60311 45002.0 -0.116372  0.094975  0.000000 0.988654
60311 45012.0 -0.120377  0.098218  0.000000 0.987858
60311 45022.0 -0.124378  0.101460  0.000000 0.987034
60311 45032.0 -0.128377  0.104698  0.000000 0.986183
60311 45042.0 -0.132372  0.107933  0.000000 0.985306
60311 45052.0 -0.136363  0.111166  0.000000 0.984402
60311 45062.0 -0.140351  0.114395  0.000000 0.983471
60311 45072.0 -0.144334  0.117622  0.000000 0.982513
60311 45082.0 -0.148314  0.120845  0.000000 0.981529
60311 45092.0 -0.152290  0.124064  0.000000 0.980518
60311 45102.0 -0.156262  0.127281  0.000000 0.979480
60311 45112.0 -0.160229  0.130494  0.000000 0.978416
60311 45122.0 -0.164192  0.133703  0.000000 0.977325
60311 45132.0 -0.168151  0.136908  0.000000 0.976208
60311 45142.0 -0.172105  0.140110  0.000000 0.975064
60311 45152.0 -0.176054  0.143308  0.000000 0.973893
60311 45162.0 -0.179999  0.146502  0.000000 0.972696
60311 45172.0 -0.183938  0.149692  0.000000 0.971473
60311 45182.0 -0.187873  0.152878  0.000000 0.970223
60311 45192.0 -0.191803  0.156059  0.000000 0.968946
60311 45202.0 -0.195727  0.159237  0.000000 0.967644
60311 45212.0 -0.199646  0.162410  0.000000 0.966315
60311 45222.0 -0.203559  0.165578  0.000000 0.964960
60311 45232.0 -0.207467  0.168742  0.000000 0.963578
60311 45242.0 -0.211370  0.171901  0.000000 0.962171
