CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:47:48.188
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 130
OBJECT_ID = IRIDIUM 130

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.749626  0.621904  0.000000 0.226488
60311 43242.0 -0.750461  0.622727  0.000000 0.221403
60311 43252.0 -0.751272  0.623537  0.000000 0.216313
60311 43262.0 -0.752060  0.624334  0.000000 0.211217
60311 43272.0 -0.752824  0.625118  0.000000 0.206115
60311 43282.0 -0.753564  0.625889  0.000000 0.201008
60311 43292.0 -0.754279  0.626649  0.000000 0.195895
60311 43302.0 -0.754969  0.627396  0.000000 0.190777
60311 43312.0 -0.755634  0.628132  0.000000 0.185653
60311 43322.0 -0.756273  0.628857  0.000000 0.180525
60311 43332.0 -0.756886  0.629572  0.000000 0.175392
60311 43342.0 -0.757473  0.630276  0.000000 0.170254
60311 43352.0 -0.758032  0.630972  0.000000 0.165112
60311 43362.0 -0.758563  0.631659  0.000000 0.159965
60311 43372.0 -0.759066  0.632338  0.000000 0.154814
60311 43382.0 -0.759539  0.633011  0.000000 0.149659
60311 43392.0 -0.759981  0.633679  0.000000 0.144499
60311 43402.0 -0.760392  0.634342  0.000000 0.139336
60311 43412.0 -0.760770  0.635002  0.000000 0.134170
60311 43422.0 -0.761114  0.635661  0.000000 0.128999
60311 43432.0 -0.761421  0.636321  0.000000 0.123825
60311 43442.0 -0.761691  0.636985  0.000000 0.118648
60311 43452.0 -0.761920  0.637655  0.000000 0.113468
60311 43462.0 -0.762105  0.638334  0.000000 0.108285
60311 43472.0 -0.762244  0.639026  0.000000 0.103099
60311 43482.0 -0.762332  0.639737  0.000000 0.097910
60311 43492.0 -0.762364  0.640472  0.000000 0.092718
60311 43502.0 -0.762333  0.641239  0.000000 0.087524
60311 43512.0 -0.762232  0.642047  0.000000 0.082328
60311 43522.0 -0.762051  0.642907  0.000000 0.077130
60311 43532.0 -0.761776  0.643835  0.000000 0.071930
60311 43542.0 -0.761390  0.644850  0.000000 0.066728
60311 43552.0 -0.760871  0.645980  0.000000 0.061524
60311 43562.0 -0.760187  0.647259  0.000000 0.056319
60311 43572.0 -0.759293  0.648738  0.000000 0.051112
60311 43582.0 -0.758125  0.650492  0.000000 0.045904
60311 43592.0 -0.756582  0.652631  0.000000 0.040696
60311 43602.0 -0.754509  0.655330  0.000000 0.035486
60311 43612.0 -0.751636  0.658883  0.000000 0.030277
60311 43622.0 -0.747468  0.663825  0.000000 0.025067
60311 43632.0 -0.740977  0.671237  0.000000 0.019858
60311 43642.0 -0.729623  0.683692  0.000000 0.014653
60311 43652.0 -0.705011  0.709133  0.000000 0.009455
60311 43662.0 -0.614332  0.789036  0.000000 0.004298
60311 43672.0  0.998431  0.055983 -0.000000 0.001387
60311 43682.0  0.858192 -0.513290  0.000000 0.006305
60311 43692.0  0.821434 -0.570189  0.000000 0.011487
60311 43702.0  0.806520 -0.590971  0.000000 0.016688
60311 43712.0  0.798435 -0.601683  0.000000 0.021895
60311 43722.0  0.793332 -0.608185  0.000000 0.027104
60311 43732.0  0.789790 -0.612526  0.000000 0.032313
60311 43742.0  0.787160 -0.615606  0.000000 0.037521
60311 43752.0  0.785107 -0.617885  0.000000 0.042729
60311 43762.0  0.783438 -0.619619  0.000000 0.047937
60311 43772.0  0.782034 -0.620965  0.000000 0.053143
60311 43782.0  0.780821 -0.622024  0.000000 0.058348
60311 43792.0  0.779747 -0.622861  0.000000 0.063551
60311 43802.0  0.778775 -0.623524  0.000000 0.068752
60311 43812.0  0.777881 -0.624045  0.000000 0.073952
60311 43822.0  0.777044 -0.624450  0.000000 0.079150
60311 43832.0  0.776250 -0.624757  0.000000 0.084345
60311 43842.0  0.775488 -0.624981  0.000000 0.089538
60311 43852.0  0.774750 -0.625131  0.000000 0.094729
60311 43862.0  0.774029 -0.625217  0.000000 0.099917
60311 43872.0  0.773318 -0.625246  0.000000 0.105103
60311 43882.0  0.772614 -0.625224  0.000000 0.110285
60311 43892.0  0.771913 -0.625155  0.000000 0.115464
60311 43902.0  0.771212 -0.625042  0.000000 0.120641
60311 43912.0  0.770508 -0.624891  0.000000 0.125814
60311 43922.0  0.769799 -0.624702  0.000000 0.130983
60311 43932.0  0.769084 -0.624478  0.000000 0.136149
60311 43942.0  0.768361 -0.624222  0.000000 0.141311
60311 43952.0  0.767628 -0.623935  0.000000 0.146469
60311 43962.0  0.766884 -0.623618  0.000000 0.151624
60311 43972.0  0.766129 -0.623272  0.000000 0.156774
60311 43982.0  0.765361 -0.622900  0.000000 0.161919
60311 43992.0  0.764580 -0.622501  0.000000 0.167061
60311 44002.0  0.763786 -0.622077  0.000000 0.172197
60311 44012.0  0.762977 -0.621628  0.000000 0.177329
60311 44022.0  0.762152 -0.621155  0.000000 0.182456
60311 44032.0  0.761313 -0.620659  0.000000 0.187578
60311 44042.0  0.760458 -0.620139  0.000000 0.192695
60311 44052.0  0.759586 -0.619598  0.000000 0.197807
60311 44062.0  0.758698 -0.619034  0.000000 0.202913
60311 44072.0  0.757794 -0.618449  0.000000 0.208014
60311 44082.0  0.756872 -0.617843  0.000000 0.213109
60311 44092.0  0.755933 -0.617215  0.000000 0.218198
60311 44102.0  0.754977 -0.616568  0.000000 0.223281
60311 44112.0  0.754003 -0.615899  0.000000 0.228358
60311 44122.0  0.753011 -0.615211  0.000000 0.233429
60311 44132.0  0.752002 -0.614503  0.000000 0.238493
60311 44142.0  0.750974 -0.613776  0.000000 0.243551
60311 44152.0  0.749928 -0.613029  0.000000 0.248602
60311 44162.0  0.748864 -0.612263  0.000000 0.253646
60311 44172.0  0.747782 -0.611477  0.000000 0.258684
60311 44182.0  0.746681 -0.610673  0.000000 0.263714
60311 44192.0  0.745562 -0.609850  0.000000 0.268737
60311 44202.0  0.744424 -0.609009  0.000000 0.273753
60311 44212.0  0.743268 -0.608149  0.000000 0.278761
60311 44222.0  0.742093 -0.607271  0.000000 0.283762
60311 44232.0  0.740899 -0.606374  0.000000 0.288755
60311 44242.0  0.739686 -0.605460  0.000000 0.293740
60311 44252.0  0.738455 -0.604527  0.000000 0.298717
60311 44262.0  0.737204 -0.603577  0.000000 0.303686
60311 44272.0  0.735935 -0.602608  0.000000 0.308647
60311 44282.0  0.734647 -0.601622  0.000000 0.313599
60311 44292.0  0.733340 -0.600619  0.000000 0.318542
60311 44302.0  0.732014 -0.599598  0.000000 0.323477
60311 44312.0  0.730670 -0.598559  0.000000 0.328403
60311 44322.0  0.729306 -0.597503  0.000000 0.333320
60311 44332.0  0.727923 -0.596430  0.000000 0.338228
60311 44342.0  0.726522 -0.595340  0.000000 0.343127
60311 44352.0  0.725102 -0.594232  0.000000 0.348016
60311 44362.0  0.723662 -0.593108  0.000000 0.352896
60311 44372.0  0.722204 -0.591966  0.000000 0.357767
60311 44382.0  0.720727 -0.590808  0.000000 0.362627
60311 44392.0  0.719231 -0.589632  0.000000 0.367478
60311 44402.0  0.717716 -0.588440  0.000000 0.372318
60311 44412.0  0.716183 -0.587232  0.000000 0.377149
60311 44422.0  0.714630 -0.586006  0.000000 0.381969
60311 44432.0  0.713059 -0.584764  0.000000 0.386779
60311 44442.0  0.711469 -0.583505  0.000000 0.391578
60311 44452.0  0.709860 -0.582230  0.000000 0.396367
60311 44462.0  0.708233 -0.580939  0.000000 0.401144
60311 44472.0  0.706586 -0.579631  0.000000 0.405911
60311 44482.0  0.704922 -0.578306  0.000000 0.410667
60311 44492.0  0.703238 -0.576966  0.000000 0.415412
60311 44502.0  0.701536 -0.575609  0.000000 0.420145
60311 44512.0  0.699815 -0.574236  0.000000 0.424867
60311 44522.0  0.698076 -0.572847  0.000000 0.429577
60311 44532.0  0.696318 -0.571442  0.000000 0.434275
60311 44542.0  0.694541 -0.570021  0.000000 0.438962
60311 44552.0  0.692747 -0.568585  0.000000 0.443637
60311 44562.0  0.690933 -0.567132  0.000000 0.448300
60311 44572.0  0.689102 -0.565663  0.000000 0.452950
60311 44582.0  0.687252 -0.564179  0.000000 0.457588
60311 44592.0  0.685384 -0.562679  0.000000 0.462214
60311 44602.0  0.683497 -0.561163  0.000000 0.466827
60311 44612.0  0.681592 -0.559632  0.000000 0.471427
60311 44622.0  0.679670 -0.558085  0.000000 0.476015
60311 44632.0  0.677729 -0.556523  0.000000 0.480590
60311 44642.0  0.675769 -0.554945  0.000000 0.485151
60311 44652.0  0.673792 -0.553352  0.000000 0.489699
60311 44662.0  0.671797 -0.551743  0.000000 0.494234
60311 44672.0  0.669784 -0.550120  0.000000 0.498756
60311 44682.0  0.667753 -0.548481  0.000000 0.503264
60311 44692.0  0.665704 -0.546826  0.000000 0.507758
60311 44702.0  0.663638 -0.545157  0.000000 0.512239
60311 44712.0  0.661554 -0.543473  0.000000 0.516705
60311 44722.0  0.659452 -0.541773  0.000000 0.521158
60311 44732.0  0.657332 -0.540059  0.000000 0.525596
60311 44742.0  0.655195 -0.538330  0.000000 0.530020
60311 44752.0  0.653040 -0.536586  0.000000 0.534430
60311 44762.0  0.650867 -0.534827  0.000000 0.538825
60311 44772.0  0.648678 -0.533053  0.000000 0.543205
60311 44782.0  0.646471 -0.531265  0.000000 0.547571
60311 44792.0  0.644246 -0.529462  0.000000 0.551922
60311 44802.0  0.642004 -0.527644  0.000000 0.556257
60311 44812.0  0.639746 -0.525812  0.000000 0.560578
60311 44822.0  0.637470 -0.523965  0.000000 0.564883
60311 44832.0  0.635176 -0.522104  0.000000 0.569173
60311 44842.0  0.632866 -0.520229  0.000000 0.573448
60311 44852.0  0.630539 -0.518339  0.000000 0.577707
60311 44862.0  0.628195 -0.516435  0.000000 0.581950
60311 44872.0  0.625834 -0.514517  0.000000 0.586177
60311 44882.0  0.623456 -0.512585  0.000000 0.590389
60311 44892.0  0.621062 -0.510639  0.000000 0.594584
60311 44902.0  0.618651 -0.508678  0.000000 0.598764
60311 44912.0  0.616223 -0.506704  0.000000 0.602927
60311 44922.0  0.613779 -0.504716  0.000000 0.607073
60311 44932.0  0.611318 -0.502714  0.000000 0.611203
60311 44942.0  0.608841 -0.500698  0.000000 0.615317
