CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:47:14.110
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 129
OBJECT_ID = IRIDIUM 129

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.021744 -0.011833  0.000000 0.999694
60311 43242.0  0.017623 -0.008652  0.000000 0.999807
60311 43252.0  0.013501 -0.005471  0.000000 0.999894
60311 43262.0  0.009379 -0.002291  0.000000 0.999953
60311 43272.0  0.005257  0.000890 -0.000000 0.999986
60311 43282.0  0.001134  0.004070 -0.000000 0.999991
60311 43292.0 -0.002989  0.007250  0.000000 0.999969
60311 43302.0 -0.007112  0.010430  0.000000 0.999920
60311 43312.0 -0.011236  0.013609  0.000000 0.999844
60311 43322.0 -0.015359  0.016788  0.000000 0.999741
60311 43332.0 -0.019481  0.019966  0.000000 0.999611
60311 43342.0 -0.023604  0.023144  0.000000 0.999453
60311 43352.0 -0.027726  0.026321  0.000000 0.999269
60311 43362.0 -0.031847  0.029497  0.000000 0.999057
60311 43372.0 -0.035968  0.032672  0.000000 0.998819
60311 43382.0 -0.040088  0.035846  0.000000 0.998553
60311 43392.0 -0.044206  0.039019  0.000000 0.998260
60311 43402.0 -0.048324  0.042191  0.000000 0.997940
60311 43412.0 -0.052441  0.045361  0.000000 0.997593
60311 43422.0 -0.056557  0.048530  0.000000 0.997219
60311 43432.0 -0.060671  0.051698  0.000000 0.996818
60311 43442.0 -0.064784  0.054864  0.000000 0.996390
60311 43452.0 -0.068895  0.058029  0.000000 0.995935
60311 43462.0 -0.073004  0.061191  0.000000 0.995453
60311 43472.0 -0.077112  0.064353  0.000000 0.994943
60311 43482.0 -0.081218  0.067512  0.000000 0.994407
60311 43492.0 -0.085322  0.070669  0.000000 0.993844
60311 43502.0 -0.089423  0.073824  0.000000 0.993254
60311 43512.0 -0.093523  0.076977  0.000000 0.992637
60311 43522.0 -0.097620  0.080128  0.000000 0.991993
60311 43532.0 -0.101714  0.083276  0.000000 0.991322
60311 43542.0 -0.105806  0.086422  0.000000 0.990624
60311 43552.0 -0.109896  0.089566  0.000000 0.989899
60311 43562.0 -0.113982  0.092707  0.000000 0.989148
60311 43572.0 -0.118066  0.095846  0.000000 0.988369
60311 43582.0 -0.122146  0.098981  0.000000 0.987564
60311 43592.0 -0.126224  0.102114  0.000000 0.986732
60311 43602.0 -0.130298  0.105244  0.000000 0.985873
60311 43612.0 -0.134369  0.108371  0.000000 0.984988
60311 43622.0 -0.138436  0.111495  0.000000 0.984075
60311 43632.0 -0.142500  0.114616  0.000000 0.983136
60311 43642.0 -0.146560  0.117733  0.000000 0.982171
60311 43652.0 -0.150617  0.120847  0.000000 0.981178
60311 43662.0 -0.154669  0.123958  0.000000 0.980159
60311 43672.0 -0.158718  0.127065  0.000000 0.979113
60311 43682.0 -0.162762  0.130169  0.000000 0.978041
60311 43692.0 -0.166802  0.133269  0.000000 0.976942
60311 43702.0 -0.170838  0.136365  0.000000 0.975817
60311 43712.0 -0.174870  0.139458  0.000000 0.974665
60311 43722.0 -0.178897  0.142546  0.000000 0.973487
60311 43732.0 -0.182919  0.145631  0.000000 0.972282
60311 43742.0 -0.186936  0.148711  0.000000 0.971051
60311 43752.0 -0.190949  0.151787  0.000000 0.969793
60311 43762.0 -0.194956  0.154859  0.000000 0.968509
60311 43772.0 -0.198959  0.157927  0.000000 0.967199
60311 43782.0 -0.202956  0.160990  0.000000 0.965863
60311 43792.0 -0.206948  0.164049  0.000000 0.964500
60311 43802.0 -0.210935  0.167103  0.000000 0.963111
60311 43812.0 -0.214916  0.170152  0.000000 0.961696
60311 43822.0 -0.218891  0.173197  0.000000 0.960255
60311 43832.0 -0.222861  0.176237  0.000000 0.958788
60311 43842.0 -0.226825  0.179272  0.000000 0.957294
60311 43852.0 -0.230783  0.182302  0.000000 0.955775
60311 43862.0 -0.234734  0.185326  0.000000 0.954229
60311 43872.0 -0.238680  0.188346  0.000000 0.952658
60311 43882.0 -0.242619  0.191360  0.000000 0.951061
60311 43892.0 -0.246552  0.194369  0.000000 0.949438
60311 43902.0 -0.250479  0.197373  0.000000 0.947789
60311 43912.0 -0.254399  0.200371  0.000000 0.946115
60311 43922.0 -0.258312  0.203363  0.000000 0.944414
60311 43932.0 -0.262218  0.206350  0.000000 0.942688
60311 43942.0 -0.266118  0.209331  0.000000 0.940937
60311 43952.0 -0.270010  0.212306  0.000000 0.939159
60311 43962.0 -0.273896  0.215275  0.000000 0.937357
60311 43972.0 -0.277774  0.218238  0.000000 0.935529
60311 43982.0 -0.281645  0.221195  0.000000 0.933675
60311 43992.0 -0.285508  0.224146  0.000000 0.931796
60311 44002.0 -0.289364  0.227091  0.000000 0.929891
60311 44012.0 -0.293212  0.230029  0.000000 0.927962
60311 44022.0 -0.297052  0.232961  0.000000 0.926007
60311 44032.0 -0.300885  0.235887  0.000000 0.924027
60311 44042.0 -0.304710  0.238806  0.000000 0.922022
60311 44052.0 -0.308526  0.241718  0.000000 0.919991
60311 44062.0 -0.312335  0.244623  0.000000 0.917936
60311 44072.0 -0.316135  0.247522  0.000000 0.915856
60311 44082.0 -0.319926  0.250414  0.000000 0.913751
60311 44092.0 -0.323710  0.253298  0.000000 0.911621
60311 44102.0 -0.327484  0.256176  0.000000 0.909466
60311 44112.0 -0.331251  0.259046  0.000000 0.907286
60311 44122.0 -0.335008  0.261910  0.000000 0.905082
60311 44132.0 -0.338756  0.264766  0.000000 0.902853
60311 44142.0 -0.342496  0.267614  0.000000 0.900599
60311 44152.0 -0.346226  0.270455  0.000000 0.898321
60311 44162.0 -0.349947  0.273289  0.000000 0.896019
60311 44172.0 -0.353659  0.276115  0.000000 0.893692
60311 44182.0 -0.357361  0.278933  0.000000 0.891341
