CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:48:01.266
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 141
OBJECT_ID = IRIDIUM 141

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.236926  0.590299  0.000000 0.771631
60311 43242.0 -0.238403  0.594033  0.000000 0.768303
60311 43252.0 -0.239874  0.597750  0.000000 0.764954
60311 43262.0 -0.241337  0.601452  0.000000 0.761585
60311 43272.0 -0.242794  0.605138  0.000000 0.758195
60311 43282.0 -0.244245  0.608807  0.000000 0.754784
60311 43292.0 -0.245688  0.612460  0.000000 0.751352
60311 43302.0 -0.247125  0.616096  0.000000 0.747901
60311 43312.0 -0.248555  0.619715  0.000000 0.744428
60311 43322.0 -0.249978  0.623318  0.000000 0.740936
60311 43332.0 -0.251394  0.626904  0.000000 0.737423
60311 43342.0 -0.252802  0.630473  0.000000 0.733890
60311 43352.0 -0.254204  0.634025  0.000000 0.730337
60311 43362.0 -0.255599  0.637559  0.000000 0.726765
60311 43372.0 -0.256987  0.641077  0.000000 0.723172
60311 43382.0 -0.258367  0.644577  0.000000 0.719560
60311 43392.0 -0.259740  0.648060  0.000000 0.715928
60311 43402.0 -0.261106  0.651525  0.000000 0.712277
60311 43412.0 -0.262465  0.654973  0.000000 0.708606
60311 43422.0 -0.263816  0.658403  0.000000 0.704916
60311 43432.0 -0.265160  0.661815  0.000000 0.701207
60311 43442.0 -0.266497  0.665209  0.000000 0.697478
60311 43452.0 -0.267826  0.668585  0.000000 0.693731
60311 43462.0 -0.269148  0.671944  0.000000 0.689965
60311 43472.0 -0.270462  0.675284  0.000000 0.686180
60311 43482.0 -0.271768  0.678605  0.000000 0.682376
60311 43492.0 -0.273067  0.681909  0.000000 0.678553
60311 43502.0 -0.274359  0.685194  0.000000 0.674712
60311 43512.0 -0.275642  0.688460  0.000000 0.670853
60311 43522.0 -0.276918  0.691708  0.000000 0.666975
60311 43532.0 -0.278186  0.694937  0.000000 0.663080
60311 43542.0 -0.279446  0.698148  0.000000 0.659166
60311 43552.0 -0.280699  0.701339  0.000000 0.655234
60311 43562.0 -0.281943  0.704512  0.000000 0.651284
60311 43572.0 -0.283180  0.707665  0.000000 0.647317
60311 43582.0 -0.284408  0.710800  0.000000 0.643332
60311 43592.0 -0.285629  0.713915  0.000000 0.639329
60311 43602.0 -0.286842  0.717011  0.000000 0.635309
60311 43612.0 -0.288046  0.720087  0.000000 0.631272
60311 43622.0 -0.289242  0.723144  0.000000 0.627217
60311 43632.0 -0.290431  0.726182  0.000000 0.623145
60311 43642.0 -0.291611  0.729200  0.000000 0.619057
60311 43652.0 -0.292782  0.732198  0.000000 0.614951
60311 43662.0 -0.293946  0.735176  0.000000 0.610829
60311 43672.0 -0.295101  0.738135  0.000000 0.606690
60311 43682.0 -0.296248  0.741074  0.000000 0.602534
60311 43692.0 -0.297386  0.743992  0.000000 0.598362
60311 43702.0 -0.298516  0.746891  0.000000 0.594174
60311 43712.0 -0.299638  0.749769  0.000000 0.589969
60311 43722.0 -0.300751  0.752627  0.000000 0.585748
60311 43732.0 -0.301855  0.755465  0.000000 0.581512
60311 43742.0 -0.302951  0.758282  0.000000 0.577259
60311 43752.0 -0.304039  0.761079  0.000000 0.572991
60311 43762.0 -0.305117  0.763856  0.000000 0.568707
60311 43772.0 -0.306187  0.766611  0.000000 0.564408
60311 43782.0 -0.307248  0.769346  0.000000 0.560093
60311 43792.0 -0.308301  0.772061  0.000000 0.555763
60311 43802.0 -0.309344  0.774754  0.000000 0.551418
60311 43812.0 -0.310379  0.777427  0.000000 0.547058
60311 43822.0 -0.311405  0.780079  0.000000 0.542683
60311 43832.0 -0.312422  0.782709  0.000000 0.538293
60311 43842.0 -0.313430  0.785319  0.000000 0.533888
60311 43852.0 -0.314429  0.787907  0.000000 0.529469
60311 43862.0 -0.315419  0.790474  0.000000 0.525035
60311 43872.0 -0.316400  0.793020  0.000000 0.520587
60311 43882.0 -0.317371  0.795544  0.000000 0.516125
60311 43892.0 -0.318334  0.798047  0.000000 0.511649
60311 43902.0 -0.319287  0.800529  0.000000 0.507158
60311 43912.0 -0.320231  0.802989  0.000000 0.502654
60311 43922.0 -0.321166  0.805427  0.000000 0.498137
60311 43932.0 -0.322091  0.807843  0.000000 0.493605
60311 43942.0 -0.323007  0.810238  0.000000 0.489060
60311 43952.0 -0.323914  0.812611  0.000000 0.484502
60311 43962.0 -0.324811  0.814963  0.000000 0.479931
60311 43972.0 -0.325699  0.817292  0.000000 0.475346
60311 43982.0 -0.326577  0.819599  0.000000 0.470749
60311 43992.0 -0.327446  0.821885  0.000000 0.466138
60311 44002.0 -0.328305  0.824148  0.000000 0.461515
60311 44012.0 -0.329154  0.826389  0.000000 0.456880
60311 44022.0 -0.329993  0.828608  0.000000 0.452231
60311 44032.0 -0.330823  0.830805  0.000000 0.447571
60311 44042.0 -0.331643  0.832979  0.000000 0.442898
60311 44052.0 -0.332453  0.835131  0.000000 0.438213
60311 44062.0 -0.333253  0.837261  0.000000 0.433517
60311 44072.0 -0.334043  0.839368  0.000000 0.428808
60311 44082.0 -0.334823  0.841453  0.000000 0.424088
60311 44092.0 -0.335593  0.843515  0.000000 0.419356
60311 44102.0 -0.336353  0.845555  0.000000 0.414613
60311 44112.0 -0.337103  0.847572  0.000000 0.409858
60311 44122.0 -0.337842  0.849566  0.000000 0.405092
60311 44132.0 -0.338572  0.851538  0.000000 0.400315
60311 44142.0 -0.339290  0.853487  0.000000 0.395527
60311 44152.0 -0.339999  0.855413  0.000000 0.390729
60311 44162.0 -0.340697  0.857317  0.000000 0.385920
60311 44172.0 -0.341384  0.859197  0.000000 0.381100
60311 44182.0 -0.342061  0.861055  0.000000 0.376270
60311 44192.0 -0.342727  0.862890  0.000000 0.371429
60311 44202.0 -0.343382  0.864702  0.000000 0.366578
60311 44212.0 -0.344026  0.866491  0.000000 0.361718
60311 44222.0 -0.344660  0.868257  0.000000 0.356847
60311 44232.0 -0.345282  0.870000  0.000000 0.351967
60311 44242.0 -0.345894  0.871720  0.000000 0.347077
60311 44252.0 -0.346494  0.873417  0.000000 0.342178
60311 44262.0 -0.347083  0.875090  0.000000 0.337269
60311 44272.0 -0.347660  0.876741  0.000000 0.332351
60311 44282.0 -0.348226  0.878369  0.000000 0.327424
60311 44292.0 -0.348781  0.879973  0.000000 0.322488
60311 44302.0 -0.349324  0.881555  0.000000 0.317543
60311 44312.0 -0.349855  0.883113  0.000000 0.312590
60311 44322.0 -0.350374  0.884649  0.000000 0.307628
60311 44332.0 -0.350881  0.886161  0.000000 0.302657
60311 44342.0 -0.351376  0.887650  0.000000 0.297679
60311 44352.0 -0.351858  0.889116  0.000000 0.292692
60311 44362.0 -0.352328  0.890559  0.000000 0.287697
60311 44372.0 -0.352785  0.891979  0.000000 0.282694
60311 44382.0 -0.353230  0.893376  0.000000 0.277684
60311 44392.0 -0.353661  0.894750  0.000000 0.272666
60311 44402.0 -0.354079  0.896101  0.000000 0.267641
60311 44412.0 -0.354484  0.897429  0.000000 0.262608
60311 44422.0 -0.354874  0.898734  0.000000 0.257568
60311 44432.0 -0.355251  0.900016  0.000000 0.252521
60311 44442.0 -0.355614  0.901276  0.000000 0.247467
60311 44452.0 -0.355962  0.902513  0.000000 0.242407
60311 44462.0 -0.356295  0.903728  0.000000 0.237339
60311 44472.0 -0.356613  0.904920  0.000000 0.232266
60311 44482.0 -0.356915  0.906089  0.000000 0.227186
60311 44492.0 -0.357202  0.907237  0.000000 0.222099
60311 44502.0 -0.357472  0.908362  0.000000 0.217007
60311 44512.0 -0.357725  0.909466  0.000000 0.211909
60311 44522.0 -0.357960  0.910547  0.000000 0.206804
60311 44532.0 -0.358177  0.911608  0.000000 0.201695
60311 44542.0 -0.358376  0.912646  0.000000 0.196579
60311 44552.0 -0.358555  0.913664  0.000000 0.191459
60311 44562.0 -0.358714  0.914661  0.000000 0.186333
60311 44572.0 -0.358852  0.915637  0.000000 0.181202
60311 44582.0 -0.358967  0.916593  0.000000 0.176066
60311 44592.0 -0.359059  0.917530  0.000000 0.170925
60311 44602.0 -0.359127  0.918447  0.000000 0.165780
60311 44612.0 -0.359168  0.919346  0.000000 0.160630
60311 44622.0 -0.359182  0.920226  0.000000 0.155475
60311 44632.0 -0.359167  0.921089  0.000000 0.150317
60311 44642.0 -0.359120  0.921935  0.000000 0.145154
60311 44652.0 -0.359039  0.922765  0.000000 0.139988
60311 44662.0 -0.358921  0.923580  0.000000 0.134817
60311 44672.0 -0.358763  0.924382  0.000000 0.129643
60311 44682.0 -0.358562  0.925171  0.000000 0.124465
60311 44692.0 -0.358312  0.925950  0.000000 0.119284
60311 44702.0 -0.358009  0.926720  0.000000 0.114100
60311 44712.0 -0.357646  0.927484  0.000000 0.108912
60311 44722.0 -0.357217  0.928245  0.000000 0.103722
60311 44732.0 -0.356710  0.929005  0.000000 0.098529
60311 44742.0 -0.356117  0.929769  0.000000 0.093333
60311 44752.0 -0.355422  0.930541  0.000000 0.088135
60311 44762.0 -0.354609  0.931329  0.000000 0.082934
60311 44772.0 -0.353656  0.932140  0.000000 0.077731
60311 44782.0 -0.352535  0.932984  0.000000 0.072526
60311 44792.0 -0.351208  0.933874  0.000000 0.067319
60311 44802.0 -0.349626  0.934828  0.000000 0.062111
60311 44812.0 -0.347722  0.935869  0.000000 0.056901
60311 44822.0 -0.345401  0.937031  0.000000 0.051690
60311 44832.0 -0.342525  0.938358  0.000000 0.046478
60311 44842.0 -0.338886  0.939922  0.000000 0.041265
60311 44852.0 -0.334154  0.941829  0.000000 0.036052
60311 44862.0 -0.327778  0.944251  0.000000 0.030839
60311 44872.0 -0.318749  0.947493  0.000000 0.025627
60311 44882.0 -0.305025  0.952126  0.000000 0.020418
60311 44892.0 -0.281730  0.959373  0.000000 0.015216
60311 44902.0 -0.233763  0.972242  0.000000 0.010031
60311 44912.0 -0.081829  0.996634  0.000000 0.004924
60311 44922.0  0.999222  0.039396 -0.000000 0.001540
60311 44932.0  0.588234 -0.808669  0.000000 0.005918
60311 44942.0  0.490573 -0.871330  0.000000 0.011054
60311 44952.0  0.453325 -0.891197  0.000000 0.016244
60311 44962.0  0.433785 -0.900761  0.000000 0.021448
60311 44972.0  0.421750 -0.906320  0.000000 0.026658
60311 44982.0  0.413580 -0.909910  0.000000 0.031870
60311 44992.0  0.407657 -0.912382  0.000000 0.037084
60311 45002.0  0.403154 -0.914154  0.000000 0.042298
60311 45012.0  0.399603 -0.915456  0.000000 0.047511
60311 45022.0  0.396721 -0.916424  0.000000 0.052723
60311 45032.0  0.394326 -0.917143  0.000000 0.057935
60311 45042.0  0.392294 -0.917670  0.000000 0.063145
60311 45052.0  0.390541 -0.918044  0.000000 0.068354
60311 45062.0  0.389005 -0.918294  0.000000 0.073561
60311 45072.0  0.387643 -0.918438  0.000000 0.078766
60311 45082.0  0.386418 -0.918493  0.000000 0.083970
60311 45092.0  0.385307 -0.918470  0.000000 0.089171
60311 45102.0  0.384287 -0.918378  0.000000 0.094370
60311 45112.0  0.383345 -0.918223  0.000000 0.099566
60311 45122.0  0.382465 -0.918012  0.000000 0.104760
60311 45132.0  0.381639 -0.917749  0.000000 0.109950
60311 45142.0  0.380857 -0.917437  0.000000 0.115138
60311 45152.0  0.380113 -0.917080  0.000000 0.120323
60311 45162.0  0.379400 -0.916681  0.000000 0.125505
60311 45172.0  0.378714 -0.916241  0.000000 0.130683
60311 45182.0  0.378051 -0.915762  0.000000 0.135858
60311 45192.0  0.377406 -0.915246  0.000000 0.141029
60311 45202.0  0.376777 -0.914694  0.000000 0.146197
60311 45212.0  0.376161 -0.914108  0.000000 0.151360
60311 45222.0  0.375556 -0.913488  0.000000 0.156520
60311 45232.0  0.374959 -0.912835  0.000000 0.161675
60311 45242.0  0.374370 -0.912149  0.000000 0.166825
60311 45252.0  0.373786 -0.911433  0.000000 0.171972
60311 45262.0  0.373207 -0.910685  0.000000 0.177113
60311 45272.0  0.372630 -0.909907  0.000000 0.182250
60311 45282.0  0.372056 -0.909100  0.000000 0.187382
60311 45292.0  0.371482 -0.908263  0.000000 0.192509
60311 45302.0  0.370909 -0.907397  0.000000 0.197630
60311 45312.0  0.370335 -0.906502  0.000000 0.202746
60311 45322.0  0.369759 -0.905579  0.000000 0.207857
60311 45332.0  0.369182 -0.904628  0.000000 0.212962
60311 45342.0  0.368602 -0.903649  0.000000 0.218061
60311 45352.0  0.368019 -0.902643  0.000000 0.223155
60311 45362.0  0.367433 -0.901609  0.000000 0.228242
60311 45372.0  0.366843 -0.900548  0.000000 0.233323
60311 45382.0  0.366248 -0.899460  0.000000 0.238398
60311 45392.0  0.365649 -0.898346  0.000000 0.243466
60311 45402.0  0.365045 -0.897204  0.000000 0.248528
60311 45412.0  0.364436 -0.896037  0.000000 0.253583
60311 45422.0  0.363822 -0.894843  0.000000 0.258631
60311 45432.0  0.363202 -0.893623  0.000000 0.263672
60311 45442.0  0.362576 -0.892377  0.000000 0.268706
60311 45452.0  0.361943 -0.891105  0.000000 0.273732
60311 45462.0  0.361305 -0.889807  0.000000 0.278751
60311 45472.0  0.360660 -0.888484  0.000000 0.283763
60311 45482.0  0.360008 -0.887135  0.000000 0.288766
60311 45492.0  0.359350 -0.885760  0.000000 0.293762
60311 45502.0  0.358685 -0.884361  0.000000 0.298750
60311 45512.0  0.358012 -0.882936  0.000000 0.303730
60311 45522.0  0.357333 -0.881486  0.000000 0.308702
