CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:45:54.648
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 102
OBJECT_ID = IRIDIUM 102

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.836499 -0.361803  0.000000 0.411544
60311 43242.0  0.834571 -0.360851  0.000000 0.416268
60311 43252.0  0.832619 -0.359891  0.000000 0.420980
60311 43262.0  0.830644 -0.358924  0.000000 0.425681
60311 43272.0  0.828645 -0.357950  0.000000 0.430371
60311 43282.0  0.826623 -0.356967  0.000000 0.435050
60311 43292.0  0.824578 -0.355977  0.000000 0.439716
60311 43302.0  0.822510 -0.354980  0.000000 0.444372
60311 43312.0  0.820419 -0.353974  0.000000 0.449015
60311 43322.0  0.818305 -0.352961  0.000000 0.453646
60311 43332.0  0.816168 -0.351940  0.000000 0.458266
60311 43342.0  0.814009 -0.350911  0.000000 0.462873
60311 43352.0  0.811826 -0.349874  0.000000 0.467468
60311 43362.0  0.809621 -0.348829  0.000000 0.472050
60311 43372.0  0.807394 -0.347777  0.000000 0.476620
60311 43382.0  0.805144 -0.346716  0.000000 0.481177
60311 43392.0  0.802871 -0.345648  0.000000 0.485722
60311 43402.0  0.800576 -0.344571  0.000000 0.490253
60311 43412.0  0.798259 -0.343487  0.000000 0.494772
60311 43422.0  0.795920 -0.342395  0.000000 0.499277
60311 43432.0  0.793558 -0.341294  0.000000 0.503769
60311 43442.0  0.791175 -0.340186  0.000000 0.508248
60311 43452.0  0.788770 -0.339070  0.000000 0.512713
60311 43462.0  0.786342 -0.337945  0.000000 0.517164
60311 43472.0  0.783893 -0.336813  0.000000 0.521601
60311 43482.0  0.781423 -0.335673  0.000000 0.526025
60311 43492.0  0.778930 -0.334525  0.000000 0.530435
60311 43502.0  0.776416 -0.333369  0.000000 0.534830
60311 43512.0  0.773881 -0.332204  0.000000 0.539211
60311 43522.0  0.771324 -0.331032  0.000000 0.543578
60311 43532.0  0.768746 -0.329852  0.000000 0.547931
60311 43542.0  0.766146 -0.328664  0.000000 0.552268
60311 43552.0  0.763525 -0.327468  0.000000 0.556591
60311 43562.0  0.760884 -0.326264  0.000000 0.560899
60311 43572.0  0.758221 -0.325052  0.000000 0.565193
60311 43582.0  0.755537 -0.323832  0.000000 0.569471
60311 43592.0  0.752832 -0.322604  0.000000 0.573733
60311 43602.0  0.750107 -0.321369  0.000000 0.577981
60311 43612.0  0.747361 -0.320125  0.000000 0.582213
60311 43622.0  0.744594 -0.318874  0.000000 0.586429
60311 43632.0  0.741807 -0.317614  0.000000 0.590630
60311 43642.0  0.738999 -0.316347  0.000000 0.594815
60311 43652.0  0.736171 -0.315072  0.000000 0.598984
60311 43662.0  0.733322 -0.313789  0.000000 0.603138
60311 43672.0  0.730453 -0.312499  0.000000 0.607274
60311 43682.0  0.727564 -0.311201  0.000000 0.611395
60311 43692.0  0.724656 -0.309895  0.000000 0.615500
60311 43702.0  0.721727 -0.308581  0.000000 0.619587
60311 43712.0  0.718778 -0.307259  0.000000 0.623659
60311 43722.0  0.715809 -0.305930  0.000000 0.627713
60311 43732.0  0.712821 -0.304593  0.000000 0.631751
60311 43742.0  0.709813 -0.303249  0.000000 0.635772
60311 43752.0  0.706785 -0.301897  0.000000 0.639776
60311 43762.0  0.703738 -0.300537  0.000000 0.643762
60311 43772.0  0.700672 -0.299170  0.000000 0.647732
60311 43782.0  0.697586 -0.297795  0.000000 0.651684
60311 43792.0  0.694481 -0.296413  0.000000 0.655618
60311 43802.0  0.691357 -0.295023  0.000000 0.659535
60311 43812.0  0.688214 -0.293626  0.000000 0.663435
60311 43822.0  0.685052 -0.292221  0.000000 0.667316
60311 43832.0  0.681871 -0.290809  0.000000 0.671180
60311 43842.0  0.678671 -0.289390  0.000000 0.675026
60311 43852.0  0.675452 -0.287963  0.000000 0.678853
60311 43862.0  0.672215 -0.286529  0.000000 0.682662
60311 43872.0  0.668960 -0.285087  0.000000 0.686453
60311 43882.0  0.665686 -0.283639  0.000000 0.690226
60311 43892.0  0.662393 -0.282183  0.000000 0.693980
60311 43902.0  0.659083 -0.280719  0.000000 0.697715
60311 43912.0  0.655754 -0.279249  0.000000 0.701432
60311 43922.0  0.652407 -0.277772  0.000000 0.705129
60311 43932.0  0.649043 -0.276287  0.000000 0.708808
60311 43942.0  0.645660 -0.274796  0.000000 0.712468
60311 43952.0  0.642260 -0.273297  0.000000 0.716109
60311 43962.0  0.638841 -0.271791  0.000000 0.719730
60311 43972.0  0.635406 -0.270279  0.000000 0.723332
60311 43982.0  0.631953 -0.268759  0.000000 0.726914
60311 43992.0  0.628482 -0.267233  0.000000 0.730477
60311 44002.0  0.624994 -0.265699  0.000000 0.734021
60311 44012.0  0.621489 -0.264159  0.000000 0.737544
60311 44022.0  0.617967 -0.262612  0.000000 0.741048
60311 44032.0  0.614427 -0.261058  0.000000 0.744532
60311 44042.0  0.610871 -0.259498  0.000000 0.747995
60311 44052.0  0.607298 -0.257931  0.000000 0.751439
60311 44062.0  0.603708 -0.256357  0.000000 0.754862
60311 44072.0  0.600102 -0.254776  0.000000 0.758265
60311 44082.0  0.596479 -0.253189  0.000000 0.761648
60311 44092.0  0.592840 -0.251596  0.000000 0.765010
60311 44102.0  0.589184 -0.249996  0.000000 0.768351
60311 44112.0  0.585512 -0.248389  0.000000 0.771672
60311 44122.0  0.581824 -0.246776  0.000000 0.774972
60311 44132.0  0.578120 -0.245157  0.000000 0.778251
60311 44142.0  0.574400 -0.243531  0.000000 0.781509
60311 44152.0  0.570665 -0.241899  0.000000 0.784746
60311 44162.0  0.566913 -0.240261  0.000000 0.787962
60311 44172.0  0.563146 -0.238617  0.000000 0.791157
60311 44182.0  0.559363 -0.236966  0.000000 0.794330
60311 44192.0  0.555565 -0.235309  0.000000 0.797482
60311 44202.0  0.551752 -0.233646  0.000000 0.800612
60311 44212.0  0.547923 -0.231977  0.000000 0.803721
60311 44222.0  0.544080 -0.230302  0.000000 0.806808
60311 44232.0  0.540221 -0.228621  0.000000 0.809873
60311 44242.0  0.536347 -0.226934  0.000000 0.812916
60311 44252.0  0.532459 -0.225241  0.000000 0.815937
60311 44262.0  0.528556 -0.223543  0.000000 0.818937
60311 44272.0  0.524638 -0.221838  0.000000 0.821914
60311 44282.0  0.520706 -0.220128  0.000000 0.824869
60311 44292.0  0.516760 -0.218412  0.000000 0.827802
60311 44302.0  0.512799 -0.216690  0.000000 0.830712
60311 44312.0  0.508824 -0.214963  0.000000 0.833600
60311 44322.0  0.504836 -0.213230  0.000000 0.836465
60311 44332.0  0.500833 -0.211491  0.000000 0.839308
60311 44342.0  0.496816 -0.209747  0.000000 0.842128
60311 44352.0  0.492786 -0.207998  0.000000 0.844925
60311 44362.0  0.488742 -0.206243  0.000000 0.847700
60311 44372.0  0.484685 -0.204482  0.000000 0.850451
60311 44382.0  0.480614 -0.202717  0.000000 0.853180
60311 44392.0  0.476530 -0.200946  0.000000 0.855885
60311 44402.0  0.472433 -0.199170  0.000000 0.858568
60311 44412.0  0.468323 -0.197389  0.000000 0.861227
