CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:47:30.299
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 139
OBJECT_ID = IRIDIUM 139

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.018292 -0.008347  0.000000 0.999798
60311 43242.0  0.014095 -0.005258  0.000000 0.999887
60311 43252.0  0.009897 -0.002169  0.000000 0.999949
60311 43262.0  0.005698  0.000920 -0.000000 0.999983
60311 43272.0  0.001500  0.004009 -0.000000 0.999991
60311 43282.0 -0.002699  0.007097  0.000000 0.999971
60311 43292.0 -0.006898  0.010185  0.000000 0.999924
60311 43302.0 -0.011097  0.013273  0.000000 0.999850
60311 43312.0 -0.015296  0.016360  0.000000 0.999749
60311 43322.0 -0.019494  0.019446  0.000000 0.999621
60311 43332.0 -0.023692  0.022532  0.000000 0.999465
60311 43342.0 -0.027890  0.025617  0.000000 0.999283
60311 43352.0 -0.032087  0.028701  0.000000 0.999073
60311 43362.0 -0.036283  0.031784  0.000000 0.998836
60311 43372.0 -0.040478  0.034866  0.000000 0.998572
60311 43382.0 -0.044672  0.037947  0.000000 0.998281
60311 43392.0 -0.048866  0.041027  0.000000 0.997962
60311 43402.0 -0.053058  0.044106  0.000000 0.997617
60311 43412.0 -0.057249  0.047183  0.000000 0.997244
60311 43422.0 -0.061438  0.050258  0.000000 0.996845
60311 43432.0 -0.065626  0.053333  0.000000 0.996418
60311 43442.0 -0.069812  0.056405  0.000000 0.995964
60311 43452.0 -0.073997  0.059476  0.000000 0.995483
60311 43462.0 -0.078180  0.062545  0.000000 0.994975
60311 43472.0 -0.082360  0.065612  0.000000 0.994440
60311 43482.0 -0.086539  0.068677  0.000000 0.993879
60311 43492.0 -0.090715  0.071740  0.000000 0.993290
60311 43502.0 -0.094889  0.074801  0.000000 0.992674
60311 43512.0 -0.099061  0.077860  0.000000 0.992031
60311 43522.0 -0.103230  0.080917  0.000000 0.991361
60311 43532.0 -0.107396  0.083971  0.000000 0.990664
60311 43542.0 -0.111560  0.087023  0.000000 0.989940
60311 43552.0 -0.115721  0.090072  0.000000 0.989189
60311 43562.0 -0.119879  0.093118  0.000000 0.988412
60311 43572.0 -0.124034  0.096162  0.000000 0.987607
60311 43582.0 -0.128185  0.099203  0.000000 0.986776
60311 43592.0 -0.132333  0.102242  0.000000 0.985918
60311 43602.0 -0.136478  0.105277  0.000000 0.985033
60311 43612.0 -0.140619  0.108309  0.000000 0.984122
60311 43622.0 -0.144757  0.111338  0.000000 0.983183
60311 43632.0 -0.148891  0.114364  0.000000 0.982218
60311 43642.0 -0.153020  0.117387  0.000000 0.981226
60311 43652.0 -0.157146  0.120406  0.000000 0.980208
60311 43662.0 -0.161268  0.123422  0.000000 0.979163
60311 43672.0 -0.165386  0.126434  0.000000 0.978091
60311 43682.0 -0.169499  0.129443  0.000000 0.976993
60311 43692.0 -0.173608  0.132448  0.000000 0.975868
60311 43702.0 -0.177712  0.135449  0.000000 0.974716
60311 43712.0 -0.181812  0.138446  0.000000 0.973538
60311 43722.0 -0.185906  0.141440  0.000000 0.972334
60311 43732.0 -0.189996  0.144429  0.000000 0.971103
60311 43742.0 -0.194081  0.147414  0.000000 0.969846
60311 43752.0 -0.198161  0.150396  0.000000 0.968563
60311 43762.0 -0.202236  0.153372  0.000000 0.967253
60311 43772.0 -0.206305  0.156345  0.000000 0.965916
60311 43782.0 -0.210369  0.159313  0.000000 0.964554
60311 43792.0 -0.214427  0.162277  0.000000 0.963165
60311 43802.0 -0.218480  0.165236  0.000000 0.961750
60311 43812.0 -0.222527  0.168190  0.000000 0.960309
60311 43822.0 -0.226568  0.171139  0.000000 0.958842
60311 43832.0 -0.230603  0.174084  0.000000 0.957349
60311 43842.0 -0.234632  0.177024  0.000000 0.955830
60311 43852.0 -0.238654  0.179959  0.000000 0.954285
60311 43862.0 -0.242671  0.182888  0.000000 0.952713
60311 43872.0 -0.246681  0.185813  0.000000 0.951116
60311 43882.0 -0.250684  0.188732  0.000000 0.949493
60311 43892.0 -0.254681  0.191646  0.000000 0.947844
60311 43902.0 -0.258672  0.194555  0.000000 0.946170
60311 43912.0 -0.262655  0.197458  0.000000 0.944470
60311 43922.0 -0.266631  0.200355  0.000000 0.942744
60311 43932.0 -0.270600  0.203247  0.000000 0.940992
60311 43942.0 -0.274563  0.206134  0.000000 0.939215
60311 43952.0 -0.278517  0.209014  0.000000 0.937412
60311 43962.0 -0.282465  0.211888  0.000000 0.935584
60311 43972.0 -0.286405  0.214757  0.000000 0.933730
60311 43982.0 -0.290337  0.217620  0.000000 0.931851
60311 43992.0 -0.294262  0.220476  0.000000 0.929946
60311 44002.0 -0.298179  0.223326  0.000000 0.928017
60311 44012.0 -0.302088  0.226170  0.000000 0.926062
60311 44022.0 -0.305989  0.229008  0.000000 0.924081
60311 44032.0 -0.309881  0.231839  0.000000 0.922076
60311 44042.0 -0.313766  0.234663  0.000000 0.920046
60311 44052.0 -0.317642  0.237481  0.000000 0.917990
60311 44062.0 -0.321510  0.240293  0.000000 0.915910
60311 44072.0 -0.325369  0.243097  0.000000 0.913804
60311 44082.0 -0.329220  0.245895  0.000000 0.911674
60311 44092.0 -0.333062  0.248686  0.000000 0.909519
60311 44102.0 -0.336895  0.251470  0.000000 0.907339
60311 44112.0 -0.340719  0.254247  0.000000 0.905135
60311 44122.0 -0.344534  0.257017  0.000000 0.902906
60311 44132.0 -0.348340  0.259779  0.000000 0.900652
60311 44142.0 -0.352136  0.262534  0.000000 0.898374
60311 44152.0 -0.355924  0.265282  0.000000 0.896071
60311 44162.0 -0.359701  0.268023  0.000000 0.893744
60311 44172.0 -0.363470  0.270756  0.000000 0.891393
60311 44182.0 -0.367228  0.273481  0.000000 0.889017
60311 44192.0 -0.370977  0.276198  0.000000 0.886618
60311 44202.0 -0.374716  0.278908  0.000000 0.884194
60311 44212.0 -0.378445  0.281610  0.000000 0.881746
60311 44222.0 -0.382163  0.284304  0.000000 0.879274
60311 44232.0 -0.385872  0.286991  0.000000 0.876778
60311 44242.0 -0.389571  0.289669  0.000000 0.874258
60311 44252.0 -0.393259  0.292339  0.000000 0.871714
60311 44262.0 -0.396936  0.295001  0.000000 0.869147
60311 44272.0 -0.400603  0.297654  0.000000 0.866556
60311 44282.0 -0.404259  0.300299  0.000000 0.863941
60311 44292.0 -0.407905  0.302936  0.000000 0.861303
60311 44302.0 -0.411540  0.305564  0.000000 0.858642
60311 44312.0 -0.415163  0.308184  0.000000 0.855957
60311 44322.0 -0.418776  0.310795  0.000000 0.853249
60311 44332.0 -0.422378  0.313397  0.000000 0.850517
60311 44342.0 -0.425968  0.315990  0.000000 0.847763
60311 44352.0 -0.429547  0.318575  0.000000 0.844985
60311 44362.0 -0.433114  0.321151  0.000000 0.842184
60311 44372.0 -0.436670  0.323717  0.000000 0.839361
60311 44382.0 -0.440214  0.326275  0.000000 0.836514
60311 44392.0 -0.443747  0.328823  0.000000 0.833645
60311 44402.0 -0.447268  0.331362  0.000000 0.830753
60311 44412.0 -0.450777  0.333892  0.000000 0.827838
