CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:46:21.607
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 113
OBJECT_ID = IRIDIUM 113

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.464562  0.815252  0.000000 0.345754
60311 43242.0 -0.465398  0.816825  0.000000 0.340883
60311 43252.0 -0.466221  0.818377  0.000000 0.336002
60311 43262.0 -0.467029  0.819908  0.000000 0.331112
60311 43272.0 -0.467824  0.821417  0.000000 0.326213
60311 43282.0 -0.468604  0.822905  0.000000 0.321306
60311 43292.0 -0.469370  0.824372  0.000000 0.316390
60311 43302.0 -0.470122  0.825817  0.000000 0.311465
60311 43312.0 -0.470860  0.827242  0.000000 0.306533
60311 43322.0 -0.471583  0.828645  0.000000 0.301592
60311 43332.0 -0.472291  0.830027  0.000000 0.296643
60311 43342.0 -0.472985  0.831387  0.000000 0.291686
60311 43352.0 -0.473664  0.832727  0.000000 0.286721
60311 43362.0 -0.474328  0.834045  0.000000 0.281748
60311 43372.0 -0.474977  0.835342  0.000000 0.276768
60311 43382.0 -0.475610  0.836618  0.000000 0.271781
60311 43392.0 -0.476229  0.837873  0.000000 0.266786
60311 43402.0 -0.476831  0.839107  0.000000 0.261784
60311 43412.0 -0.477418  0.840320  0.000000 0.256775
60311 43422.0 -0.477989  0.841513  0.000000 0.251759
60311 43432.0 -0.478544  0.842684  0.000000 0.246737
60311 43442.0 -0.479083  0.843835  0.000000 0.241708
60311 43452.0 -0.479605  0.844965  0.000000 0.236672
60311 43462.0 -0.480110  0.846075  0.000000 0.231630
60311 43472.0 -0.480598  0.847164  0.000000 0.226582
60311 43482.0 -0.481068  0.848233  0.000000 0.221528
60311 43492.0 -0.481521  0.849282  0.000000 0.216467
60311 43502.0 -0.481956  0.850311  0.000000 0.211401
60311 43512.0 -0.482372  0.851320  0.000000 0.206330
60311 43522.0 -0.482769  0.852309  0.000000 0.201252
60311 43532.0 -0.483147  0.853280  0.000000 0.196170
60311 43542.0 -0.483505  0.854231  0.000000 0.191082
60311 43552.0 -0.483842  0.855163  0.000000 0.185989
60311 43562.0 -0.484159  0.856078  0.000000 0.180891
60311 43572.0 -0.484453  0.856974  0.000000 0.175788
60311 43582.0 -0.484725  0.857852  0.000000 0.170680
60311 43592.0 -0.484973  0.858713  0.000000 0.165568
60311 43602.0 -0.485197  0.859558  0.000000 0.160451
60311 43612.0 -0.485395  0.860386  0.000000 0.155330
60311 43622.0 -0.485566  0.861199  0.000000 0.150205
60311 43632.0 -0.485708  0.861998  0.000000 0.145076
60311 43642.0 -0.485820  0.862783  0.000000 0.139943
60311 43652.0 -0.485900  0.863556  0.000000 0.134806
60311 43662.0 -0.485946  0.864317  0.000000 0.129665
60311 43672.0 -0.485954  0.865068  0.000000 0.124521
60311 43682.0 -0.485922  0.865812  0.000000 0.119374
60311 43692.0 -0.485846  0.866549  0.000000 0.114223
60311 43702.0 -0.485722  0.867282  0.000000 0.109070
60311 43712.0 -0.485544  0.868014  0.000000 0.103913
60311 43722.0 -0.485306  0.868749  0.000000 0.098754
60311 43732.0 -0.485001  0.869491  0.000000 0.093592
60311 43742.0 -0.484618  0.870245  0.000000 0.088427
60311 43752.0 -0.484146  0.871017  0.000000 0.083260
60311 43762.0 -0.483569  0.871816  0.000000 0.078091
60311 43772.0 -0.482868  0.872652  0.000000 0.072920
60311 43782.0 -0.482018  0.873538  0.000000 0.067747
60311 43792.0 -0.480984  0.874494  0.000000 0.062572
60311 43802.0 -0.479720  0.875542  0.000000 0.057395
60311 43812.0 -0.478161  0.876718  0.000000 0.052217
60311 43822.0 -0.476214  0.878070  0.000000 0.047038
60311 43832.0 -0.473738  0.879670  0.000000 0.041858
60311 43842.0 -0.470513  0.881630  0.000000 0.036677
60311 43852.0 -0.466172  0.884133  0.000000 0.031496
60311 43862.0 -0.460057  0.887499  0.000000 0.026315
60311 43872.0 -0.450857  0.892346  0.000000 0.021135
60311 43882.0 -0.435532  0.900032  0.000000 0.015958
60311 43892.0 -0.405090  0.914213  0.000000 0.010790
60311 43902.0 -0.316674  0.948517  0.000000 0.005656
60311 43912.0  0.673812  0.738902 -0.000000 0.001171
60311 43922.0  0.679709 -0.733465  0.000000 0.004956
60311 43932.0  0.590215 -0.807183  0.000000 0.010079
60311 43942.0  0.559380 -0.828771  0.000000 0.015245
60311 43952.0  0.543836 -0.838943  0.000000 0.020421
60311 43962.0  0.534455 -0.844809  0.000000 0.025601
60311 43972.0  0.528161 -0.848586  0.000000 0.030783
60311 43982.0  0.523626 -0.851189  0.000000 0.035965
60311 43992.0  0.520187 -0.853061  0.000000 0.041147
60311 44002.0  0.517474 -0.854444  0.000000 0.046329
60311 44012.0  0.515266 -0.855481  0.000000 0.051509
60311 44022.0  0.513422 -0.856262  0.000000 0.056689
60311 44032.0  0.511847 -0.856846  0.000000 0.061867
60311 44042.0  0.510476 -0.857275  0.000000 0.067044
60311 44052.0  0.509262 -0.857576  0.000000 0.072219
60311 44062.0  0.508172 -0.857771  0.000000 0.077393
60311 44072.0  0.507179 -0.857877  0.000000 0.082564
60311 44082.0  0.506264 -0.857904  0.000000 0.087734
60311 44092.0  0.505413 -0.857862  0.000000 0.092901
60311 44102.0  0.504612 -0.857759  0.000000 0.098066
60311 44112.0  0.503852 -0.857599  0.000000 0.103229
60311 44122.0  0.503126 -0.857389  0.000000 0.108389
60311 44132.0  0.502427 -0.857132  0.000000 0.113546
60311 44142.0  0.501749 -0.856830  0.000000 0.118700
60311 44152.0  0.501089 -0.856487  0.000000 0.123851
60311 44162.0  0.500443 -0.856105  0.000000 0.128999
60311 44172.0  0.499808 -0.855686  0.000000 0.134143
60311 44182.0  0.499180 -0.855230  0.000000 0.139284
60311 44192.0  0.498558 -0.854741  0.000000 0.144422
60311 44202.0  0.497940 -0.854218  0.000000 0.149555
60311 44212.0  0.497324 -0.853664  0.000000 0.154685
60311 44222.0  0.496708 -0.853078  0.000000 0.159811
60311 44232.0  0.496092 -0.852461  0.000000 0.164932
60311 44242.0  0.495474 -0.851815  0.000000 0.170049
60311 44252.0  0.494853 -0.851139  0.000000 0.175162
60311 44262.0  0.494229 -0.850435  0.000000 0.180270
60311 44272.0  0.493600 -0.849703  0.000000 0.185374
60311 44282.0  0.492966 -0.848944  0.000000 0.190472
60311 44292.0  0.492326 -0.848156  0.000000 0.195566
60311 44302.0  0.491679 -0.847342  0.000000 0.200654
60311 44312.0  0.491026 -0.846502  0.000000 0.205737
60311 44322.0  0.490366 -0.845635  0.000000 0.210815
60311 44332.0  0.489698 -0.844742  0.000000 0.215887
60311 44342.0  0.489022 -0.843823  0.000000 0.220954
60311 44352.0  0.488337 -0.842879  0.000000 0.226015
60311 44362.0  0.487644 -0.841909  0.000000 0.231069
60311 44372.0  0.486942 -0.840914  0.000000 0.236118
60311 44382.0  0.486230 -0.839894  0.000000 0.241161
60311 44392.0  0.485509 -0.838849  0.000000 0.246197
60311 44402.0  0.484779 -0.837780  0.000000 0.251226
60311 44412.0  0.484038 -0.836686  0.000000 0.256249
60311 44422.0  0.483288 -0.835567  0.000000 0.261265
60311 44432.0  0.482528 -0.834425  0.000000 0.266275
60311 44442.0  0.481757 -0.833258  0.000000 0.271277
60311 44452.0  0.480976 -0.832067  0.000000 0.276272
60311 44462.0  0.480184 -0.830853  0.000000 0.281260
60311 44472.0  0.479382 -0.829614  0.000000 0.286240
60311 44482.0  0.478569 -0.828352  0.000000 0.291213
60311 44492.0  0.477745 -0.827066  0.000000 0.296178
60311 44502.0  0.476910 -0.825757  0.000000 0.301135
60311 44512.0  0.476065 -0.824424  0.000000 0.306084
60311 44522.0  0.475208 -0.823068  0.000000 0.311026
60311 44532.0  0.474340 -0.821688  0.000000 0.315959
60311 44542.0  0.473461 -0.820286  0.000000 0.320883
60311 44552.0  0.472571 -0.818860  0.000000 0.325799
60311 44562.0  0.471669 -0.817412  0.000000 0.330706
60311 44572.0  0.470756 -0.815940  0.000000 0.335605
60311 44582.0  0.469832 -0.814446  0.000000 0.340495
60311 44592.0  0.468896 -0.812928  0.000000 0.345375
60311 44602.0  0.467949 -0.811388  0.000000 0.350247
60311 44612.0  0.466990 -0.809826  0.000000 0.355109
60311 44622.0  0.466020 -0.808240  0.000000 0.359962
60311 44632.0  0.465039 -0.806633  0.000000 0.364805
60311 44642.0  0.464046 -0.805002  0.000000 0.369639
60311 44652.0  0.463041 -0.803350  0.000000 0.374462
60311 44662.0  0.462025 -0.801675  0.000000 0.379276
60311 44672.0  0.460997 -0.799978  0.000000 0.384080
60311 44682.0  0.459958 -0.798258  0.000000 0.388873
60311 44692.0  0.458907 -0.796517  0.000000 0.393656
60311 44702.0  0.457845 -0.794753  0.000000 0.398429
60311 44712.0  0.456771 -0.792968  0.000000 0.403191
60311 44722.0  0.455685 -0.791160  0.000000 0.407942
