CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:48:34.497
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 142
OBJECT_ID = IRIDIUM 142

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.217814 -0.538708  0.000000 0.813849
60311 43242.0  0.216228 -0.534780  0.000000 0.816857
60311 43252.0  0.214637 -0.530837  0.000000 0.819843
60311 43262.0  0.213040 -0.526881  0.000000 0.822807
60311 43272.0  0.211437 -0.522910  0.000000 0.825748
60311 43282.0  0.209829 -0.518925  0.000000 0.828667
60311 43292.0  0.208214 -0.514927  0.000000 0.831563
60311 43302.0  0.206595 -0.510914  0.000000 0.834437
60311 43312.0  0.204970 -0.506888  0.000000 0.837288
60311 43322.0  0.203339 -0.502849  0.000000 0.840117
60311 43332.0  0.201703 -0.498796  0.000000 0.842922
60311 43342.0  0.200061 -0.494730  0.000000 0.845705
60311 43352.0  0.198415 -0.490651  0.000000 0.848465
60311 43362.0  0.196762 -0.486558  0.000000 0.851202
60311 43372.0  0.195105 -0.482453  0.000000 0.853916
60311 43382.0  0.193442 -0.478335  0.000000 0.856607
60311 43392.0  0.191775 -0.474204  0.000000 0.859275
60311 43402.0  0.190102 -0.470060  0.000000 0.861919
60311 43412.0  0.188424 -0.465904  0.000000 0.864540
60311 43422.0  0.186741 -0.461736  0.000000 0.867138
60311 43432.0  0.185053 -0.457555  0.000000 0.869712
60311 43442.0  0.183360 -0.453362  0.000000 0.872263
60311 43452.0  0.181662 -0.449157  0.000000 0.874790
60311 43462.0  0.179959 -0.444940  0.000000 0.877293
60311 43472.0  0.178252 -0.440712  0.000000 0.879772
60311 43482.0  0.176539 -0.436471  0.000000 0.882228
60311 43492.0  0.174822 -0.432219  0.000000 0.884660
60311 43502.0  0.173101 -0.427956  0.000000 0.887068
60311 43512.0  0.171375 -0.423681  0.000000 0.889452
60311 43522.0  0.169644 -0.419395  0.000000 0.891812
60311 43532.0  0.167909 -0.415097  0.000000 0.894148
60311 43542.0  0.166169 -0.410789  0.000000 0.896460
60311 43552.0  0.164425 -0.406470  0.000000 0.898747
60311 43562.0  0.162676 -0.402140  0.000000 0.901011
60311 43572.0  0.160923 -0.397799  0.000000 0.903249
60311 43582.0  0.159166 -0.393448  0.000000 0.905464
60311 43592.0  0.157404 -0.389086  0.000000 0.907654
60311 43602.0  0.155639 -0.384714  0.000000 0.909819
60311 43612.0  0.153869 -0.380332  0.000000 0.911960
60311 43622.0  0.152095 -0.375940  0.000000 0.914077
60311 43632.0  0.150317 -0.371538  0.000000 0.916168
60311 43642.0  0.148535 -0.367126  0.000000 0.918235
