CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:48:17.630
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 157
OBJECT_ID = IRIDIUM 157

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.296334 -0.618127  0.000000 0.728083
60311 43242.0  0.294694 -0.614697  0.000000 0.731644
60311 43252.0  0.293046 -0.611250  0.000000 0.735185
60311 43262.0  0.291390 -0.607786  0.000000 0.738707
60311 43272.0  0.289726 -0.604307  0.000000 0.742208
60311 43282.0  0.288054 -0.600811  0.000000 0.745689
60311 43292.0  0.286375 -0.597298  0.000000 0.749149
60311 43302.0  0.284687 -0.593770  0.000000 0.752589
60311 43312.0  0.282992 -0.590226  0.000000 0.756008
60311 43322.0  0.281290 -0.586666  0.000000 0.759407
60311 43332.0  0.279579 -0.583090  0.000000 0.762785
60311 43342.0  0.277862 -0.579498  0.000000 0.766143
60311 43352.0  0.276136 -0.575891  0.000000 0.769479
60311 43362.0  0.274403 -0.572268  0.000000 0.772795
60311 43372.0  0.272663 -0.568630  0.000000 0.776089
60311 43382.0  0.270916 -0.564977  0.000000 0.779362
60311 43392.0  0.269161 -0.561308  0.000000 0.782614
60311 43402.0  0.267399 -0.557625  0.000000 0.785845
60311 43412.0  0.265629 -0.553926  0.000000 0.789054
60311 43422.0  0.263853 -0.550213  0.000000 0.792242
60311 43432.0  0.262069 -0.546485  0.000000 0.795408
60311 43442.0  0.260278 -0.542742  0.000000 0.798553
60311 43452.0  0.258481 -0.538984  0.000000 0.801675
60311 43462.0  0.256676 -0.535213  0.000000 0.804776
60311 43472.0  0.254864 -0.531426  0.000000 0.807855
60311 43482.0  0.253046 -0.527626  0.000000 0.810912
60311 43492.0  0.251221 -0.523811  0.000000 0.813947
60311 43502.0  0.249389 -0.519983  0.000000 0.816960
60311 43512.0  0.247550 -0.516140  0.000000 0.819950
60311 43522.0  0.245704 -0.512283  0.000000 0.822919
60311 43532.0  0.243852 -0.508413  0.000000 0.825864
60311 43542.0  0.241994 -0.504530  0.000000 0.828788
60311 43552.0  0.240129 -0.500632  0.000000 0.831688
60311 43562.0  0.238257 -0.496722  0.000000 0.834567
60311 43572.0  0.236379 -0.492798  0.000000 0.837422
60311 43582.0  0.234495 -0.488860  0.000000 0.840255
60311 43592.0  0.232604 -0.484910  0.000000 0.843064
