CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:47:51.457
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 151
OBJECT_ID = IRIDIUM 151

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.392995 -0.491332  0.000000 0.777269
60311 43242.0  0.390448 -0.488179  0.000000 0.780533
60311 43252.0  0.387890 -0.485012  0.000000 0.783776
60311 43262.0  0.385322 -0.481831  0.000000 0.786998
60311 43272.0  0.382743 -0.478638  0.000000 0.790198
60311 43282.0  0.380155 -0.475432  0.000000 0.793377
60311 43292.0  0.377556 -0.472212  0.000000 0.796535
60311 43302.0  0.374947 -0.468980  0.000000 0.799670
60311 43312.0  0.372328 -0.465735  0.000000 0.802785
60311 43322.0  0.369699 -0.462477  0.000000 0.805877
60311 43332.0  0.367060 -0.459207  0.000000 0.808948
60311 43342.0  0.364411 -0.455924  0.000000 0.811996
60311 43352.0  0.361753 -0.452628  0.000000 0.815023
60311 43362.0  0.359085 -0.449321  0.000000 0.818027
60311 43372.0  0.356407 -0.446001  0.000000 0.821010
60311 43382.0  0.353720 -0.442669  0.000000 0.823970
60311 43392.0  0.351023 -0.439325  0.000000 0.826908
60311 43402.0  0.348317 -0.435969  0.000000 0.829823
60311 43412.0  0.345602 -0.432601  0.000000 0.832716
60311 43422.0  0.342877 -0.429221  0.000000 0.835586
60311 43432.0  0.340143 -0.425829  0.000000 0.838434
60311 43442.0  0.337400 -0.422426  0.000000 0.841259
60311 43452.0  0.334648 -0.419012  0.000000 0.844061
60311 43462.0  0.331887 -0.415586  0.000000 0.846841
60311 43472.0  0.329118 -0.412149  0.000000 0.849597
60311 43482.0  0.326339 -0.408700  0.000000 0.852330
60311 43492.0  0.323552 -0.405240  0.000000 0.855041
60311 43502.0  0.320756 -0.401770  0.000000 0.857728
