CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:20:14.587
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 145
OBJECT_ID = IRIDIUM 145

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.896953 -0.358996  0.000000 0.258064
60311 43242.0  0.899117 -0.357145  0.000000 0.253053
60311 43252.0  0.901288 -0.355187  0.000000 0.248037
60311 43262.0  0.903467 -0.353116  0.000000 0.243015
60311 43272.0  0.905656 -0.350926  0.000000 0.237989
60311 43282.0  0.907856 -0.348609  0.000000 0.232958
60311 43292.0  0.910070 -0.346157  0.000000 0.227923
60311 43302.0  0.912298 -0.343562  0.000000 0.222883
60311 43312.0  0.914544 -0.340814  0.000000 0.217840
60311 43322.0  0.916810 -0.337904  0.000000 0.212793
60311 43332.0  0.919097 -0.334820  0.000000 0.207743
60311 43342.0  0.921408 -0.331549  0.000000 0.202691
60311 43352.0  0.923745 -0.328077  0.000000 0.197635
60311 43362.0  0.926113 -0.324390  0.000000 0.192578
60311 43372.0  0.928512 -0.320471  0.000000 0.187518
60311 43382.0  0.930947 -0.316301  0.000000 0.182458
60311 43392.0  0.933421 -0.311858  0.000000 0.177396
60311 43402.0  0.935937 -0.307120  0.000000 0.172335
60311 43412.0  0.938498 -0.302060  0.000000 0.167273
60311 43422.0  0.941109 -0.296649  0.000000 0.162212
60311 43432.0  0.943773 -0.290853  0.000000 0.157153
60311 43442.0  0.946494 -0.284634  0.000000 0.152096
60311 43452.0  0.949275 -0.277950  0.000000 0.147042
60311 43462.0  0.952120 -0.270750  0.000000 0.141992
60311 43472.0  0.955033 -0.262979  0.000000 0.136947
60311 43482.0  0.958015 -0.254572  0.000000 0.131908
60311 43492.0  0.961069 -0.245454  0.000000 0.126877
60311 43502.0  0.964196 -0.235537  0.000000 0.121854
60311 43512.0  0.967393 -0.224721  0.000000 0.116842
60311 43522.0  0.970655 -0.212884  0.000000 0.111843
60311 43532.0  0.973974 -0.199888  0.000000 0.106859
60311 43542.0  0.977335 -0.185563  0.000000 0.101893
60311 43552.0  0.980713 -0.169713  0.000000 0.096948
60311 43562.0  0.984072 -0.152097  0.000000 0.092028
60311 43572.0  0.987355 -0.132428  0.000000 0.087139
60311 43582.0  0.990480 -0.110357  0.000000 0.082285
60311 43592.0  0.993325 -0.085458  0.000000 0.077475
60311 43602.0  0.995710 -0.057210  0.000000 0.072717
60311 43612.0  0.997371 -0.024977  0.000000 0.068024
60311 43622.0  0.997915  0.012021 -0.000000 0.063410
60311 43632.0  0.996763  0.054734 -0.000000 0.058894
60311 43642.0  0.993052  0.104299 -0.000000 0.054501
60311 43652.0  0.985503  0.162039 -0.000000 0.050264
60311 43662.0  0.972235  0.229396 -0.000000 0.046226
60311 43672.0  0.950522  0.307744 -0.000000 0.042446
60311 43682.0  0.916575  0.397957 -0.000000 0.038997
60311 43692.0  0.865505  0.499607 -0.000000 0.035977
60311 43702.0  0.791884  0.609751 -0.000000 0.033502
60311 43712.0  0.691429  0.721748 -0.000000 0.031699
60311 43722.0  0.563845  0.825310 -0.000000 0.030688
60311 43732.0  0.415322  0.909161 -0.000000 0.030548
60311 43742.0  0.257900  0.965665 -0.000000 0.031290
60311 43752.0  0.105048  0.993924 -0.000000 0.032855
60311 43762.0 -0.033229  0.998830  0.000000 0.035132
60311 43772.0 -0.152288  0.987606  0.000000 0.037994
60311 43782.0 -0.251798  0.966897  0.000000 0.041319
60311 43792.0 -0.333769  0.941580  0.000000 0.045004
60311 43802.0 -0.401003  0.914767  0.000000 0.048967
60311 43812.0 -0.456267  0.888254  0.000000 0.053147
60311 43822.0 -0.501951  0.862983  0.000000 0.057494
60311 43832.0 -0.540004  0.839378  0.000000 0.061975
60311 43842.0 -0.571964  0.817574  0.000000 0.066560
60311 43852.0 -0.599033  0.797550  0.000000 0.071231
60311 43862.0 -0.622148  0.779205  0.000000 0.075969
60311 43872.0 -0.642039  0.762406  0.000000 0.080764
60311 43882.0 -0.659280  0.747009  0.000000 0.085605
60311 43892.0 -0.674322  0.732873  0.000000 0.090484
60311 43902.0 -0.687525  0.719867  0.000000 0.095395
60311 43912.0 -0.699178  0.707872  0.000000 0.100332
60311 43922.0 -0.709514  0.696781  0.000000 0.105292
60311 43932.0 -0.718723  0.686497  0.000000 0.110271
60311 43942.0 -0.726960  0.676936  0.000000 0.115265
60311 43952.0 -0.734356  0.668024  0.000000 0.120274
60311 43962.0 -0.741015  0.659695  0.000000 0.125293
60311 43972.0 -0.747030  0.651891  0.000000 0.130322
60311 43982.0 -0.752475  0.644561  0.000000 0.135359
60311 43992.0 -0.757415  0.637660  0.000000 0.140402
60311 44002.0 -0.761904  0.631146  0.000000 0.145450
60311 44012.0 -0.765991  0.624986  0.000000 0.150503
60311 44022.0 -0.769714  0.619146  0.000000 0.155559
60311 44032.0 -0.773109  0.613599  0.000000 0.160618
60311 44042.0 -0.776207  0.608320  0.000000 0.165678
60311 44052.0 -0.779034  0.603286  0.000000 0.170740
60311 44062.0 -0.781614  0.598476  0.000000 0.175802
60311 44072.0 -0.783967  0.593872  0.000000 0.180863
60311 44082.0 -0.786112  0.589458  0.000000 0.185924
60311 44092.0 -0.788064  0.585219  0.000000 0.190984
60311 44102.0 -0.789837  0.581141  0.000000 0.196042
60311 44112.0 -0.791445  0.577212  0.000000 0.201098
60311 44122.0 -0.792899  0.573421  0.000000 0.206152
60311 44132.0 -0.794210  0.569758  0.000000 0.211203
60311 44142.0 -0.795385  0.566213  0.000000 0.216251
60311 44152.0 -0.796435  0.562779  0.000000 0.221295
60311 44162.0 -0.797365  0.559446  0.000000 0.226336
60311 44172.0 -0.798184  0.556209  0.000000 0.231373
60311 44182.0 -0.798897  0.553061  0.000000 0.236405
60311 44192.0 -0.799510  0.549994  0.000000 0.241433
60311 44202.0 -0.800028  0.547005  0.000000 0.246456
60311 44212.0 -0.800456  0.544088  0.000000 0.251474
60311 44222.0 -0.800797  0.541238  0.000000 0.256486
60311 44232.0 -0.801057  0.538450  0.000000 0.261493
60311 44242.0 -0.801239  0.535721  0.000000 0.266495
60311 44252.0 -0.801345  0.533047  0.000000 0.271490
60311 44262.0 -0.801379  0.530425  0.000000 0.276479
60311 44272.0 -0.801345  0.527850  0.000000 0.281462
60311 44282.0 -0.801244  0.525320  0.000000 0.286438
60311 44292.0 -0.801079  0.522833  0.000000 0.291407
60311 44302.0 -0.800852  0.520385  0.000000 0.296370
60311 44312.0 -0.800566  0.517974  0.000000 0.301325
60311 44322.0 -0.800222  0.515598  0.000000 0.306273
60311 44332.0 -0.799822  0.513255  0.000000 0.311213
60311 44342.0 -0.799369  0.510942  0.000000 0.316146
60311 44352.0 -0.798862  0.508658  0.000000 0.321070
60311 44362.0 -0.798305  0.506400  0.000000 0.325987
60311 44372.0 -0.797699  0.504168  0.000000 0.330896
60311 44382.0 -0.797044  0.501959  0.000000 0.335796
60311 44392.0 -0.796342  0.499772  0.000000 0.340687
60311 44402.0 -0.795594  0.497606  0.000000 0.345570
60311 44412.0 -0.794801  0.495459  0.000000 0.350444
60311 44422.0 -0.793965  0.493331  0.000000 0.355309
60311 44432.0 -0.793086  0.491219  0.000000 0.360165
60311 44442.0 -0.792165  0.489123  0.000000 0.365011
60311 44452.0 -0.791203  0.487042  0.000000 0.369848
60311 44462.0 -0.790201  0.484974  0.000000 0.374675
60311 44472.0 -0.789160  0.482920  0.000000 0.379493
60311 44482.0 -0.788080  0.480877  0.000000 0.384300
60311 44492.0 -0.786963  0.478846  0.000000 0.389098
60311 44502.0 -0.785808  0.476824  0.000000 0.393885
60311 44512.0 -0.784616  0.474812  0.000000 0.398661
60311 44522.0 -0.783388  0.472809  0.000000 0.403428
60311 44532.0 -0.782126  0.470814  0.000000 0.408183
60311 44542.0 -0.780828  0.468827  0.000000 0.412928
60311 44552.0 -0.779496  0.466846  0.000000 0.417662
