CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-27T13:21:05.087
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 154
OBJECT_ID = IRIDIUM 154

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.084676 -0.422032  0.000000 0.902618
60311 43242.0  0.084211 -0.417345  0.000000 0.904838
60311 43252.0  0.083741 -0.412647  0.000000 0.907033
60311 43262.0  0.083267 -0.407938  0.000000 0.909205
60311 43272.0  0.082789 -0.403219  0.000000 0.911351
60311 43282.0  0.082306 -0.398489  0.000000 0.913473
60311 43292.0  0.081818 -0.393748  0.000000 0.915570
60311 43302.0  0.081327 -0.388998  0.000000 0.917642
60311 43312.0  0.080830 -0.384237  0.000000 0.919689
60311 43322.0  0.080330 -0.379466  0.000000 0.921712
60311 43332.0  0.079825 -0.374685  0.000000 0.923709
60311 43342.0  0.079316 -0.369895  0.000000 0.925682
60311 43352.0  0.078803 -0.365095  0.000000 0.927629
60311 43362.0  0.078285 -0.360285  0.000000 0.929552
60311 43372.0  0.077763 -0.355466  0.000000 0.931449
60311 43382.0  0.077237 -0.350638  0.000000 0.933321
60311 43392.0  0.076707 -0.345801  0.000000 0.935167
60311 43402.0  0.076173 -0.340954  0.000000 0.936989
60311 43412.0  0.075635 -0.336099  0.000000 0.938785
60311 43422.0  0.075092 -0.331235  0.000000 0.940555
60311 43432.0  0.074546 -0.326363  0.000000 0.942301
60311 43442.0  0.073995 -0.321482  0.000000 0.944020
60311 43452.0  0.073441 -0.316593  0.000000 0.945714
60311 43462.0  0.072882 -0.311695  0.000000 0.947383
60311 43472.0  0.072320 -0.306790  0.000000 0.949026
60311 43482.0  0.071754 -0.301876  0.000000 0.950643
60311 43492.0  0.071183 -0.296955  0.000000 0.952235
60311 43502.0  0.070609 -0.292026  0.000000 0.953800
60311 43512.0  0.070032 -0.287089  0.000000 0.955340
60311 43522.0  0.069450 -0.282145  0.000000 0.956855
60311 43532.0  0.068864 -0.277194  0.000000 0.958343
60311 43542.0  0.068275 -0.272236  0.000000 0.959805
60311 43552.0  0.067682 -0.267270  0.000000 0.961242
60311 43562.0  0.067086 -0.262298  0.000000 0.962652
60311 43572.0  0.066485 -0.257319  0.000000 0.964037
60311 43582.0  0.065881 -0.252333  0.000000 0.965395
60311 43592.0  0.065274 -0.247341  0.000000 0.966727
60311 43602.0  0.064662 -0.242343  0.000000 0.968033
60311 43612.0  0.064047 -0.237338  0.000000 0.969313
60311 43622.0  0.063429 -0.232327  0.000000 0.970567
60311 43632.0  0.062807 -0.227311  0.000000 0.971795
60311 43642.0  0.062181 -0.222288  0.000000 0.972996
60311 43652.0  0.061552 -0.217260  0.000000 0.974171
60311 43662.0  0.060920 -0.212226  0.000000 0.975320
60311 43672.0  0.060284 -0.207187  0.000000 0.976442
60311 43682.0  0.059645 -0.202142  0.000000 0.977538
60311 43692.0  0.059002 -0.197093  0.000000 0.978608
60311 43702.0  0.058356 -0.192038  0.000000 0.979651
60311 43712.0  0.057706 -0.186979  0.000000 0.980668
60311 43722.0  0.057054 -0.181914  0.000000 0.981658
60311 43732.0  0.056398 -0.176845  0.000000 0.982621
60311 43742.0  0.055738 -0.171772  0.000000 0.983559
60311 43752.0  0.055075 -0.166694  0.000000 0.984469
60311 43762.0  0.054410 -0.161613  0.000000 0.985353
60311 43772.0  0.053740 -0.156527  0.000000 0.986211
60311 43782.0  0.053068 -0.151437  0.000000 0.987041
60311 43792.0  0.052393 -0.146343  0.000000 0.987845
60311 43802.0  0.051714 -0.141246  0.000000 0.988623
60311 43812.0  0.051032 -0.136145  0.000000 0.989374
60311 43822.0  0.050347 -0.131041  0.000000 0.990098
60311 43832.0  0.049659 -0.125933  0.000000 0.990795
60311 43842.0  0.048968 -0.120823  0.000000 0.991466
60311 43852.0  0.048274 -0.115709  0.000000 0.992109
60311 43862.0  0.047577 -0.110593  0.000000 0.992726
60311 43872.0  0.046877 -0.105474  0.000000 0.993317
60311 43882.0  0.046174 -0.100352  0.000000 0.993880
60311 43892.0  0.045468 -0.095228  0.000000 0.994417
60311 43902.0  0.044759 -0.090101  0.000000 0.994926
60311 43912.0  0.044048 -0.084973  0.000000 0.995409
60311 43922.0  0.043333 -0.079842  0.000000 0.995865
60311 43932.0  0.042615 -0.074710  0.000000 0.996294
60311 43942.0  0.041895 -0.069576  0.000000 0.996697
60311 43952.0  0.041172 -0.064440  0.000000 0.997072
60311 43962.0  0.040446 -0.059303  0.000000 0.997420
60311 43972.0  0.039717 -0.054164  0.000000 0.997742
60311 43982.0  0.038985 -0.049024  0.000000 0.998036
60311 43992.0  0.038251 -0.043883  0.000000 0.998304
60311 44002.0  0.037514 -0.038741  0.000000 0.998545
60311 44012.0  0.036774 -0.033599  0.000000 0.998759
60311 44022.0  0.036032 -0.028456  0.000000 0.998945
60311 44032.0  0.035287 -0.023312  0.000000 0.999105
60311 44042.0  0.034539 -0.018168  0.000000 0.999238
60311 44052.0  0.033789 -0.013023  0.000000 0.999344
60311 44062.0  0.033036 -0.007879  0.000000 0.999423
60311 44072.0  0.032281 -0.002734  0.000000 0.999475
60311 44082.0  0.031523  0.002410 -0.000000 0.999500
60311 44092.0  0.030762  0.007554 -0.000000 0.999498
60311 44102.0  0.029999  0.012697 -0.000000 0.999469
60311 44112.0  0.029234  0.017840 -0.000000 0.999413
60311 44122.0  0.028466  0.022982 -0.000000 0.999331
60311 44132.0  0.027695  0.028124 -0.000000 0.999221
60311 44142.0  0.026923  0.033264 -0.000000 0.999084
60311 44152.0  0.026147  0.038403 -0.000000 0.998920
60311 44162.0  0.025370  0.043541 -0.000000 0.998729
60311 44172.0  0.024590  0.048678 -0.000000 0.998512
60311 44182.0  0.023807  0.053813 -0.000000 0.998267
60311 44192.0  0.023023  0.058946 -0.000000 0.997996
60311 44202.0  0.022236  0.064077 -0.000000 0.997697
60311 44212.0  0.021446  0.069207 -0.000000 0.997372
60311 44222.0  0.020655  0.074334 -0.000000 0.997019
60311 44232.0  0.019861  0.079459 -0.000000 0.996640
60311 44242.0  0.019065  0.084582 -0.000000 0.996234
60311 44252.0  0.018267  0.089702 -0.000000 0.995801
60311 44262.0  0.017466  0.094820 -0.000000 0.995341
60311 44272.0  0.016663  0.099935 -0.000000 0.994854
60311 44282.0  0.015859  0.105047 -0.000000 0.994341
60311 44292.0  0.015052  0.110155 -0.000000 0.993800
60311 44302.0  0.014243  0.115261 -0.000000 0.993233
60311 44312.0  0.013432  0.120363 -0.000000 0.992639
60311 44322.0  0.012618  0.125462 -0.000000 0.992018
60311 44332.0  0.011803  0.130558 -0.000000 0.991370
60311 44342.0  0.010986  0.135649 -0.000000 0.990696
60311 44352.0  0.010166  0.140737 -0.000000 0.989995
60311 44362.0  0.009345  0.145820 -0.000000 0.989267
60311 44372.0  0.008522  0.150900 -0.000000 0.988512
60311 44382.0  0.007696  0.155975 -0.000000 0.987731
60311 44392.0  0.006869  0.161045 -0.000000 0.986923
60311 44402.0  0.006040  0.166112 -0.000000 0.986088
60311 44412.0  0.005209  0.171173 -0.000000 0.985227
60311 44422.0  0.004376  0.176230 -0.000000 0.984339
60311 44432.0  0.003541  0.181281 -0.000000 0.983425
60311 44442.0  0.002704  0.186328 -0.000000 0.982484
60311 44452.0  0.001865  0.191369 -0.000000 0.981516
60311 44462.0  0.001025  0.196405 -0.000000 0.980522
60311 44472.0  0.000182  0.201435 -0.000000 0.979502
60311 44482.0 -0.000662  0.206460  0.000000 0.978455
60311 44492.0 -0.001508  0.211479  0.000000 0.977381
60311 44502.0 -0.002355  0.216492  0.000000 0.976282
60311 44512.0 -0.003205  0.221499  0.000000 0.975155
60311 44522.0 -0.004056  0.226500  0.000000 0.974003
60311 44532.0 -0.004909  0.231494  0.000000 0.972824
60311 44542.0 -0.005763  0.236482  0.000000 0.971619
60311 44552.0 -0.006619  0.241463  0.000000 0.970387
60311 44562.0 -0.007477  0.246438  0.000000 0.969130
60311 44572.0 -0.008337  0.251406  0.000000 0.967846
60311 44582.0 -0.009198  0.256366  0.000000 0.966536
60311 44592.0 -0.010061  0.261320  0.000000 0.965200
60311 44602.0 -0.010925  0.266266  0.000000 0.963838
60311 44612.0 -0.011791  0.271205  0.000000 0.962449
60311 44622.0 -0.012659  0.276136  0.000000 0.961035
60311 44632.0 -0.013528  0.281060  0.000000 0.959595
60311 44642.0 -0.014398  0.285976  0.000000 0.958129
60311 44652.0 -0.015271  0.290884  0.000000 0.956637
60311 44662.0 -0.016144  0.295783  0.000000 0.955119
60311 44672.0 -0.017020  0.300675  0.000000 0.953575
60311 44682.0 -0.017896  0.305558  0.000000 0.952005
60311 44692.0 -0.018774  0.310433  0.000000 0.950410
60311 44702.0 -0.019654  0.315299  0.000000 0.948789
60311 44712.0 -0.020535  0.320156  0.000000 0.947142
60311 44722.0 -0.021418  0.325005  0.000000 0.945470
60311 44732.0 -0.022302  0.329844  0.000000 0.943772
60311 44742.0 -0.023187  0.334675  0.000000 0.942048
60311 44752.0 -0.024074  0.339496  0.000000 0.940299
60311 44762.0 -0.024962  0.344307  0.000000 0.938525
60311 44772.0 -0.025851  0.349110  0.000000 0.936725
60311 44782.0 -0.026742  0.353902  0.000000 0.934900
60311 44792.0 -0.027634  0.358685  0.000000 0.933050
60311 44802.0 -0.028528  0.363457  0.000000 0.931174
60311 44812.0 -0.029423  0.368220  0.000000 0.929273
60311 44822.0 -0.030319  0.372972  0.000000 0.927347
60311 44832.0 -0.031217  0.377714  0.000000 0.925396
60311 44842.0 -0.032115  0.382446  0.000000 0.923420
60311 44852.0 -0.033015  0.387167  0.000000 0.921418
60311 44862.0 -0.033917  0.391877  0.000000 0.919392
60311 44872.0 -0.034819  0.396576  0.000000 0.917341
60311 44882.0 -0.035723  0.401265  0.000000 0.915265
60311 44892.0 -0.036628  0.405942  0.000000 0.913164
60311 44902.0 -0.037534  0.410608  0.000000 0.911039
60311 44912.0 -0.038442  0.415263  0.000000 0.908889
60311 44922.0 -0.039351  0.419906  0.000000 0.906714
60311 44932.0 -0.040261  0.424538  0.000000 0.904515
60311 44942.0 -0.041172  0.429157  0.000000 0.902291
60311 44952.0 -0.042084  0.433765  0.000000 0.900043
60311 44962.0 -0.042998  0.438361  0.000000 0.897770
60311 44972.0 -0.043912  0.442945  0.000000 0.895473
60311 44982.0 -0.044828  0.447516  0.000000 0.893152
60311 44992.0 -0.045745  0.452075  0.000000 0.890806
60311 45002.0 -0.046663  0.456622  0.000000 0.888436
60311 45012.0 -0.047583  0.461155  0.000000 0.886043
60311 45022.0 -0.048503  0.465676  0.000000 0.883625
60311 45032.0 -0.049425  0.470184  0.000000 0.881183
60311 45042.0 -0.050347  0.474680  0.000000 0.878718
60311 45052.0 -0.051271  0.479161  0.000000 0.876228
60311 45062.0 -0.052196  0.483630  0.000000 0.873715
60311 45072.0 -0.053122  0.488085  0.000000 0.871178
60311 45082.0 -0.054050  0.492527  0.000000 0.868617
60311 45092.0 -0.054978  0.496955  0.000000 0.866033
60311 45102.0 -0.055907  0.501369  0.000000 0.863426
60311 45112.0 -0.056838  0.505769  0.000000 0.860794
60311 45122.0 -0.057770  0.510155  0.000000 0.858140
60311 45132.0 -0.058703  0.514527  0.000000 0.855462
60311 45142.0 -0.059637  0.518885  0.000000 0.852761
60311 45152.0 -0.060572  0.523228  0.000000 0.850037
60311 45162.0 -0.061508  0.527557  0.000000 0.847290
60311 45172.0 -0.062445  0.531871  0.000000 0.844520
60311 45182.0 -0.063383  0.536170  0.000000 0.841727
60311 45192.0 -0.064323  0.540454  0.000000 0.838911
60311 45202.0 -0.065264  0.544724  0.000000 0.836072
60311 45212.0 -0.066205  0.548978  0.000000 0.833211
60311 45222.0 -0.067148  0.553217  0.000000 0.830327
60311 45232.0 -0.068092  0.557440  0.000000 0.827420
60311 45242.0 -0.069037  0.561648  0.000000 0.824491
60311 45252.0 -0.069984  0.565840  0.000000 0.821540
60311 45262.0 -0.070931  0.570016  0.000000 0.818566
60311 45272.0 -0.071880  0.574177  0.000000 0.815570
60311 45282.0 -0.072830  0.578321  0.000000 0.812552
60311 45292.0 -0.073781  0.582450  0.000000 0.809511
60311 45302.0 -0.074733  0.586562  0.000000 0.806449
60311 45312.0 -0.075686  0.590658  0.000000 0.803365
60311 45322.0 -0.076641  0.594737  0.000000 0.800259
60311 45332.0 -0.077597  0.598799  0.000000 0.797131
60311 45342.0 -0.078554  0.602845  0.000000 0.793982
60311 45352.0 -0.079512  0.606874  0.000000 0.790811
60311 45362.0 -0.080471  0.610886  0.000000 0.787618
60311 45372.0 -0.081432  0.614881  0.000000 0.784404
60311 45382.0 -0.082394  0.618859  0.000000 0.781169
60311 45392.0 -0.083358  0.622819  0.000000 0.777913
60311 45402.0 -0.084323  0.626762  0.000000 0.774635
60311 45412.0 -0.085289  0.630687  0.000000 0.771336
60311 45422.0 -0.086256  0.634595  0.000000 0.768017
60311 45432.0 -0.087225  0.638484  0.000000 0.764676
60311 45442.0 -0.088195  0.642356  0.000000 0.761315
60311 45452.0 -0.089167  0.646210  0.000000 0.757933
60311 45462.0 -0.090140  0.650045  0.000000 0.754530
60311 45472.0 -0.091115  0.653863  0.000000 0.751107
60311 45482.0 -0.092091  0.657662  0.000000 0.747663
60311 45492.0 -0.093068  0.661442  0.000000 0.744199
60311 45502.0 -0.094048  0.665204  0.000000 0.740715
60311 45512.0 -0.095029  0.668947  0.000000 0.737211
60311 45522.0 -0.096011  0.672671  0.000000 0.733686
60311 45532.0 -0.096995  0.676376  0.000000 0.730142
60311 45542.0 -0.097981  0.680062  0.000000 0.726578
60311 45552.0 -0.098969  0.683729  0.000000 0.722994
60311 45562.0 -0.099958  0.687376  0.000000 0.719390
60311 45572.0 -0.100949  0.691004  0.000000 0.715767
60311 45582.0 -0.101942  0.694613  0.000000 0.712124
60311 45592.0 -0.102937  0.698201  0.000000 0.708462
60311 45602.0 -0.103934  0.701770  0.000000 0.704781
60311 45612.0 -0.104933  0.705319  0.000000 0.701081
60311 45622.0 -0.105934  0.708848  0.000000 0.697361
60311 45632.0 -0.106937  0.712357  0.000000 0.693622
60311 45642.0 -0.107942  0.715846  0.000000 0.689865
60311 45652.0 -0.108950  0.719314  0.000000 0.686089
60311 45662.0 -0.109959  0.722761  0.000000 0.682294
60311 45672.0 -0.110971  0.726188  0.000000 0.678481
60311 45682.0 -0.111986  0.729595  0.000000 0.674649
60311 45692.0 -0.113002  0.732980  0.000000 0.670798
60311 45702.0 -0.114022  0.736345  0.000000 0.666930
60311 45712.0 -0.115043  0.739688  0.000000 0.663043
60311 45722.0 -0.116068  0.743010  0.000000 0.659139
60311 45732.0 -0.117095  0.746311  0.000000 0.655216
60311 45742.0 -0.118125  0.749591  0.000000 0.651276
60311 45752.0 -0.119158  0.752849  0.000000 0.647318
60311 45762.0 -0.120194  0.756085  0.000000 0.643342
