Time ; Semi-Major Axis ; Eccentricity ; Inclination ; Argument of the perigee ; Right Ascension of the Ascending node
0.0;6878000.0;0.020000000000000018;97.4009688;90.0;3.7688989369630114E-30
860000.0;6877244.924528986;0.019854723363303625;97.42495862728292;55.104948286304584;28.619509332209443
1720000.0;6876467.1803987175;0.02012444383003096;97.44857664598764;19.04807306757765;70.18596049958379
2580000.0;6877332.404745203;0.020907878152581636;97.4688328714913;-14.621600718143824;118.66224682801395
3440000.0;6882239.366976085;0.02022212123061901;97.48576521514126;-45.729507011487236;172.64145105870668
4300000.0;6890621.648293727;0.018496300704381952;97.4984563342644;276.42281170490696;-117.10843970372399
5160000.0;6888275.316577606;0.019155007389951788;97.51332868611806;-119.42285420760436;-33.96385284077557
6020000.0;6871189.575796658;0.0187686557349461;97.53160814306788;-161.77585062977707;74.44991218498383
6880000.0;6887774.044780371;0.01940397962862846;97.52722256843207;168.56292825184656;-173.92150149112123
7740000.0;6867623.868841307;0.018678799445743088;97.53886506068324;136.8915618224869;-34.340731549261534
8600000.0;6870826.375250661;0.02099708617257882;97.5338695289929;-261.49607699615376;140.04840989309554
9460000.0;6877706.340613781;0.02033124960509441;97.52404891482274;69.66143208129958;-39.191697842952564
1.032E7;6877464.714143779;0.019513877024722095;97.51484538054345;-325.52241253749384;171.16818479519395
1.118E7;6872006.705735113;0.018098889578991022;97.50540102397744;1.5143459551420015;36.971027050334634
1.204E7;6861646.152398085;0.017934406883081577;97.49625567972649;-29.908114680480026;-82.7885194395451
1.29E7;6862244.210600371;0.018513165223553552;97.47752805218157;290.12831078860734;-171.5646669392525
1.376E7;6874105.356988744;0.01688232849555128;97.44874981976989;-107.88767692286098;116.73987968480226
1.462E7;6853889.910860934;0.016911109608124846;97.43539850856457;-151.7805829648899;71.77271830226442
1.548E7;6864126.317863242;0.0174763108868591;97.40473839295807;-181.45965026804646;37.08401674502972
1.634E7;6868674.536816382;0.01902949298873031;97.3762123912173;144.02483268948544;32.35493062107706
1.72E7;6864612.273456228;0.019335116659896227;97.35221921550875;109.84935135431269;49.93310343553857
1.806E7;6863389.416689988;0.01923632131513544;97.32838634153377;77.69993611980782;83.67369904836971
1.892E7;6863689.836719982;0.0181141103724364;97.30625040594296;45.06937718291368;132.95857385465862
1.978E7;6857821.734342808;0.017727503044908017;97.2902111620718;8.847346557630061;-158.91264663829193
2.064E7;6842586.460015909;0.016311715879370692;97.28258516168002;-19.77940265298863;-80.08587433887318
2.15E7;6855676.962475371;0.0161262652204451;97.26411759327972;-64.285549857433;37.10243427376138
2.236E7;6843749.363558962;0.016726548282633265;97.26105614390738;-103.743642889217;164.94226399469915
2.322E7;6855524.703333428;0.016039887246182456;97.2494609906356;219.47849420959292;-48.87761503004964
2.408E7;6843107.0644675875;0.01714213649240157;97.25412377665901;-176.45385951569256;128.84395332955546
2.494E7;6836237.180011764;0.015489469855903241;97.25875770971177;150.5872360466596;-29.941187462880084
2.58E7;6841428.437622218;0.017119153220952563;97.26112323873646;117.69818094733954;-153.95871927243763
2.666E7;6843467.102835155;0.01657649372358352;97.26958664726489;-276.90109368824983;116.35654077091192
2.752E7;6824728.146767412;0.015361357725608513;97.29339130208787;43.85076290406676;53.48466361451687
2.838E7;6840710.424547067;0.0159623234931538;97.30172773309953;15.794244662366534;0.47961153853333904
2.924E7;6830994.753903997;0.013929951806997236;97.32894685329549;-21.753070458405308;-22.967977058198283
3.01E7;6819647.95798132;0.012372950190000023;97.35842479321056;-54.789642829019236;-32.97790645363058
3.096E7;6821781.501640816;0.012494680639122816;97.38174210511498;-94.0691186952716;-20.70246726528244
3.182E7;6823131.2554191835;0.012794787117692445;97.40512641704969;-135.03544648446146;10.506842779290134
3.268E7;6818348.640926404;0.01345999308733843;97.43091141510456;-177.76738882812595;63.991040970056254
3.354E7;6814234.278456089;0.0162729180292269;97.45502113990852;-213.12124906351934;132.51000835256136
3.44E7;6827002.991410052;0.015143889885542253;97.46752026280934;118.37522215291322;-143.10879336704298
3.526E7;6814281.128628644;0.014482657137335098;97.49135833232718;88.00947159984756;-29.512446490790225
3.612E7;6825428.548451898;0.01499436968668189;97.49955576064254;52.67176065565865;113.94563479537136
3.698E7;6808266.273623172;0.013739672819387028;97.52012329316311;23.268291403285442;-91.99182852539758
3.784E7;6804199.2550099315;0.01358311162971223;97.53066121448411;-26.520768797179326;111.26875496307171
3.87E7;6802669.468125859;0.01136927282502356;97.5344557100091;-50.273313775217815;-53.59522215071223
3.956E7;6800245.9997259;0.013672286646657468;97.53562348757755;265.1677265568517;-168.97438827208188
4.042E7;6810409.375984836;0.012577265750605502;97.52564430138398;-136.06692887288847;103.29506491417277
4.128E7;6800883.170965553;0.011516955763140862;97.51989005964371;-174.86706969883494;46.69502167249186
4.214E7;6809575.516504841;0.013426636603165195;97.49965486916948;151.80976724497683;25.203300714995397
4.3E7;6804941.649514801;0.013617182625277136;97.4826964535857;117.5711423827972;47.13671662561473
4.386E7;6802849.287190517;0.012842524716548363;97.46096687211603;-274.28102088881525;103.08393213880088
4.472E7;6785385.984576228;0.013942069376445716;97.44468261520757;50.4658314628252;-166.1408475005864
4.558E7;6794466.517732932;0.01142534582052814;97.41203743371766;14.2125801120138;-39.172092608224766
4.644E7;6777088.381821999;0.011768264893467948;97.39404417382218;-27.800598469455913;129.86396653864705
4.73E7;6773883.79251897;0.008680917856996276;97.36887451404341;-52.13218551074245;-49.62701186649299
4.816E7;6771103.290794737;0.01130830348470845;97.34471940827743;259.52508069428717;-170.48144775607773
