,start,end,duration,timedelta,seconds
69,2024-01-02 13:26:09+00:00,2024-01-02 13:26:10+00:00,1.0,0 days 01:24:11,5051.0
71,2024-01-02 13:26:15+00:00,2024-01-02 13:26:17+00:00,2.0,0 days 01:24:17,5057.0
72,2024-01-02 13:27:09+00:00,2024-01-02 13:27:10+00:00,1.0,0 days 01:25:11,5111.0
73,2024-01-02 13:27:14+00:00,2024-01-02 13:27:17+00:00,3.0,0 days 01:25:16,5116.0
74,2024-01-02 13:28:08+00:00,2024-01-02 13:28:10+00:00,2.0,0 days 01:26:10,5170.0
75,2024-01-02 13:28:14+00:00,2024-01-02 13:28:16+00:00,2.0,0 days 01:26:16,5176.0
76,2024-01-02 13:29:08+00:00,2024-01-02 13:29:09+00:00,1.0,0 days 01:27:10,5230.0
77,2024-01-02 13:29:14+00:00,2024-01-02 13:29:16+00:00,2.0,0 days 01:27:16,5236.0
78,2024-01-02 13:30:07+00:00,2024-01-02 13:30:09+00:00,2.0,0 days 01:28:09,5289.0
79,2024-01-02 13:31:07+00:00,2024-01-02 13:31:08+00:00,1.0,0 days 01:29:09,5349.0
80,2024-01-02 13:32:06+00:00,2024-01-02 13:32:08+00:00,2.0,0 days 01:30:08,5408.0
81,2024-01-02 13:33:06+00:00,2024-01-02 13:33:08+00:00,2.0,0 days 01:31:08,5468.0
82,2024-01-02 13:34:06+00:00,2024-01-02 13:34:07+00:00,1.0,0 days 01:32:08,5528.0
83,2024-01-02 13:35:05+00:00,2024-01-02 13:35:07+00:00,2.0,0 days 01:33:07,5587.0
84,2024-01-02 13:36:05+00:00,2024-01-02 13:36:06+00:00,1.0,0 days 01:34:07,5647.0
85,2024-01-02 13:37:05+00:00,2024-01-02 13:37:06+00:00,1.0,0 days 01:35:07,5707.0
86,2024-01-02 13:38:04+00:00,2024-01-02 13:38:06+00:00,2.0,0 days 01:36:06,5766.0
87,2024-01-02 13:39:04+00:00,2024-01-02 13:39:05+00:00,1.0,0 days 01:37:06,5826.0
88,2024-01-02 13:40:03+00:00,2024-01-02 13:40:05+00:00,2.0,0 days 01:38:05,5885.0
89,2024-01-02 13:57:30+00:00,2024-01-02 13:57:31+00:00,1.0,0 days 01:55:32,6932.0
90,2024-01-02 13:58:30+00:00,2024-01-02 13:58:31+00:00,1.0,0 days 01:56:32,6992.0
91,2024-01-02 13:59:29+00:00,2024-01-02 13:59:30+00:00,1.0,0 days 01:57:31,7051.0
92,2024-01-02 14:00:29+00:00,2024-01-02 14:00:30+00:00,1.0,0 days 01:58:31,7111.0
95,2024-01-02 14:06:16+00:00,2024-01-02 14:06:18+00:00,2.0,0 days 02:04:18,7458.0
96,2024-01-02 14:07:17+00:00,2024-01-02 14:07:18+00:00,1.0,0 days 02:05:19,7519.0
102,2024-01-02 14:37:41+00:00,2024-01-02 14:37:42+00:00,1.0,0 days 02:35:43,9343.0
103,2024-01-02 14:38:41+00:00,2024-01-02 14:38:42+00:00,1.0,0 days 02:36:43,9403.0
104,2024-01-02 14:39:40+00:00,2024-01-02 14:39:41+00:00,1.0,0 days 02:37:42,9462.0
105,2024-01-02 14:40:40+00:00,2024-01-02 14:40:41+00:00,1.0,0 days 02:38:42,9522.0
109,2024-01-02 15:09:59+00:00,2024-01-02 15:10:00+00:00,1.0,0 days 03:08:01,11281.0
111,2024-01-02 15:11:58+00:00,2024-01-02 15:11:59+00:00,1.0,0 days 03:10:00,11400.0
112,2024-01-02 15:12:58+00:00,2024-01-02 15:12:59+00:00,1.0,0 days 03:11:00,11460.0
114,2024-01-02 15:14:57+00:00,2024-01-02 15:14:58+00:00,1.0,0 days 03:12:59,11579.0
116,2024-01-02 15:16:52+00:00,2024-01-02 15:16:54+00:00,2.0,0 days 03:14:54,11694.0
117,2024-01-02 15:17:52+00:00,2024-01-02 15:17:54+00:00,2.0,0 days 03:15:54,11754.0
118,2024-01-02 15:18:52+00:00,2024-01-02 15:18:55+00:00,3.0,0 days 03:16:54,11814.0
119,2024-01-02 15:19:53+00:00,2024-01-02 15:19:55+00:00,2.0,0 days 03:17:55,11875.0
120,2024-01-02 15:20:53+00:00,2024-01-02 15:20:55+00:00,2.0,0 days 03:18:55,11935.0
121,2024-01-02 15:21:53+00:00,2024-01-02 15:21:55+00:00,2.0,0 days 03:19:55,11995.0
122,2024-01-02 15:22:54+00:00,2024-01-02 15:22:55+00:00,1.0,0 days 03:20:56,12056.0
123,2024-01-02 15:29:35+00:00,2024-01-02 15:29:37+00:00,2.0,0 days 03:27:37,12457.0
124,2024-01-02 15:30:35+00:00,2024-01-02 15:30:37+00:00,2.0,0 days 03:28:37,12517.0
125,2024-01-02 15:31:34+00:00,2024-01-02 15:31:37+00:00,3.0,0 days 03:29:36,12576.0
126,2024-01-02 15:32:30+00:00,2024-01-02 15:32:31+00:00,1.0,0 days 03:30:32,12632.0
127,2024-01-02 15:32:34+00:00,2024-01-02 15:32:36+00:00,2.0,0 days 03:30:36,12636.0
128,2024-01-02 15:33:30+00:00,2024-01-02 15:33:32+00:00,2.0,0 days 03:31:32,12692.0
129,2024-01-02 15:33:34+00:00,2024-01-02 15:33:36+00:00,2.0,0 days 03:31:36,12696.0
130,2024-01-02 15:34:30+00:00,2024-01-02 15:34:32+00:00,2.0,0 days 03:32:32,12752.0
131,2024-01-02 15:34:34+00:00,2024-01-02 15:34:36+00:00,2.0,0 days 03:32:36,12756.0
132,2024-01-02 15:35:30+00:00,2024-01-02 15:35:32+00:00,2.0,0 days 03:33:32,12812.0
133,2024-01-02 15:35:34+00:00,2024-01-02 15:35:36+00:00,2.0,0 days 03:33:36,12816.0
