,start,end,duration,timedelta,seconds
59,2023-02-07 09:58:16,2023-02-07 09:58:16,0.0,4 days 01:58:50,352730.0
60,2023-02-07 09:58:46,2023-02-07 09:59:06,20.0,4 days 01:59:20,352760.0
61,2023-02-07 10:36:26,2023-02-07 10:38:06,100.0,4 days 02:37:00,355020.0
62,2023-02-07 12:13:56,2023-02-07 12:14:27,30.0,4 days 04:14:30,360870.0
63,2023-02-07 17:27:16,2023-02-07 17:27:36,20.0,4 days 09:27:50,379670.0
64,2023-02-08 01:04:56,2023-02-08 01:05:26,30.0,4 days 17:05:30,407130.0
65,2023-02-08 03:24:36,2023-02-08 03:25:16,40.0,4 days 19:25:10,415510.0
66,2023-02-08 03:55:46,2023-02-08 03:57:36,110.0,4 days 19:56:20,417380.0
67,2023-02-08 04:58:46,2023-02-08 04:58:46,0.0,4 days 20:59:20,421160.0
68,2023-02-08 05:07:27,2023-02-08 05:08:56,90.0,4 days 21:08:01,421681.0
69,2023-02-08 05:48:56,2023-02-08 05:49:36,40.0,4 days 21:49:30,424170.0
70,2023-02-08 06:25:57,2023-02-08 06:26:36,40.0,4 days 22:26:31,426391.0
71,2023-02-08 11:54:06,2023-02-08 11:55:47,100.0,5 days 03:54:40,446080.0
72,2023-02-08 12:32:36,2023-02-08 12:35:26,170.0,5 days 04:33:10,448390.0
73,2023-02-08 14:18:06,2023-02-08 14:19:46,100.0,5 days 06:18:40,454720.0
74,2023-02-08 14:58:26,2023-02-08 15:00:26,120.0,5 days 06:59:00,457140.0
75,2023-02-08 16:03:36,2023-02-08 16:04:26,50.0,5 days 08:04:10,461050.0
76,2023-02-09 01:37:06,2023-02-09 01:38:46,100.0,5 days 17:37:40,495460.0
77,2023-02-09 03:29:26,2023-02-09 03:31:06,100.0,5 days 19:30:00,502200.0
78,2023-02-09 04:42:36,2023-02-09 04:43:36,60.0,5 days 20:43:10,506590.0
79,2023-02-09 06:21:16,2023-02-09 06:22:26,70.0,5 days 22:21:50,512510.0
80,2023-02-09 06:31:16,2023-02-09 06:32:16,60.0,5 days 22:31:50,513110.0
81,2023-02-09 07:56:46,2023-02-09 07:58:06,80.0,5 days 23:57:20,518240.0
82,2023-02-09 08:39:46,2023-02-09 08:40:36,50.0,6 days 00:40:20,520820.0
83,2023-02-09 09:12:56,2023-02-09 09:14:57,120.0,6 days 01:13:30,522810.0
84,2023-02-09 09:19:17,2023-02-09 09:20:36,80.0,6 days 01:19:51,523191.0
85,2023-02-09 13:25:06,2023-02-09 13:25:36,30.0,6 days 05:25:40,537940.0
86,2023-02-09 16:36:26,2023-02-09 16:37:26,60.0,6 days 08:37:00,549420.0
87,2023-02-09 17:11:36,2023-02-09 17:12:46,70.0,6 days 09:12:10,551530.0
